Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
17.0,170.0,229.317,130.506,957.0,0.443,76.432,128.339,497.0,0.083,130.760,132.855,459.0,0.087,228.804,45.609,360.0,0.249,229.581,83.450,595.0,0.562,70.032,82.526,311.0,0.025,87.080,42.669,185.0,0.000,120.629,48.723,175.0,0.035,137.046,84.465,284.0,0.055
18.0,180.0,229.520,130.643,955.0,0.245,76.437,128.349,498.0,0.012,130.727,133.139,457.0,0.287,228.817,45.628,360.0,0.023,229.901,83.496,594.0,0.324,70.037,82.549,312.0,0.024,87.088,42.668,185.0,0.008,120.652,48.764,175.0,0.047,137.025,84.544,282.0,0.082
19.0,190.0,229.703,130.725,954.0,0.200,76.464,128.362,498.0,0.029,130.702,133.308,456.0,0.170,228.820,45.639,360.0,0.011,230.166,83.538,592.0,0.268,70.064,82.579,312.0,0.040,87.100,42.707,185.0,0.041,120.640,48.745,175.0,0.023,137.021,84.605,280.0,0.061
20.0,200.0,230.010,130.724,952.0,0.308,76.536,128.237,499.0,0.145,130.680,133.457,454.0,0.152,228.936,45.604,360.0,0.122,230.591,83.552,591.0,0.425,70.124,82.581,313.0,0.060,87.252,42.660,185.0,0.158,120.638,48.724,175.0,0.021,137.006,84.642,279.0,0.040
21.0,210.0,230.209,130.844,950.0,0.232,76.636,128.300,498.0,0.118,130.653,133.651,452.0,0.196,228.981,45.588,360.0,0.048,230.911,83.613,589.0,0.326,70.240,82.696,313.0,0.163,87.339,42.629,185.0,0.093,120.638,48.724,175.0,0.000,137.002,84.649,277.0,0.009
22.0,220.0,230.643,130.967,947.0,0.451,76.693,128.229,499.0,0.091,130.599,134.014,448.0,0.367,229.038,45.603,359.0,0.059,231.556,83.672,587.0,0.648,70.307,82.762,313.0,0.094,87.413,42.613,185.0,0.076,120.663,48.774,174.0,0.056,136.961,84.714,273.0,0.076
23.0,230.0,230.782,131.026,947.0,0.151,76.751,128.161,499.0,0.090,130.593,134.223,448.0,0.209,228.976,45.563,359.0,0.074,231.798,83.699,586.0,0.243,70.343,82.816,314.0,0.065,87.522,42.465,185.0,0.183,120.732,48.838,175.0,0.094,136.947,84.716,273.0,0.015
24.0,240.0,230.884,131.169,947.0,0.175,76.823,128.347,500.0,0.200,130.563,134.322,447.0,0.104,229.182,45.547,360.0,0.206,231.866,83.748,585.0,0.085,70.395,82.899,313.0,0.098,87.576,42.445,185.0,0.058,120.732,48.838,175.0,0.000,136.925,84.727,272.0,0.025
25.0,250.0,231.055,131.247,948.0,0.188,76.913,128.433,501.0,0.124,130.518,134.400,447.0,0.090,229.239,45.496,361.0,0.076,232.083,83.835,585.0,0.233,70.484,83.059,314.0,0.183,87.645,42.407,186.0,0.079,120.712,48.775,175.0,0.066,136.886,84.734,271.0,0.040
26.0,260.0,231.159,131.270,947.0,0.107,76.982,128.509,501.0,0.102,130.522,134.370,446.0,0.031,229.419,45.482,360.0,0.181,232.112,83.867,585.0,0.043,70.528,83.127,314.0,0.081,87.709,42.358,186.0,0.081,120.709,48.807,175.0,0.032,136.886,84.723,271.0,0.011
27.0,270.0,231.374,131.236,946.0,0.217,77.086,128.583,501.0,0.128,130.552,134.223,445.0,0.149,229.614,45.475,360.0,0.195,232.310,83.929,585.0,0.207,70.690,83.295,314.0,0.234,87.733,42.387,186.0,0.037,120.693,48.773,174.0,0.038,136.917,84.664,271.0,0.066
28.0,280.0,231.356,131.323,945.0,0.089,77.133,128.758,500.0,0.181,130.559,134.208,445.0,0.017,229.657,45.482,359.0,0.043,232.255,84.031,584.0,0.116,70.752,83.484,313.0,0.198,87.733,42.387,186.0,0.000,120.703,48.790,174.0,0.020,136.917,84.664,271.0,0.000
29.0,290.0,231.277,131.401,945.0,0.110,77.193,128.927,500.0,0.180,130.560,134.176,445.0,0.032,229.657,45.482,359.0,0.000,232.129,84.126,584.0,0.158,70.834,83.645,313.0,0.181,87.733,42.387,186.0,0.000,120.703,48.790,174.0,0.000,136.911,84.681,271.0,0.018
30.0,300.0,231.183,131.451,944.0,0.108,77.275,128.971,499.0,0.093,130.557,134.227,446.0,0.050,229.546,45.459,360.0,0.114,232.045,84.166,583.0,0.092,70.878,83.721,312.0,0.088,87.871,42.328,185.0,0.151,120.706,48.794,174.0,0.005,136.914,84.677,271.0,0.005
31.0,310.0,231.121,131.540,944.0,0.108,77.365,129.105,498.0,0.161,130.563,134.258,446.0,0.031,229.563,45.438,360.0,0.027,231.964,84.230,583.0,0.104,70.957,83.845,311.0,0.147,87.971,42.272,186.0,0.114,120.718,48.808,174.0,0.019,136.921,84.671,271.0,0.009
32.0,320.0,231.072,131.628,944.0,0.101,77.482,129.402,497.0,0.319,130.643,134.106,447.0,0.171,229.780,45.424,360.0,0.217,231.751,84.341,582.0,0.241,71.080,84.110,310.0,0.292,88.022,42.218,186.0,0.074,120.810,48.845,174.0,0.099,136.967,84.605,272.0,0.080
33.0,330.0,230.853,131.579,945.0,0.225,77.617,129.645,496.0,0.278,130.770,133.715,449.0,0.411,230.034,45.368,361.0,0.260,231.238,84.315,583.0,0.513,71.156,84.205,309.0,0.122,88.171,42.121,186.0,0.178,120.810,48.845,174.0,0.000,137.115,84.439,275.0,0.222
34.0,340.0,230.574,131.489,948.0,0.293,77.682,129.894,496.0,0.258,130.903,133.237,452.0,0.497,230.254,45.331,361.0,0.223,230.676,84.296,585.0,0.562,71.215,84.327,308.0,0.136,88.192,42.082,187.0,0.044,120.798,48.826,174.0,0.023,137.263,84.262,278.0,0.231
35.0,350.0,229.879,131.461,949.0,0.696,77.788,130.276,492.0,0.396,130.921,132.739,457.0,0.498,230.218,45.309,361.0,0.042,229.573,84.286,586.0,1.103,71.290,84.443,304.0,0.138,88.230,42.058,187.0,0.045,120.767,48.803,174.0,0.039,137.228,84.117,282.0,0.149
36.0,360.0,229.757,131.456,949.0,0.122,77.848,130.378,492.0,0.119,130.945,132.614,458.0,0.127,230.257,45.295,361.0,0.042,229.350,84.316,587.0,0.225,71.346,84.535,304.0,0.108,88.271,42.020,187.0,0.055,120.805,48.814,174.0,0.040,137.221,84.080,283.0,0.038
