Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
17.0,170.0,267.222,149.969,1401.0,1.306,113.267,146.075,780.0,0.926,154.384,154.857,621.0,1.202,253.872,44.565,686.0,0.724,279.995,94.803,712.0,1.328,104.171,97.871,444.0,0.430,125.229,47.411,334.0,0.119,144.518,41.863,352.0,0.023,167.401,89.725,268.0,0.295
18.0,180.0,268.053,151.125,1386.0,1.423,113.485,147.069,777.0,1.017,154.077,156.304,609.0,1.479,254.596,44.631,690.0,0.727,281.392,95.234,693.0,1.461,104.344,98.209,437.0,0.379,125.192,47.528,338.0,0.123,144.500,41.843,352.0,0.027,167.304,90.153,256.0,0.439
19.0,190.0,269.007,152.032,1375.0,1.317,113.735,147.809,777.0,0.781,153.836,157.524,598.0,1.243,255.445,44.584,694.0,0.850,282.796,95.576,678.0,1.445,104.493,98.465,433.0,0.296,125.292,47.436,343.0,0.137,144.482,41.801,351.0,0.046,167.283,90.484,245.0,0.332
20.0,200.0,270.057,153.163,1365.0,1.543,113.930,148.865,778.0,1.074,153.576,158.870,586.0,1.372,256.336,44.755,699.0,0.908,284.434,96.021,663.0,1.697,104.691,98.904,428.0,0.482,125.200,47.721,348.0,0.300,144.490,41.811,351.0,0.013,167.240,90.751,234.0,0.270
21.0,210.0,270.671,153.957,1354.0,1.004,114.030,149.452,777.0,0.595,153.310,160.021,577.0,1.181,256.658,44.780,700.0,0.323,285.681,96.395,650.0,1.303,104.803,99.217,425.0,0.332,125.123,47.757,350.0,0.085,144.486,41.806,350.0,0.007,167.092,91.079,225.0,0.360
22.0,220.0,271.466,154.831,1352.0,1.181,114.142,150.292,781.0,0.847,153.137,161.039,571.0,1.033,257.520,44.932,707.0,0.875,286.743,96.782,642.0,1.130,104.901,99.501,423.0,0.301,125.012,47.954,356.0,0.226,144.495,41.865,351.0,0.059,167.047,91.530,219.0,0.453
23.0,230.0,272.022,155.984,1338.0,1.280,114.348,151.416,776.0,1.143,152.882,162.300,561.0,1.287,257.951,45.020,710.0,0.440,287.961,97.202,624.0,1.289,105.145,99.984,415.0,0.541,124.869,48.112,359.0,0.213,144.473,41.852,351.0,0.025,167.050,91.689,209.0,0.159
24.0,240.0,272.979,156.936,1330.0,1.350,114.487,152.328,778.0,0.922,152.635,163.434,552.0,1.161,258.914,45.098,715.0,0.966,289.299,97.538,611.0,1.379,105.244,100.229,411.0,0.265,124.775,48.254,365.0,0.170,144.454,41.804,350.0,0.051,166.978,92.032,201.0,0.351
25.0,250.0,273.807,157.977,1318.0,1.331,114.608,153.284,777.0,0.964,152.365,164.711,541.0,1.305,259.615,45.190,719.0,0.707,290.784,97.769,595.0,1.503,105.323,100.489,404.0,0.272,124.664,48.398,370.0,0.182,144.463,41.797,350.0,0.011,166.926,91.998,191.0,0.062
26.0,260.0,274.741,159.291,1307.0,1.611,114.749,154.407,776.0,1.131,152.002,166.439,530.0,1.766,260.387,45.348,725.0,0.788,292.527,98.267,578.0,1.813,105.471,100.791,398.0,0.336,124.477,48.643,375.0,0.309,144.476,41.809,350.0,0.018,166.709,92.675,180.0,0.711
27.0,270.0,275.419,160.114,1301.0,1.067,114.805,155.016,778.0,0.611,151.740,167.690,523.0,1.278,260.871,45.409,730.0,0.489,293.890,98.610,568.0,1.405,105.550,100.986,396.0,0.210,124.342,48.699,380.0,0.146,144.503,41.840,350.0,0.042,166.506,93.158,172.0,0.523
28.0,280.0,276.317,161.210,1292.0,1.416,114.878,155.954,778.0,0.941,151.414,169.176,514.0,1.522,261.413,45.611,734.0,0.578,295.813,99.063,555.0,1.975,105.691,101.355,392.0,0.395,124.148,49.073,384.0,0.421,144.463,41.811,350.0,0.050,166.429,93.541,163.0,0.391
29.0,290.0,277.163,162.291,1281.0,1.373,114.939,156.779,778.0,0.828,151.080,170.805,504.0,1.663,261.787,45.792,737.0,0.416,297.898,99.380,540.0,2.109,105.793,101.570,388.0,0.238,123.970,49.401,387.0,0.373,144.454,41.798,350.0,0.015,166.368,93.812,152.0,0.278
30.0,300.0,278.078,163.292,1275.0,1.357,115.074,157.492,780.0,0.725,150.711,172.432,495.0,1.668,262.330,45.824,743.0,0.544,299.978,99.836,528.0,2.129,105.904,101.833,385.0,0.285,123.953,49.493,392.0,0.094,144.410,41.721,351.0,0.089,166.221,94.468,143.0,0.672
31.0,310.0,278.905,164.318,1264.0,1.318,115.198,158.132,779.0,0.652,150.266,174.250,485.0,1.872,262.757,45.833,746.0,0.427,302.109,100.277,514.0,2.176,105.990,102.066,380.0,0.248,123.941,49.469,395.0,0.027,144.406,41.736,351.0,0.016,165.785,95.166,133.0,0.823
32.0,320.0,279.645,165.365,1256.0,1.281,115.253,158.849,779.0,0.719,149.896,176.006,477.0,1.795,263.125,45.985,751.0,0.398,304.164,100.710,501.0,2.100,106.137,102.208,377.0,0.205,123.752,49.694,399.0,0.294,144.389,41.770,351.0,0.038,165.518,96.177,125.0,1.046
33.0,330.0,281.049,166.498,1244.0,1.805,115.382,159.613,781.0,0.775,149.470,178.088,464.0,2.125,263.769,46.127,754.0,0.659,307.486,101.170,487.0,3.353,106.283,102.628,374.0,0.444,123.703,49.888,403.0,0.200,144.320,41.797,350.0,0.073,165.568,96.316,112.0,0.148
