Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
17.0,170.0,260.118,232.657,902.0,1.099,112.267,238.979,562.0,0.368,101.536,222.211,340.0,0.106,264.836,77.489,855.0,1.123,170.533,97.157,46.0,4.483,124.378,147.074,10.0,2.309,112.030,78.163,551.0,0.085,99.567,76.265,304.0,0.172,117.930,83.875,36.0,0.529
18.0,180.0,260.923,232.723,902.0,0.808,112.313,239.222,564.0,0.247,101.617,221.851,337.0,0.369,265.768,77.542,855.0,0.933,169.066,96.814,46.0,1.507,124.714,147.489,9.0,0.534,112.083,78.322,554.0,0.168,99.631,76.105,301.0,0.173,117.915,83.820,37.0,0.057
19.0,190.0,261.923,232.826,899.0,1.006,112.376,239.596,566.0,0.379,101.742,221.324,333.0,0.542,267.056,77.519,853.0,1.289,162.178,95.738,45.0,6.971,127.102,152.400,8.0,5.460,112.149,78.366,557.0,0.079,99.721,75.926,296.0,0.200,117.949,83.734,37.0,0.093
20.0,200.0,262.258,232.572,898.0,0.420,112.398,239.750,566.0,0.155,101.797,220.317,332.0,1.008,267.780,77.472,852.0,0.725,157.880,94.502,46.0,4.472,127.718,152.842,7.0,0.758,112.184,78.394,558.0,0.045,99.678,75.715,293.0,0.216,117.924,83.593,39.0,0.143
21.0,210.0,262.995,232.200,898.0,0.825,112.467,239.849,568.0,0.121,102.157,219.017,330.0,1.350,268.981,77.468,849.0,1.201,154.698,94.055,48.0,3.213,127.981,153.670,7.0,0.869,112.253,78.453,560.0,0.091,99.903,75.556,289.0,0.275,118.095,84.005,41.0,0.446
22.0,220.0,263.437,231.573,898.0,0.767,112.482,239.951,569.0,0.103,102.447,217.053,329.0,1.985,270.208,77.446,846.0,1.227,149.094,92.315,51.0,5.868,127.635,153.797,6.0,0.369,112.289,78.455,562.0,0.037,100.022,75.447,284.0,0.162,117.883,83.686,45.0,0.383
23.0,230.0,263.932,230.973,898.0,0.778,112.492,240.159,571.0,0.208,102.607,214.935,327.0,2.124,271.474,77.396,844.0,1.267,144.047,90.537,54.0,5.351,128.887,155.013,5.0,1.745,112.310,78.508,565.0,0.056,99.937,75.142,279.0,0.316,118.061,83.210,48.0,0.509
24.0,240.0,263.830,230.026,900.0,0.953,112.551,240.212,571.0,0.079,102.950,212.322,329.0,2.635,272.414,77.381,840.0,0.940,140.728,89.908,59.0,3.378,129.540,156.584,5.0,1.701,112.368,78.522,565.0,0.060,100.054,75.034,275.0,0.159,117.733,83.318,54.0,0.345
25.0,250.0,264.214,229.179,900.0,0.930,112.622,240.262,572.0,0.088,103.384,209.857,328.0,2.503,273.688,77.316,836.0,1.276,138.211,89.225,64.0,2.608,130.254,157.321,5.0,1.027,112.443,78.540,566.0,0.077,100.205,74.746,270.0,0.325,118.029,83.399,59.0,0.306
26.0,260.0,264.139,227.976,904.0,1.206,112.690,240.282,573.0,0.071,103.855,206.625,331.0,3.266,275.017,77.236,833.0,1.331,133.877,88.061,70.0,4.487,131.173,158.206,4.0,1.275,112.527,78.438,568.0,0.132,100.393,74.657,265.0,0.208,117.802,83.385,66.0,0.227
27.0,270.0,264.047,226.857,909.0,1.123,112.735,240.320,576.0,0.059,104.166,203.594,333.0,3.047,276.196,77.173,832.0,1.181,130.369,87.017,76.0,3.660,131.763,158.538,4.0,0.677,112.585,78.402,571.0,0.068,100.415,74.482,261.0,0.176,117.657,83.310,72.0,0.162
28.0,280.0,263.914,226.126,911.0,0.743,112.794,240.360,576.0,0.071,104.587,201.667,335.0,1.972,276.913,77.238,829.0,0.720,129.658,86.615,81.0,0.817,131.763,158.538,4.0,0.000,112.649,78.442,571.0,0.075,100.669,74.572,258.0,0.270,117.685,83.114,77.0,0.198
29.0,290.0,263.519,225.413,913.0,0.816,112.892,240.634,575.0,0.291,104.927,199.515,338.0,2.179,277.597,77.324,827.0,0.689,126.609,85.644,85.0,3.200,132.347,159.352,3.0,1.002,112.775,78.560,572.0,0.173,100.833,74.561,256.0,0.165,117.611,82.986,82.0,0.148
30.0,300.0,263.386,224.736,916.0,0.690,112.985,240.676,576.0,0.102,105.218,197.753,340.0,1.785,278.337,77.397,826.0,0.743,126.048,85.522,90.0,0.575,132.347,159.352,3.0,0.000,112.873,78.580,573.0,0.100,100.983,74.720,253.0,0.219,117.515,83.004,87.0,0.098
31.0,310.0,262.130,224.526,925.0,1.273,113.045,240.838,576.0,0.172,105.833,197.621,349.0,0.629,277.709,77.875,830.0,0.789,124.236,84.605,94.0,2.030,131.572,159.512,2.0,0.792,112.952,78.673,573.0,0.122,101.554,76.098,257.0,1.491,117.818,82.691,92.0,0.436
32.0,320.0,261.857,224.126,928.0,0.484,113.092,240.917,576.0,0.093,106.304,196.653,352.0,1.076,278.118,78.060,829.0,0.449,123.855,84.729,98.0,0.401,131.572,159.512,2.0,0.000,113.003,78.734,573.0,0.079,102.058,76.554,256.0,0.680,117.680,82.893,96.0,0.245
33.0,330.0,261.551,223.727,928.0,0.504,113.127,241.027,574.0,0.115,106.467,195.607,353.0,1.059,278.343,78.127,827.0,0.235,122.562,84.196,100.0,1.399,130.810,160.020,2.0,0.916,113.049,78.796,572.0,0.078,102.110,76.624,255.0,0.088,117.753,82.750,98.0,0.161
34.0,340.0,261.220,223.184,929.0,0.636,113.187,241.059,573.0,0.068,106.714,194.357,356.0,1.274,278.646,78.138,825.0,0.303,122.483,84.000,104.0,0.212,130.810,160.020,2.0,0.000,113.125,78.785,571.0,0.077,102.247,76.679,254.0,0.148,117.835,82.599,102.0,0.172
35.0,350.0,261.347,222.848,927.0,0.359,113.154,241.196,572.0,0.141,107.030,193.246,355.0,1.155,279.343,78.206,821.0,0.700,120.573,83.431,105.0,1.993,132.806,160.383,1.0,2.028,113.102,78.853,571.0,0.071,102.513,76.733,250.0,0.271,117.881,82.622,104.0,0.052
36.0,360.0,261.127,222.791,926.0,0.228,113.113,241.319,571.0,0.129,107.103,193.011,355.0,0.247,279.329,78.265,820.0,0.060,119.756,83.226,106.0,0.842,132.588,160.528,1.0,0.262,113.077,78.912,570.0,0.064,102.593,76.791,250.0,0.099,117.843,82.650,105.0,0.047
37.0,370.0,260.445,222.405,923.0,0.783,113.357,241.391,565.0,0.254,107.194,192.332,357.0,0.685,279.115,78.307,815.0,0.217,118.907,82.927,108.0,0.900,132.080,160.867,0.0,0.611,113.335,78.940,565.0,0.259,102.650,76.875,250.0,0.101,117.782,82.585,107.0,0.089
38.0,380.0,260.084,222.258,922.0,0.390,113.333,241.509,564.0,0.120,107.369,191.977,358.0,0.395,279.015,78.389,813.0,0.130,118.603,82.827,109.0,0.321,129.540,160.020,0.0,2.677,113.318,79.016,563.0,0.078,102.803,76.977,250.0,0.184,117.868,82.605,109.0,0.089
