video,mean_left_knee_angle,mean_right_knee_angle,delta_knee_angle,mean_left_hip_angle,mean_right_hip_angle,delta_hip_angle,mean_trunk_angle,mean_head_trunk_angle,delta_hip_height
028,127.65726256153798,114.56913878685417,13.088123774683805,142.39048285791503,127.86059057010962,14.52989228780544,8.422530363061453,157.71090875787664,0.0616001951441798
030,126.92671102759822,118.37623970142364,8.550471326174526,139.16186991608066,128.2473619503281,10.914507965752565,2.8844595688172108,158.05396148794605,0.043774156803629116
045,123.37984948154323,118.72592824545697,4.65392123608624,133.32018071804572,124.69056217908876,8.629618538956978,5.694164866356212,157.60775356262093,0.029363461580528258
047,127.20950846214275,123.17665029555187,4.032858166590911,134.29295747615024,124.31986195083066,9.973095525319616,0.4817297620513457,160.6378589028461,0.03355038748721478
059,119.05407116511854,119.47364323784389,0.9971491250163828,135.71365596633555,135.16521556627148,0.8444077562160999,9.653188509709954,156.18235831234728,0.09567614139689588
061,138.35734506817377,125.30839580970587,13.048949258467877,147.00881198815898,130.90061690692687,16.108195081232093,0.2823222584113174,160.94488977054993,0.0615775993465326
074,114.83332271535242,113.85402749695639,1.0036263588989163,137.07484649887743,129.21246220129493,7.8623842975825475,10.442731287750526,152.90390477744688,0.06291452874016416
076,126.23968671228509,119.97406725035327,6.265619461931826,138.04322818905013,126.52467160724349,11.518556581806642,0.5469593931468568,160.1260558970155,0.056558229776026515
091,127.4462083919299,114.64597573457591,12.800232657353975,143.48689859928987,129.37416360539478,14.112734993895081,12.261181639105725,158.54422527459093,0.10663704060460726
093,137.42649829364785,120.49357510122303,16.932923192424827,144.67518567909678,127.04608331855087,17.629102360545918,2.1823218312785446,159.61213069385863,0.06723580676927059
