Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
0,"0,009","0,003","1,001","-0,007","0,000","0,994","0,003","0,011","0,953","-0,015","0,017","0,962","-0,003","-0,001","0,886","0,007","0,007","0,951","-0,004","-0,011","1,060"
1,"0,005","-0,003","1,006","-0,007","0,005","0,997","0,004","-0,005","0,947","-0,019","0,006","0,962","0,000","-0,002","0,882","0,003","0,005","0,947","-0,001","0,003","1,049"
2,"0,002","-0,003","0,999","-0,004","0,001","0,996","-0,003","0,000","0,948","-0,014","0,004","0,982","-0,004","0,002","0,888","0,008","0,001","0,953","-0,006","-0,002","1,062"
3,"-0,001","-0,003","1,007","-0,001","0,004","0,990","0,001","-0,001","0,957","-0,008","0,011","0,963","-0,008","0,001","0,883","0,009","-0,001","0,954","-0,011","0,000","1,056"
4,"0,003","-0,005","1,007","-0,005","0,005","0,992","0,007","0,002","0,947","-0,014","0,028","0,962","-0,009","0,008","0,887","0,008","-0,001","0,955","-0,017","-0,002","1,060"
5,"0,009","0,001","1,008","-0,004","0,003","0,995","-0,002","0,007","0,953","-0,009","0,019","0,941","-0,006","0,005","0,888","0,015","0,001","0,953","-0,007","0,010","1,062"
6,"0,010","0,003","1,011","-0,008","0,003","0,995","-0,007","0,009","0,951","-0,008","0,025","0,953","-0,006","0,003","0,892","0,009","0,006","0,954","-0,009","-0,006","1,064"
7,"0,010","-0,001","1,015","-0,007","0,002","1,000","-0,003","0,007","0,948","0,000","0,011","0,949","-0,002","0,003","0,890","0,014","0,004","0,956","-0,010","0,009","1,056"
8,"0,008","-0,004","1,008","-0,008","0,001","0,996","0,004","0,005","0,953","-0,004","0,022","0,958","0,000","0,000","0,888","0,010","0,003","0,953","-0,011","-0,001","1,062"
9,"0,004","-0,008","1,009","-0,008","0,007","0,997","0,008","0,001","0,955","-0,006","0,010","0,954","-0,002","0,004","0,890","0,009","0,001","0,958","-0,003","-0,007","1,061"
10,"0,005","-0,003","0,998","-0,012","0,005","0,998","0,005","-0,002","0,944","-0,017","0,020","0,964","-0,001","-0,002","0,883","0,011","0,003","0,950","-0,002","-0,002","1,057"
