Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
179,"-0,132","-0,906","-0,794","-0,197","-0,033","0,185","0,268","-0,500","0,132","0,260","-0,280","-0,274","0,236","1,202","-0,808","-0,063","-1,178","0,494","0,087","0,243","-0,270"
180,"-0,092","-0,602","-0,391","0,041","-0,034","0,105","0,124","-0,334","0,011","0,275","-0,336","0,145","0,118","0,838","-0,575","0,037","-1,433","0,549","-0,238","0,221","0,012"
181,"-0,027","-0,251","0,122","0,101","-0,216","0,101","0,266","-0,191","0,098","0,326","-0,602","-0,283","0,060","0,484","-0,613","0,089","-1,574","0,549","-0,476","0,230","-0,090"
182,"-0,021","0,103","0,648","0,031","-0,217","-0,015","0,213","-0,086","-0,155","0,230","-0,476","0,270","0,064","0,101","-0,571","0,083","-1,629","0,574","-0,300","0,169","0,042"
183,"-0,016","-0,009","0,695","0,021","-0,035","-0,138","0,278","-0,093","0,005","-0,154","-0,938","-0,027","0,191","-0,346","-0,232","-0,012","-1,319","0,494","-0,245","0,154","0,131"
184,"0,163","-0,018","0,656","-0,035","-0,157","-0,072","0,120","-0,082","0,115","1,139","-0,739","0,594","0,132","-0,487","-0,100","-0,130","-0,672","0,260","-0,280","-0,154","-0,105"
185,"0,287","-0,064","0,374","0,026","-0,218","-0,076","-0,092","-0,023","0,110","0,443","-1,091","0,252","-0,174","-0,409","-0,069","-0,169","-0,075","-0,215","-0,245","-0,244","-0,560"
186,"0,310","0,111","0,158","0,203","0,025","-0,154","0,042","-0,048","0,101","-0,260","-0,491","-0,248","-0,114","-0,323","-0,176","0,110","0,240","-0,343","-0,081","-0,101","-0,346"
187,"0,017","0,083","-0,033","0,142","0,147","-0,150","0,013","-0,113","-0,169","0,089","-0,057","-0,025","0,070","-0,381","-0,014","0,332","0,323","-0,702","-0,152","-0,084","-0,216"
188,"-0,389","-0,051","-0,150","-0,045","0,086","-0,195","-0,192","0,238","-0,025","0,206","-0,266","0,050","0,252","-0,273","0,071","0,385","0,077","-0,789","-0,342","0,029","-0,163"
189,"-0,260","-0,210","-0,384","0,006","0,329","-0,324","0,167","0,128","-0,175","0,112","-0,658","0,143","0,128","-0,104","-0,142","0,175","-0,001","-0,564","-0,201","0,344","0,302"
190,"-0,014","-0,156","-0,126","-0,055","0,268","-0,318","0,069","-0,103","-0,191","0,578","-0,824","0,389","-0,116","-0,060","0,106","0,041","0,003","-0,440","-0,135","0,362","0,222"
191,"-0,110","-0,047","-0,014","0,006","0,268","-0,323","-0,102","-0,248","0,152","0,405","-0,713","0,126","-0,119","0,349","0,119","0,220","-0,090","-0,454","-0,057","0,176","0,060"
192,"0,201","-0,037","-0,025","-0,101","0,209","-0,130","-0,012","-0,184","0,071","0,367","-0,070","-0,001","0,122","0,594","0,209","0,211","-0,120","-0,374","-0,146","-0,069","-0,300"
193,"0,167","0,013","0,098","-0,278","0,148","-0,054","-0,080","-0,109","0,102","0,196","-0,098","-0,212","0,363","0,929","0,055","0,323","-0,265","-0,368","-0,083","0,034","-0,365"
194,"-0,084","0,000","0,095","-0,385","0,028","0,139","-0,194","-0,003","0,198","-0,109","-0,141","-0,100","0,662","1,431","-0,175","0,377","-0,218","-0,252","-0,336","0,331","-0,369"
195,"-0,151","0,100","0,340","-0,183","0,151","0,366","0,118","0,044","0,167","0,132","-0,308","-0,202","0,837","2,157","-0,642","0,226","-0,593","-0,225","-0,080","0,185","-0,468"
196,"-0,042","0,015","0,283","-0,066","0,029","0,296","-0,067","0,047","-0,130","1,303","-0,291","0,648","0,587","2,811","-0,675","0,246","-0,692","0,157","-0,030","0,205","-0,329"
197,"0,054","0,139","0,410","-0,258","0,150","0,189","0,062","0,217","0,104","0,508","-0,881","0,242","0,161","2,654","-1,006","0,237","-0,722","0,237","0,199","0,265","-0,126"
198,"0,140","0,183","0,507","-0,142","0,028","0,119","0,322","0,002","-0,010","0,463","-0,084","-0,042","-0,078","2,076","-0,943","0,042","-0,609","0,443","0,139","0,313","-0,165"
199,"0,147","0,086","0,275","-0,020","0,027","0,109","0,120","-0,082","0,115","0,679","0,211","0,097","-0,189","1,027","-0,595","-0,190","-0,164","0,629","-0,204","0,081","-0,408"
200,"0,015","0,068","0,246","0,284","0,088","0,084","0,354","-0,001","0,070","0,247","0,280","-0,128","-0,060","0,393","-0,370","-0,102","0,134","0,566","-0,341","0,080","-0,197"
201,"-0,060","0,103","0,181","0,274","0,026","-0,037","0,359","-0,195","-0,172","0,993","0,618","0,246","-0,058","0,176","-0,405","-0,115","0,581","0,361","-0,163","0,119","-0,134"
202,"-0,161","0,091","0,006","0,218","-0,034","0,029","0,054","-0,133","0,093","0,029","-0,154","0,142","0,126","0,067","-0,354","-0,202","0,841","0,171","-0,132","0,227","0,240"
203,"-0,064","-0,003","-0,385","0,213","0,026","-0,032","-0,159","-0,132","0,226","0,353","0,098","0,093","-0,118","0,065","-0,354","-0,144","1,208","-0,194","0,212","0,560","0,414"
204,"-0,260","-0,210","-0,384","0,213","0,026","-0,032","-0,614","-0,138","0,084","0,363","-0,069","0,355","-0,422","0,011","-0,464","-0,064","1,264","-0,349","-0,164","0,753","0,470"
