PersonId,RörelseId,StartTid,SlutTid,Avg_Gem_Avvikelse,Avg_Gem_Säker
fp1,2a_1,0.0,1.87,1.14,1.85
fp2,2a_1,0.0,1.44,1.33,1.67
fp3,2a_1,0.0,2.46,0.99,1.8
fp4,2a_1,0.0,1.2,1.31,1.66
fp5,2a_1,0.0,1.22,1.42,1.64
fp1,2a_2,0.0,1.0,0.39,1.83
fp2,2a_2,0.0,4.97,0.9,1.88
fp3,2a_2,0.0,1.95,0.42,1.8
fp4,2a_2,0.0,0.93,0.67,1.66
fp5,2a_2,0.0,0.61,0.56,1.63
