molab_frame,molab_time,video_frame,video_time,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
434,4.34,500,10.0,0.055,0.269,-0.048,0.039,0.145,-0.014,0.235,-0.039,-0.016,0.03,-0.296,0.057,0.033,0.01,0.013,-0.079,-0.023,0.007,-0.011,-0.116,-0.012,0.002,0.001,0.886,0.001,-0.004,1.004,0.0,0.001,0.945,0.003,0.0,0.946,0.005,0.007,1.035,0.006,0.001,0.961,-0.002,0.0,0.977,0.0,0.041,0.203,-0.072,0.006,0.173,-0.056,-0.137,-0.003,-0.051,0.341,0.175,-0.002,0.132,0.397,-0.038,-0.065,-0.02,0.041,-0.279,0.015,1.0,0.001,-0.001,0.0,1.0,0.0,0.0,0.0,1.0,0.002,-0.001,0.0,1.0,0.0,-0.002,0.0,1.0,0.0,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,0.0,0.001,0.0
435,4.35,500,10.0,0.056,0.271,-0.049,0.019,0.136,-0.015,0.238,0.029,-0.016,-0.018,-0.324,0.057,0.034,0.026,0.011,-0.119,-0.005,0.009,-0.045,-0.121,-0.012,0.002,0.008,0.884,0.003,0.0,1.006,-0.002,0.005,0.948,0.006,-0.001,0.946,0.004,0.003,1.037,0.003,-0.001,0.963,-0.002,0.002,0.975,0.093,0.108,0.061,-0.047,0.059,-0.048,-0.081,0.081,-0.024,0.002,0.742,0.015,0.315,0.205,0.269,-0.002,0.189,0.009,-0.021,-0.006,0.011,1.0,0.001,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,0.002,0.0,0.0,1.0,0.0,-0.002,0.0,1.0,0.001,-0.002,0.0,1.0,0.0,-0.001,0.0,1.0,0.0,0.001,0.0
436,4.36,501,10.02,0.099,0.221,-0.049,0.048,0.083,-0.016,0.223,0.094,-0.016,0.045,-0.289,0.058,0.011,0.059,0.012,-0.119,-0.004,0.009,-0.015,-0.106,-0.012,0.001,0.002,0.885,0.006,0.001,1.006,0.0,0.004,0.946,0.002,0.003,0.95,0.003,0.004,1.036,0.003,0.001,0.959,-0.001,0.0,0.977,-0.067,0.243,-0.005,0.009,0.172,-0.099,-0.146,0.036,-0.058,0.001,0.875,0.045,-0.007,0.039,-0.161,0.05,-0.071,-0.077,-0.021,0.102,-0.072,1.0,0.001,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,0.002,0.0,0.0,1.0,0.001,-0.002,0.0,1.0,0.001,-0.002,0.0,1.0,0.0,-0.001,0.0,1.0,0.0,0.001,0.0
437,4.37,501,10.02,0.146,0.256,-0.049,0.095,0.056,-0.021,0.286,0.068,-0.011,0.093,-0.256,0.059,0.06,0.038,0.015,-0.105,-0.041,0.004,0.018,-0.11,-0.014,0.004,0.003,0.884,0.0,-0.004,1.003,0.003,0.009,0.949,0.0,0.003,0.949,0.004,0.0,1.036,0.0,-0.003,0.96,-0.002,-0.004,0.974,-0.056,0.127,-0.158,0.048,-0.051,-0.552,0.032,0.178,-0.039,-0.06,0.786,-0.058,-0.04,-0.132,-0.425,0.163,0.033,0.021,0.162,0.128,-0.128,1.0,0.001,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,0.002,0.0,0.0,1.0,0.001,-0.001,0.0,1.0,0.001,-0.002,0.0,1.0,0.0,-0.001,0.0,1.0,0.0,0.001,0.0
438,4.38,502,10.04,0.119,0.302,-0.047,0.037,0.041,-0.026,0.229,0.08,-0.004,0.073,-0.261,0.059,0.051,0.0,0.017,-0.113,-0.001,-0.001,0.023,-0.144,-0.015,0.003,0.0,0.89,0.0,0.003,1.007,-0.001,0.004,0.948,0.001,-0.001,0.948,0.002,0.0,1.039,0.004,-0.005,0.956,-0.006,-0.001,0.976,-0.08,0.285,-0.281,0.162,0.118,-0.634,0.044,0.131,-0.001,0.002,0.58,-0.134,-0.042,0.061,-0.437,-0.001,0.315,0.063,0.162,0.047,-0.099,1.0,0.001,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,0.002,0.0,0.0,1.0,0.0,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,-0.001,-0.001,0.0,1.0,0.0,0.001,0.0
439,4.39,502,10.04,0.128,0.293,-0.047,0.036,0.04,-0.027,0.212,0.067,-0.003,0.087,-0.251,0.059,0.057,0.005,0.017,-0.061,0.044,-0.003,0.05,-0.168,-0.017,-0.003,-0.001,0.887,-0.005,-0.002,1.002,-0.002,0.002,0.949,0.0,0.0,0.953,0.0,-0.002,1.035,0.006,0.003,0.959,-0.003,-0.001,0.974,-0.348,0.142,-0.263,0.04,0.052,-0.259,-0.045,0.054,-0.166,0.066,0.256,-0.182,-0.058,0.242,-0.314,0.009,0.334,-0.119,-0.204,0.044,-0.235,1.0,0.001,-0.001,0.0,1.0,0.0,0.0,0.0,1.0,0.002,0.0,0.0,1.0,0.0,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,0.0,-0.002,0.0,1.0,0.0,0.001,0.0
440,4.4,503,10.06,0.094,0.273,-0.046,-0.025,0.009,-0.029,0.215,0.076,-0.003,0.051,-0.207,0.061,-0.005,0.005,0.016,-0.109,0.057,-0.003,0.047,-0.135,-0.019,0.003,0.0,0.891,0.005,0.006,1.003,0.0,0.005,0.948,0.0,-0.004,0.949,0.004,0.004,1.035,0.006,-0.003,0.957,0.001,0.0,0.969,0.037,0.194,-0.301,0.11,0.07,-0.213,0.055,0.322,-0.164,0.011,0.047,-0.005,0.05,0.176,-0.144,0.12,0.313,-0.074,-0.082,0.099,-0.209,1.0,0.0,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,0.002,0.0,0.0,1.0,0.0,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,0.0,-0.002,0.0,1.0,0.0,0.001,0.0
441,4.41,503,10.06,0.092,0.308,-0.044,-0.036,0.022,-0.031,0.212,0.022,-0.003,-0.008,-0.209,0.063,-0.01,-0.017,0.015,-0.128,0.027,-0.005,0.016,-0.152,-0.02,0.003,0.001,0.886,-0.001,-0.001,1.005,0.0,0.004,0.949,0.001,-0.001,0.95,0.002,0.003,1.036,0.0,0.0,0.963,-0.003,0.001,0.971,0.056,0.308,-0.338,0.064,-0.023,-0.105,0.068,0.151,-0.182,0.016,-0.309,0.081,-0.127,0.15,-0.218,0.12,0.313,-0.074,-0.021,0.128,-0.127,1.0,0.001,-0.001,0.0,1.0,0.0,0.0,0.0,1.0,0.002,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.001,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,0.0,0.001,0.0
442,4.42,504,10.08,0.114,0.24,-0.04,-0.039,0.0,-0.027,0.192,0.068,-0.005,0.033,-0.168,0.063,-0.03,0.001,0.012,-0.144,0.009,-0.007,0.028,-0.121,-0.022,-0.001,0.002,0.884,0.003,0.004,1.009,0.0,0.004,0.946,-0.001,0.003,0.947,0.0,0.007,1.034,-0.001,0.001,0.957,0.001,-0.002,0.973,-0.033,0.32,-0.548,0.314,0.229,0.219,0.115,0.091,0.024,-0.107,-0.486,-0.125,0.001,0.13,-0.262,0.176,0.302,-0.052,0.101,0.073,-0.154,1.0,0.001,-0.001,0.0,1.0,0.0,0.0,0.0,1.0,0.002,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.001,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,0.0,0.001,0.0
443,4.43,504,10.08,0.12,0.171,-0.037,-0.026,0.054,-0.025,0.156,0.065,-0.008,0.073,-0.155,0.065,-0.004,0.057,0.01,-0.151,-0.014,-0.01,0.036,-0.087,-0.023,-0.004,0.001,0.883,-0.001,0.002,1.007,-0.002,0.003,0.951,0.002,0.002,0.953,0.004,0.0,1.034,0.002,-0.008,0.952,0.003,-0.002,0.977,-0.079,0.111,-0.415,0.254,0.23,0.229,0.032,0.178,-0.039,0.078,-0.455,-0.01,-0.055,0.049,-0.302,-0.048,0.16,-0.058,0.223,-0.144,-0.124,1.0,0.001,-0.001,0.0,1.0,0.001,0.0,0.0,1.0,0.002,0.0,0.0,1.0,0.0,-0.001,0.0,1.0,0.001,-0.001,0.0,1.0,-0.001,-0.001,0.0,1.0,0.0,0.001,0.0
