molab_frame,molab_time,video_frame,video_time,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
476,4.76,309,6.18,0.286,-0.495,-0.06,-0.041,0.01,0.073,0.168,-0.157,0.007,-0.208,0.063,-0.012,-0.204,0.943,-0.048,-0.119,-0.17,-0.079,-0.225,0.113,-0.008,-0.045,0.032,0.956,0.007,0.031,1.115,-0.005,0.067,1.311,-0.004,-0.021,0.985,0.045,0.114,1.011,0.001,-0.056,1.085,-0.012,-0.036,1.043,-8.869,0.736,0.268,-1.261,-0.884,0.824,-0.552,2.703,3.786,-1.825,-0.575,0.34,-16.88,-6.336,4.08,17.222,2.192,1.858,8.225,-1.107,-0.047,1.0,0.003,-0.004,0.0,1.0,0.0,0.001,0.0,1.0,-0.001,0.002,0.001,1.0,0.002,-0.001,0.0,1.0,-0.002,-0.006,0.001,1.0,0.001,0.001,0.001,1.0,0.0,0.0,0.0
477,4.77,309,6.18,0.163,-0.467,-0.065,-0.009,0.008,0.07,0.32,-0.148,-0.019,-0.141,0.073,-0.008,-0.514,0.954,-0.013,0.162,-0.219,-0.078,-0.095,0.116,-0.003,-0.004,0.038,0.966,-0.001,0.028,1.119,-0.046,0.057,1.36,0.002,-0.019,0.987,0.037,0.038,0.979,0.015,-0.083,1.136,-0.014,-0.05,1.045,-12.357,0.69,0.279,-0.288,-0.964,0.646,3.447,1.038,2.915,-3.231,-0.944,0.409,-27.619,3.576,-0.137,24.838,4.507,0.354,9.646,-1.587,0.95,1.0,0.002,-0.004,0.0,1.0,0.0,0.0,0.001,1.0,0.0,0.003,0.001,1.0,0.001,-0.001,0.0,1.0,-0.005,-0.006,0.001,1.0,0.003,0.001,0.001,1.0,0.0,0.0,0.0
478,4.78,310,6.2,-0.041,-0.489,-0.088,0.03,-0.004,0.082,0.491,-0.084,-0.033,-0.067,0.083,-0.002,-1.017,0.905,0.009,0.507,-0.298,-0.057,0.053,0.123,0.004,0.046,0.042,0.956,0.003,0.022,1.136,-0.04,0.121,1.391,0.001,-0.025,0.985,0.058,0.013,1.017,0.002,-0.088,1.145,-0.018,-0.044,1.053,-19.199,-1.291,0.355,0.223,-0.842,2.527,6.676,-0.5,0.23,-3.908,-1.076,0.63,-41.782,8.424,-1.23,30.526,7.069,-1.287,10.7,-1.471,1.353,1.0,0.0,-0.004,0.0,1.0,0.001,0.0,0.001,1.0,0.001,0.003,0.001,1.0,0.001,-0.001,0.0,1.0,-0.008,-0.005,0.001,1.0,0.005,0.002,0.001,1.0,0.001,0.0,0.0
479,4.79,310,6.2,-0.293,-0.46,-0.108,0.099,-0.059,0.093,0.669,0.054,-0.027,0.008,0.095,0.006,-1.654,0.8,0.012,0.905,-0.432,-0.031,0.221,0.132,0.011,0.022,0.012,0.96,0.021,0.0,1.128,0.008,0.149,1.316,0.0,-0.051,0.974,0.019,0.065,1.019,-0.039,-0.057,1.142,-0.013,-0.029,1.047,-24.844,-0.103,0.806,2.657,-2.275,2.611,11.098,-1.147,-2.157,-4.094,-1.263,0.739,-52.594,9.354,-1.658,35.351,10.723,-1.659,12.459,-1.452,1.434,1.0,-0.002,-0.004,0.0,1.0,0.001,0.0,0.001,1.0,0.002,0.002,0.001,1.0,0.0,-0.001,0.0,1.0,-0.012,-0.005,0.001,1.0,0.008,0.003,0.0,1.0,0.002,0.0,0.0
480,4.8,311,6.22,-0.619,-0.37,-0.109,0.153,-0.135,0.094,0.852,0.193,-0.021,0.086,0.11,0.013,-2.466,0.622,0.084,1.344,-0.591,-0.011,0.406,0.148,0.017,0.005,0.018,0.982,0.029,0.006,1.136,-0.019,0.101,1.282,0.003,-0.072,0.968,0.031,0.059,0.986,-0.066,-0.037,1.086,-0.012,-0.021,1.046,-30.788,1.042,1.626,4.832,-4.102,1.538,14.239,0.04,-1.31,-4.4,-1.448,0.784,-66.98,19.225,-7.657,38.331,11.812,-0.758,13.822,-1.326,1.469,1.0,-0.004,-0.004,0.0,1.0,0.001,-0.001,0.001,1.0,0.004,0.003,0.0,1.0,-0.001,-0.001,0.0,1.0,-0.018,-0.003,0.0,1.0,0.011,0.004,0.0,1.0,0.003,0.0,0.0
481,4.81,311,6.22,-0.993,-0.326,-0.089,0.235,-0.206,0.094,1.072,0.268,-0.012,0.16,0.124,0.018,-3.436,0.396,0.225,1.789,-0.734,-0.006,0.598,0.157,0.025,0.019,0.02,0.967,0.015,-0.013,1.137,-0.087,-0.019,1.229,0.006,-0.072,0.959,-0.025,0.018,0.968,-0.079,-0.027,1.031,-0.015,-0.039,1.037,-36.941,-2.122,3.366,6.286,-5.597,1.195,16.334,2.17,-0.288,-3.903,-1.189,0.442,-84.769,26.069,-13.528,39.195,10.162,0.487,15.138,-1.587,1.313,1.0,-0.007,-0.004,0.0,1.0,0.002,-0.002,0.001,1.0,0.005,0.003,0.0,1.0,-0.001,-0.001,0.0,1.0,-0.025,-0.001,-0.001,1.0,0.014,0.005,0.0,1.0,0.004,0.0,0.0
482,4.82,312,6.24,-1.469,-0.292,-0.048,0.303,-0.267,0.09,1.286,0.287,-0.041,0.232,0.13,0.012,-4.508,0.215,0.407,2.215,-0.829,-0.022,0.8,0.133,0.04,0.024,-0.003,0.953,0.012,-0.006,1.096,-0.087,-0.017,1.134,-0.003,-0.066,0.942,-0.046,-0.029,1.009,-0.076,-0.015,0.96,0.004,-0.047,1.046,-43.199,-2.87,4.824,8.834,-6.87,0.601,15.167,3.679,4.561,-3.815,-0.901,-0.581,-94.738,21.041,-12.817,37.26,5.941,1.661,16.416,-2.743,0.997,1.0,-0.01,-0.005,0.001,1.0,0.002,-0.002,0.001,1.0,0.006,0.004,0.001,1.0,-0.002,-0.001,0.0,0.999,-0.033,0.002,-0.002,1.0,0.017,0.006,0.0,1.0,0.005,0.0,0.0
483,4.83,312,6.24,-2.061,-0.222,-0.005,0.323,-0.272,0.098,1.473,0.23,-0.202,0.038,0.129,-0.08,-5.582,0.024,0.767,2.363,-0.888,-0.142,0.75,0.097,0.133,-0.024,-0.023,0.971,0.003,0.008,1.063,-0.042,-0.003,1.026,0.002,0.157,0.923,-0.063,-0.043,1.061,-0.073,0.016,0.906,0.012,-0.053,1.027,-46.593,-0.727,5.143,9.694,-6.338,0.883,16.963,7.996,19.477,15.931,0.141,-9.175,-93.481,24.463,-15.712,35.089,2.278,3.378,17.736,-3.02,0.135,1.0,-0.015,-0.005,0.001,1.0,0.003,-0.003,0.001,1.0,0.007,0.005,0.003,1.0,0.0,-0.001,-0.001,0.999,-0.041,0.004,-0.004,1.0,0.02,0.007,0.001,1.0,0.006,0.0,0.0
484,4.84,313,6.26,-2.642,-0.161,0.065,0.354,-0.292,0.129,1.671,0.099,-0.585,-0.451,0.126,-0.199,-6.669,-0.198,1.364,2.197,-0.941,-0.298,0.399,0.061,0.244,-0.006,-0.018,0.99,0.008,0.023,1.031,-0.033,-0.021,0.934,-0.021,-0.043,0.922,-0.071,-0.126,1.011,-0.073,0.037,0.869,0.014,-0.055,1.028,-49.404,-1.962,9.008,7.276,-4.818,2.166,15.794,16.115,42.605,51.992,-1.202,-12.011,-94.519,30.927,-15.796,32.519,1.686,4.25,17.257,-2.638,-0.893,1.0,-0.019,-0.005,0.002,1.0,0.004,-0.003,0.002,1.0,0.009,0.006,0.006,1.0,0.004,-0.001,-0.002,0.999,-0.05,0.007,-0.005,1.0,0.023,0.007,0.001,1.0,0.007,-0.001,0.0
485,4.85,313,6.26,-3.293,-0.194,0.117,0.344,-0.315,0.161,1.814,-0.058,-1.109,-1.064,0.143,-0.307,-7.753,-0.242,2.001,1.859,-1.02,-0.441,-0.093,0.063,0.338,0.026,-0.007,1.02,-0.024,0.075,1.049,-0.056,-0.15,0.931,0.005,0.059,0.946,-0.101,-0.163,0.939,-0.053,0.033,0.816,-0.009,-0.071,1.008,-55.049,-5.382,6.801,9.951,-5.082,1.58,17.068,20.267,56.584,57.819,-1.248,-10.944,-93.281,12.887,-5.537,28.16,2.44,4.101,15.47,-1.729,-1.528,1.0,-0.023,-0.005,0.003,1.0,0.005,-0.003,0.002,1.0,0.01,0.008,0.011,1.0,0.009,-0.001,-0.003,0.998,-0.058,0.008,-0.006,1.0,0.026,0.008,0.001,1.0,0.008,-0.001,0.0
