molab_frame,molab_time,video_frame,video_time,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
486,4.86,293,5.86,-0.802,0.337,-0.288,-0.559,0.015,-0.116,-0.051,0.291,0.146,0.165,0.339,0.174,-0.102,-0.252,-0.098,-0.771,0.164,-0.308,-0.967,-0.024,0.082,-0.003,-0.002,0.952,-0.007,-0.002,0.948,-0.005,0.008,1.002,0.007,-0.002,0.956,-0.002,-0.012,1.053,0.009,0.014,1.028,0.002,-0.005,0.894,-0.13,2.992,-1.987,0.188,0.957,-0.27,-0.116,1.591,2.739,4.128,-0.883,1.976,-0.571,-0.24,2.184,1.933,2.44,0.259,-1.344,-1.393,0.457,1.0,-0.005,0.004,-0.005,1.0,0.002,-0.001,-0.004,1.0,0.002,0.001,-0.002,1.0,0.001,-0.002,-0.004,1.0,-0.001,0.001,-0.003,1.0,0.007,-0.001,-0.003,1.0,-0.002,-0.001,-0.003
487,4.87,293,5.86,-0.8,0.335,-0.341,-0.612,0.028,-0.127,-0.077,0.265,0.182,0.239,0.316,0.174,-0.105,-0.264,-0.116,-0.824,0.128,-0.303,-1.02,0.058,0.086,-0.004,-0.003,0.963,-0.003,0.003,0.95,-0.004,0.009,0.993,0.005,0.013,0.965,-0.001,-0.001,1.065,0.002,0.016,1.027,0.012,0.001,0.899,-0.048,4.01,-2.133,0.351,1.451,-0.53,-0.791,1.566,3.07,4.27,-0.894,1.932,-0.469,-0.114,1.918,1.941,2.744,0.496,-1.26,-1.482,0.165,1.0,-0.004,0.004,-0.005,1.0,0.002,-0.001,-0.004,1.0,0.003,0.001,-0.002,1.0,0.001,-0.002,-0.004,1.0,-0.001,0.001,-0.002,1.0,0.007,-0.001,-0.003,1.0,-0.002,-0.002,-0.003
488,4.88,294,5.88,-0.763,0.331,-0.398,-0.577,0.022,-0.14,-0.003,0.239,0.22,0.284,0.288,0.177,-0.144,-0.295,-0.138,-0.819,0.079,-0.298,-1.031,0.157,0.086,0.005,-0.012,0.957,-0.003,0.01,0.954,-0.003,-0.002,0.99,-0.002,0.014,0.97,0.01,0.013,1.051,-0.001,0.01,1.027,0.025,-0.003,0.905,-0.148,4.673,-2.76,0.142,2.246,-0.825,-1.133,1.57,2.956,3.753,-0.72,2.412,-0.495,0.147,2.76,2.249,2.96,0.491,-1.673,-1.586,0.537,1.0,-0.005,0.005,-0.005,1.0,0.002,0.0,-0.004,1.0,0.002,0.002,-0.002,1.0,0.002,-0.002,-0.004,1.0,-0.001,0.001,-0.002,1.0,0.007,-0.001,-0.003,1.0,-0.002,-0.002,-0.003
489,4.89,294,5.88,-0.802,0.352,-0.452,-0.582,0.014,-0.16,0.004,0.195,0.256,0.336,0.246,0.177,-0.19,-0.314,-0.15,-0.85,0.016,-0.292,-1.092,0.27,0.083,-0.005,-0.014,0.951,-0.003,0.011,0.94,-0.003,0.009,0.976,0.002,0.009,0.956,0.006,0.003,1.058,-0.004,0.016,1.03,0.026,-0.007,0.908,0.904,4.936,-3.018,-0.46,3.91,-1.374,-1.514,1.198,2.261,3.49,0.04,2.21,-0.327,-0.178,2.194,2.373,2.976,0.624,-2.388,-1.558,0.96,1.0,-0.005,0.005,-0.006,1.0,0.002,0.0,-0.004,1.0,0.002,0.002,-0.002,1.0,0.002,-0.002,-0.004,1.0,0.0,0.0,-0.002,1.0,0.007,0.0,-0.003,1.0,-0.002,-0.002,-0.003
490,4.9,295,5.9,-0.78,0.382,-0.502,-0.612,0.015,-0.183,0.057,0.183,0.292,0.433,0.224,0.174,-0.183,-0.326,-0.161,-0.906,-0.035,-0.286,-1.172,0.362,0.086,-0.013,-0.016,0.943,-0.002,0.016,0.938,-0.017,0.0,0.99,0.004,0.006,0.958,0.004,-0.004,1.058,-0.002,0.019,1.03,0.021,-0.001,0.896,2.307,5.363,-2.973,-0.85,4.801,-1.569,-1.726,0.818,2.003,3.219,-0.114,1.967,-1.042,-0.036,1.625,2.743,3.174,0.702,-2.899,-0.647,0.598,1.0,-0.005,0.005,-0.006,1.0,0.003,0.0,-0.004,1.0,0.002,0.002,-0.002,1.0,0.003,-0.002,-0.003,1.0,-0.001,0.0,-0.002,1.0,0.008,0.0,-0.002,1.0,-0.002,-0.003,-0.003
491,4.91,295,5.9,-0.751,0.43,-0.545,-0.646,0.032,-0.203,0.072,0.149,0.325,0.457,0.193,0.169,-0.234,-0.358,-0.176,-0.958,-0.087,-0.278,-1.248,0.449,0.095,-0.038,-0.018,0.947,-0.008,0.016,0.947,-0.022,0.015,0.995,-0.016,0.02,0.971,0.003,0.014,1.047,-0.007,0.024,1.031,0.025,-0.004,0.89,4.15,4.964,-2.201,-1.143,5.083,-1.144,-1.462,0.546,2.116,3.039,-0.047,1.957,-0.656,0.214,1.484,2.499,3.075,0.774,-2.483,-0.079,-0.08,1.0,-0.004,0.006,-0.006,1.0,0.003,0.001,-0.004,1.0,0.002,0.002,-0.001,1.0,0.004,-0.002,-0.003,1.0,0.0,0.0,-0.002,1.0,0.008,0.001,-0.002,1.0,-0.003,-0.003,-0.003
492,4.92,296,5.92,-0.715,0.467,-0.596,-0.688,0.055,-0.221,0.061,0.1,0.365,0.462,0.147,0.171,-0.273,-0.377,-0.199,-1.008,-0.137,-0.271,-1.323,0.536,0.104,-0.026,-0.012,0.952,-0.01,0.011,0.946,-0.022,0.036,1.006,0.002,0.006,0.962,0.013,0.011,1.04,-0.005,0.021,1.032,0.021,-0.007,0.891,6.215,2.895,-1.968,-1.249,4.547,-1.002,-1.164,0.858,2.995,3.124,-0.345,2.142,-0.93,0.738,2.272,2.254,2.943,0.795,-2.077,-0.301,-0.011,1.0,-0.004,0.007,-0.006,1.0,0.003,0.002,-0.004,1.0,0.002,0.003,-0.001,1.0,0.004,-0.001,-0.003,1.0,0.0,0.0,-0.001,1.0,0.009,0.001,-0.002,1.0,-0.003,-0.003,-0.003
493,4.93,296,5.92,-0.634,0.472,-0.665,-0.713,0.051,-0.235,0.075,0.102,0.414,0.536,0.166,0.163,-0.263,-0.396,-0.198,-1.052,-0.189,-0.262,-1.386,0.635,0.107,-0.025,0.001,0.945,-0.005,0.012,0.974,-0.025,0.01,1.014,0.009,0.009,0.957,0.009,-0.005,1.029,-0.008,0.024,1.03,0.017,-0.005,0.882,6.452,2.823,-2.414,-1.464,4.16,-0.455,-0.375,1.703,4.47,3.671,-1.34,1.55,-1.408,0.348,0.77,2.01,2.743,0.935,-1.736,-1.225,0.828,1.0,-0.003,0.007,-0.007,1.0,0.003,0.002,-0.004,1.0,0.002,0.003,-0.001,1.0,0.004,-0.002,-0.003,1.0,-0.001,0.0,-0.001,1.0,0.009,0.002,-0.002,1.0,-0.003,-0.004,-0.003
494,4.94,297,5.94,-0.588,0.454,-0.74,-0.762,0.082,-0.242,0.087,0.074,0.464,0.588,0.17,0.139,-0.245,-0.372,-0.181,-1.095,-0.238,-0.255,-1.451,0.67,0.108,-0.019,-0.018,0.952,-0.016,0.009,0.96,-0.01,0.003,1.01,0.004,-0.011,0.945,0.007,-0.029,1.047,-0.008,0.023,1.027,0.002,-0.004,0.869,5.762,1.806,-2.201,-1.753,4.643,0.154,-0.505,1.919,5.165,4.575,-1.256,1.408,-0.72,-0.325,-0.993,1.639,2.562,0.772,-2.96,-2.063,0.774,1.0,-0.003,0.007,-0.007,1.0,0.003,0.003,-0.004,1.0,0.002,0.003,0.0,1.0,0.004,-0.002,-0.003,1.0,-0.001,0.0,-0.002,1.0,0.01,0.002,-0.002,1.0,-0.003,-0.004,-0.003
495,4.95,297,5.94,-0.507,0.419,-0.81,-0.813,0.108,-0.245,0.111,0.023,0.507,0.632,0.2,0.118,-0.277,-0.404,-0.171,-1.131,-0.285,-0.245,-1.539,0.713,0.113,-0.007,-0.012,0.951,-0.02,0.009,0.954,-0.009,-0.004,1.017,-0.002,-0.002,0.961,-0.004,-0.004,1.042,-0.014,0.028,1.025,0.005,-0.006,0.879,6.424,1.414,-1.784,-2.389,3.999,0.748,-0.525,1.647,5.15,5.418,-1.049,1.714,-0.615,0.532,-0.323,1.214,2.296,1.033,-3.405,-2.413,0.653,1.0,-0.003,0.007,-0.007,1.0,0.003,0.003,-0.004,1.0,0.002,0.004,0.0,1.0,0.004,-0.002,-0.003,1.0,-0.001,0.0,-0.002,1.0,0.01,0.003,-0.002,1.0,-0.004,-0.004,-0.003
