molab_frame,molab_time,video_frame,video_time,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
346,3.46,250,5.0,0.098,-0.01,-0.02,0.28,-0.034,-0.016,0.08,0.341,-0.032,-0.046,0.005,0.313,-0.009,0.001,-0.013,-0.008,-0.379,0.044,0.22,-0.067,0.053,0.007,0.008,0.953,0.001,0.003,1.009,-0.005,-0.005,1.049,0.002,0.004,1.016,-0.001,-0.001,0.955,-0.012,-0.002,0.897,-0.003,0.007,0.949,-0.256,0.004,0.004,-0.029,-0.024,-0.265,-0.159,0.462,0.0,-0.134,0.028,0.12,-0.067,0.234,-0.076,0.038,0.118,-0.205,0.581,-0.615,0.199,1.0,0.001,-0.001,0.003,1.0,0.0,-0.001,0.003,1.0,0.0,0.0,0.003,1.0,0.0,0.0,0.003,1.0,0.0,0.0,0.003,1.0,0.0,0.003,0.002,1.0,0.002,-0.001,0.003
347,3.47,250,5.0,0.096,0.0,-0.018,0.28,-0.063,-0.018,0.058,0.331,-0.04,-0.025,-0.024,0.316,-0.014,0.004,-0.009,-0.009,-0.38,0.05,0.272,-0.081,0.05,0.003,0.005,0.948,0.005,0.006,1.011,-0.01,0.0,1.047,-0.002,-0.001,1.018,-0.006,-0.002,0.961,-0.014,-0.006,0.892,-0.002,0.008,0.953,-0.306,0.354,-0.028,0.099,0.001,-0.226,-0.135,0.59,0.347,-0.137,0.027,0.257,0.113,0.29,-0.002,-0.058,0.306,-0.366,0.559,-0.826,-0.051,1.0,0.001,-0.001,0.003,1.0,0.0,-0.001,0.003,1.0,0.0,0.001,0.003,1.0,0.0,0.0,0.003,1.0,0.0,0.001,0.003,1.0,0.0,0.004,0.002,1.0,0.003,0.0,0.003
348,3.48,251,5.02,0.063,0.061,-0.013,0.306,-0.116,-0.021,0.073,0.338,-0.048,0.006,-0.01,0.318,0.039,0.005,-0.005,0.009,-0.429,0.056,0.333,-0.05,0.046,0.001,0.001,0.946,0.003,0.0,1.006,-0.004,-0.004,1.054,0.002,-0.005,1.021,-0.003,0.001,0.956,-0.012,-0.002,0.894,-0.002,0.008,0.953,-0.366,0.47,0.046,0.004,-0.138,-0.487,-0.069,0.567,0.426,-0.014,0.001,0.205,0.15,0.233,0.052,-0.114,0.32,-0.386,0.519,-0.732,-0.142,1.0,0.001,-0.001,0.003,1.0,0.0,-0.001,0.003,1.0,-0.001,0.001,0.003,1.0,0.0,0.0,0.003,1.0,0.0,0.001,0.003,1.0,0.0,0.004,0.002,1.0,0.003,0.0,0.003
349,3.49,251,5.02,0.071,0.037,-0.01,0.3,-0.048,-0.024,0.074,0.336,-0.057,-0.027,-0.021,0.32,0.031,0.008,-0.001,-0.014,-0.455,0.061,0.315,-0.104,0.043,0.002,0.005,0.951,0.0,0.002,1.005,-0.007,0.0,1.048,-0.001,0.002,1.015,-0.004,-0.001,0.956,-0.015,0.002,0.885,0.006,0.007,0.945,-0.482,0.211,-0.048,0.02,-0.136,-0.351,0.062,0.573,0.554,0.048,-0.08,0.178,0.176,0.215,0.152,-0.053,0.382,-0.326,0.452,-1.0,-0.103,1.0,0.001,-0.001,0.003,1.0,0.0,-0.001,0.003,1.0,-0.001,0.001,0.003,1.0,0.0,0.0,0.003,1.0,0.0,0.001,0.003,1.0,0.0,0.004,0.002,1.0,0.003,-0.001,0.003
350,3.5,252,5.04,0.054,0.003,-0.011,0.285,-0.006,-0.023,0.082,0.337,-0.065,0.004,-0.037,0.319,0.077,0.038,0.003,0.015,-0.478,0.064,0.312,-0.134,0.044,0.002,-0.002,0.948,-0.004,-0.004,1.003,-0.011,-0.003,1.047,-0.001,0.0,1.017,-0.003,0.003,0.962,-0.014,0.0,0.886,0.002,0.004,0.942,-0.232,0.192,-0.067,0.07,0.007,0.052,-0.007,0.513,0.453,-0.008,0.004,-0.068,0.264,0.092,0.032,0.019,0.529,-0.429,0.111,-0.809,-0.042,1.0,0.001,-0.001,0.003,1.0,0.0,-0.001,0.003,1.0,-0.001,0.002,0.003,1.0,0.0,0.0,0.003,1.0,0.0,0.001,0.003,1.0,0.0,0.004,0.002,1.0,0.003,-0.001,0.003
351,3.51,252,5.04,0.046,-0.005,-0.014,0.273,0.03,-0.018,0.049,0.342,-0.071,0.033,-0.016,0.317,0.024,0.08,0.006,0.033,-0.535,0.066,0.307,-0.121,0.043,0.002,0.001,0.945,-0.003,-0.004,1.003,-0.008,0.002,1.048,0.002,-0.003,1.019,-0.001,-0.003,0.958,-0.015,-0.003,0.89,0.002,0.002,0.947,0.107,0.404,-0.123,0.156,0.172,0.232,0.158,0.307,0.207,-0.188,-0.052,-0.182,0.103,0.082,-0.075,0.205,0.362,-0.319,0.012,-0.25,-0.282,1.0,0.0,-0.001,0.003,1.0,0.0,-0.001,0.003,1.0,0.0,0.002,0.003,1.0,0.0,0.0,0.003,1.0,0.0,0.001,0.003,1.0,0.0,0.005,0.002,1.0,0.002,-0.001,0.003
352,3.52,253,5.06,0.092,0.029,-0.018,0.271,0.049,-0.014,0.012,0.372,-0.073,0.033,0.018,0.314,-0.021,0.051,0.006,0.03,-0.604,0.065,0.271,-0.105,0.044,-0.001,0.001,0.949,0.001,-0.009,1.007,-0.004,0.004,1.052,0.004,-0.001,1.018,-0.004,-0.001,0.961,-0.016,-0.002,0.885,0.002,0.003,0.948,0.365,0.299,-0.155,0.028,0.147,0.192,0.016,0.21,-0.08,-0.066,0.114,-0.259,-0.067,0.111,-0.135,0.391,0.195,-0.209,-0.605,-0.17,-0.133,1.0,0.001,0.0,0.003,1.0,0.0,-0.001,0.003,1.0,0.0,0.002,0.003,1.0,0.0,0.0,0.003,1.0,0.0,0.001,0.003,1.0,0.0,0.005,0.002,1.0,0.002,-0.001,0.003
353,3.53,253,5.06,0.103,0.029,-0.019,0.237,0.05,-0.011,-0.036,0.413,-0.073,0.05,0.044,0.313,-0.023,0.057,0.004,0.035,-0.664,0.067,0.27,-0.107,0.043,0.004,0.004,0.946,0.005,0.001,1.012,-0.003,0.005,1.047,0.001,-0.001,1.018,-0.003,0.0,0.962,-0.013,-0.002,0.883,0.005,0.003,0.945,0.493,-0.055,-0.053,0.143,0.306,0.094,0.178,-0.079,-0.348,0.051,0.305,-0.146,0.141,-0.097,-0.081,0.237,0.216,-0.324,-0.319,0.199,-0.246,1.0,0.001,-0.001,0.003,1.0,0.0,-0.001,0.003,1.0,0.0,0.002,0.003,1.0,0.0,0.0,0.003,1.0,0.0,0.001,0.003,1.0,0.0,0.005,0.002,1.0,0.002,-0.001,0.003
354,3.54,254,5.08,0.076,-0.003,-0.018,0.233,0.054,-0.01,-0.011,0.421,-0.07,0.014,0.046,0.311,-0.029,0.109,-0.001,0.008,-0.7,0.069,0.265,-0.112,0.042,0.003,0.002,0.942,0.002,0.004,1.009,-0.005,0.0,1.052,0.001,0.002,1.02,0.0,-0.003,0.961,-0.014,0.001,0.891,0.004,0.01,0.953,0.434,-0.062,-0.039,0.115,0.194,-0.121,0.219,-0.367,-0.609,0.173,0.307,-0.143,0.094,-0.125,-0.147,0.25,0.015,-0.313,-0.29,0.085,-0.212,1.0,0.001,-0.001,0.003,1.0,0.0,-0.001,0.003,1.0,0.0,0.002,0.003,1.0,0.0,0.0,0.003,1.0,0.0,0.001,0.003,1.0,0.0,0.006,0.002,1.0,0.002,-0.001,0.003
355,3.55,254,5.08,0.066,0.025,-0.016,0.174,0.078,-0.011,-0.007,0.452,-0.064,-0.004,0.014,0.313,0.036,0.097,-0.006,-0.038,-0.685,0.071,0.224,-0.168,0.039,-0.002,0.005,0.948,0.002,0.004,1.009,-0.004,-0.002,1.051,-0.001,0.001,1.022,-0.002,0.006,0.965,-0.011,-0.002,0.885,0.003,0.003,0.953,0.441,-0.025,0.009,0.099,0.001,-0.226,0.097,-0.365,-0.601,0.106,0.303,0.128,-0.039,-0.152,-0.154,0.134,-0.07,-0.044,0.173,0.011,-0.205,1.0,0.001,-0.001,0.003,1.0,0.0,-0.001,0.003,1.0,0.0,0.002,0.003,1.0,0.0,0.0,0.003,1.0,0.0,0.001,0.003,1.0,0.0,0.006,0.002,1.0,0.002,-0.002,0.003
