molab_frame,molab_time,video_frame,video_time,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
476,4.76,332,6.64,-0.021,-0.148,0.17,0.045,0.078,0.49,-0.085,-0.23,0.035,0.005,-0.037,-0.048,0.048,0.05,-0.015,0.171,0.039,-0.106,-0.042,0.22,-0.006,-0.007,-0.001,1.023,-0.001,0.004,0.988,0.003,-0.005,1.003,-0.005,0.003,0.894,0.002,0.001,0.946,0.0,0.004,0.958,-0.001,-0.004,0.951,0.072,-0.173,-0.748,-0.128,0.028,-0.009,0.091,0.015,-0.087,-0.668,-0.17,0.034,0.175,-0.236,0.028,-0.191,-0.306,-0.263,0.131,-0.345,0.17,1.0,0.0,0.001,0.003,1.0,0.0,-0.001,0.004,1.0,0.0,-0.001,0.005,1.0,0.0,0.0,0.005,1.0,0.0,0.0,0.004,1.0,0.001,0.001,0.004,1.0,-0.001,0.001,0.004
477,4.77,332,6.64,0.001,-0.128,0.174,0.013,0.081,0.49,-0.1,-0.214,0.032,-0.037,-0.072,-0.048,0.006,0.034,-0.014,0.178,0.08,-0.107,-0.058,0.19,-0.004,-0.003,-0.003,1.024,0.001,0.0,0.988,0.003,0.004,1.002,-0.006,-0.001,0.886,0.006,-0.001,0.944,0.002,0.0,0.954,0.005,0.002,0.955,0.022,-0.264,-0.402,-0.189,-0.032,-0.016,0.092,-0.045,-0.075,-0.614,-0.338,-0.016,0.092,-0.007,-0.058,-0.431,-0.235,-0.286,0.175,-0.203,0.174,1.0,0.0,0.001,0.003,1.0,0.0,-0.001,0.004,1.0,0.0,-0.001,0.005,1.0,0.0,0.0,0.005,1.0,0.0,-0.001,0.004,1.0,0.001,0.0,0.004,1.0,-0.001,0.001,0.004
478,4.78,333,6.66,0.064,-0.108,0.176,0.027,0.051,0.49,-0.145,-0.185,0.029,0.008,-0.046,-0.048,-0.052,0.014,-0.013,0.185,0.094,-0.106,-0.054,0.127,-0.002,-0.001,-0.004,1.022,-0.001,-0.001,0.988,0.002,0.005,1.004,0.0,0.002,0.893,0.003,-0.002,0.947,0.003,-0.001,0.961,0.004,-0.003,0.952,-0.09,-0.179,-0.106,-0.062,-0.102,0.02,0.089,-0.176,-0.111,-0.302,-0.233,0.043,0.222,-0.013,0.014,-0.325,-0.216,-0.203,0.167,-0.046,0.245,1.0,-0.001,0.001,0.003,1.0,0.0,0.0,0.004,1.0,0.001,-0.001,0.005,1.0,0.0,0.0,0.005,1.0,0.0,-0.001,0.004,1.0,0.001,0.0,0.004,1.0,-0.001,0.001,0.004
479,4.79,333,6.66,-0.003,-0.118,0.176,0.03,0.086,0.49,-0.087,-0.185,0.028,-0.022,-0.065,-0.048,-0.021,0.068,-0.012,0.114,0.085,-0.106,-0.022,0.146,-0.001,-0.001,0.008,1.02,0.006,-0.001,0.985,0.004,-0.003,1.004,0.002,-0.004,0.888,-0.001,0.0,0.945,-0.001,-0.002,0.956,0.002,0.003,0.953,0.095,-0.22,-0.036,-0.062,-0.043,0.033,0.103,-0.081,0.056,-0.056,-0.283,0.031,0.153,0.274,0.111,-0.236,-0.244,-0.086,0.002,0.163,0.184,1.0,0.0,0.001,0.003,1.0,0.0,-0.001,0.004,1.0,0.0,-0.001,0.005,1.0,0.0,0.0,0.005,1.0,0.0,0.0,0.004,1.0,0.001,0.0,0.004,1.0,0.0,0.001,0.004
480,4.8,334,6.68,0.025,-0.131,0.179,0.065,0.089,0.491,-0.053,-0.19,0.028,0.016,-0.03,-0.048,0.013,0.011,-0.013,0.107,0.042,-0.107,0.029,0.181,0.0,0.002,-0.004,1.027,0.002,-0.002,0.986,0.0,0.0,1.005,0.009,0.0,0.886,0.001,0.001,0.949,-0.002,-0.002,0.96,-0.003,0.0,0.955,-0.035,-0.096,-0.259,-0.001,0.018,0.04,0.052,-0.057,0.18,0.06,-0.376,0.022,-0.025,0.178,0.116,-0.228,-0.159,-0.072,0.039,0.283,0.132,1.0,-0.001,0.001,0.003,1.0,-0.001,-0.001,0.004,1.0,0.0,-0.001,0.005,1.0,0.0,-0.001,0.005,1.0,0.0,-0.001,0.004,1.0,0.0,0.0,0.004,1.0,0.0,0.001,0.004
481,4.81,334,6.68,0.014,-0.141,0.185,0.097,0.084,0.49,-0.029,-0.167,0.031,0.062,0.011,-0.049,0.014,0.012,-0.017,0.087,0.052,-0.111,0.095,0.186,0.001,0.0,0.0,1.024,0.001,-0.003,0.988,-0.001,0.001,1.005,0.009,0.002,0.886,-0.003,0.002,0.948,0.004,0.001,0.956,-0.002,0.003,0.948,-0.042,-0.164,-0.493,0.115,-0.027,-0.042,0.072,-0.01,0.418,0.165,-0.337,0.153,-0.155,0.184,0.043,-0.069,-0.117,-0.151,-0.028,0.253,0.086,1.0,0.0,0.0,0.003,1.0,-0.001,-0.001,0.004,1.0,0.0,-0.001,0.005,1.0,0.0,-0.001,0.005,1.0,0.0,0.0,0.004,1.0,0.0,0.0,0.004,1.0,0.0,0.001,0.004
482,4.82,335,6.7,0.045,-0.166,0.193,0.064,0.085,0.49,-0.084,-0.143,0.036,0.028,0.046,-0.05,-0.053,0.026,-0.019,0.117,0.077,-0.117,0.042,0.162,0.001,0.001,-0.007,1.028,0.002,0.006,0.986,0.001,0.002,1.005,0.005,0.0,0.894,0.0,-0.001,0.947,0.001,0.001,0.959,0.002,-0.003,0.95,0.074,-0.156,-0.689,-0.128,-0.031,-0.022,0.066,0.038,0.347,-0.173,-0.19,0.04,0.039,0.097,0.096,-0.028,-0.173,-0.1,0.151,0.098,-0.074,1.0,-0.001,0.0,0.003,1.0,-0.001,-0.001,0.004,1.0,0.001,-0.001,0.005,1.0,0.0,-0.001,0.005,1.0,0.0,0.0,0.004,1.0,0.0,0.0,0.004,1.0,0.0,0.001,0.004
483,4.83,335,6.7,0.02,-0.155,0.2,0.104,0.08,0.49,-0.088,-0.169,0.037,0.046,0.077,-0.051,-0.054,0.042,-0.021,0.106,0.077,-0.121,0.113,0.178,0.0,0.003,-0.001,1.033,0.001,-0.003,0.987,0.002,0.005,1.004,0.007,-0.005,0.898,0.0,0.004,0.947,0.005,0.0,0.958,-0.004,0.003,0.956,-0.107,-0.14,-0.625,-0.614,-0.04,0.02,-0.012,0.122,0.149,0.025,0.088,0.138,-0.094,0.067,-0.026,-0.308,-0.168,-0.236,0.289,0.08,-0.019,1.0,-0.001,0.0,0.003,1.0,-0.001,-0.001,0.004,1.0,0.001,-0.001,0.005,1.0,-0.001,-0.001,0.005,1.0,0.0,0.0,0.004,1.0,0.0,-0.001,0.004,1.0,0.0,0.001,0.004
484,4.84,336,6.72,0.013,-0.104,0.205,0.145,0.076,0.496,-0.027,-0.186,0.039,0.106,0.052,-0.045,0.006,0.048,-0.023,0.109,0.058,-0.124,0.181,0.201,-0.006,0.003,0.001,1.033,-0.001,-0.023,0.983,0.0,-0.004,1.012,0.001,0.0,0.908,-0.001,0.005,0.952,0.002,0.005,0.959,-0.006,0.004,0.957,0.079,0.088,-0.506,-0.693,-0.021,0.531,0.049,0.122,0.144,0.113,-0.021,-0.071,-0.34,0.138,0.012,-0.574,-0.109,-0.178,0.527,0.113,-0.062,1.0,0.0,0.0,0.003,1.0,-0.001,-0.001,0.004,1.0,0.001,-0.001,0.005,1.0,0.0,-0.001,0.005,1.0,0.001,0.0,0.004,1.0,0.0,-0.001,0.004,1.0,0.0,0.001,0.004
485,4.85,336,6.72,-0.055,-0.112,0.208,0.188,0.073,0.506,-0.034,-0.246,0.042,0.114,0.05,-0.033,0.022,0.111,-0.022,0.099,0.08,-0.125,0.207,0.225,-0.02,-0.004,0.011,1.041,-0.002,-0.021,0.984,0.004,0.0,1.022,0.001,-0.004,0.906,-0.003,0.003,0.946,0.003,0.009,0.967,-0.004,-0.002,0.961,0.142,0.181,-0.408,-0.827,-0.195,1.07,0.097,-0.033,-0.016,-0.009,-0.089,-0.122,-0.753,-0.143,0.012,-1.004,-0.182,-0.284,0.66,0.183,-0.305,1.0,0.0,0.0,0.003,1.0,-0.002,-0.001,0.004,1.0,0.0,-0.001,0.005,1.0,-0.001,-0.001,0.005,1.0,0.001,0.0,0.004,1.0,0.001,-0.001,0.004,1.0,0.0,0.001,0.004
