molab_frame,molab_time,video_frame,video_time,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
506,5.06,338,6.76,-0.099,0.282,-0.099,-0.389,0.155,0.207,0.986,0.692,0.094,0.074,0.354,-0.06,-0.592,-0.133,0.016,-0.679,0.071,0.364,0.004,-0.065,-0.08,-0.003,-0.003,1.007,-0.003,0.003,0.978,-0.013,0.015,0.952,0.001,-0.001,0.964,0.002,-0.013,0.887,0.0,-0.005,0.954,-0.002,-0.002,1.052,-0.023,0.184,0.59,0.049,-0.081,0.018,0.23,-0.006,-0.07,-0.217,-0.069,0.233,0.355,-0.027,0.35,0.004,0.048,0.05,0.097,-0.187,0.145,1.0,-0.002,0.002,0.004,1.0,0.003,-0.001,0.002,1.0,0.007,0.008,0.005,1.0,-0.001,-0.003,0.003,1.0,-0.002,0.0,0.002,1.0,-0.003,-0.001,0.005,1.0,-0.002,0.0,0.002
507,5.07,338,6.76,-0.094,0.31,-0.093,-0.388,0.121,0.205,1.037,0.714,0.089,0.084,0.352,-0.059,-0.584,-0.064,0.011,-0.707,0.017,0.365,0.028,-0.129,-0.078,-0.005,-0.011,1.005,0.001,0.007,0.976,-0.02,0.016,0.952,0.001,-0.003,0.966,0.002,-0.003,0.888,0.003,-0.007,0.952,-0.004,-0.005,1.05,-0.029,0.049,0.573,-0.143,-0.074,-0.166,-0.041,-0.011,0.082,-0.169,-0.335,0.163,0.21,-0.103,0.432,-0.134,0.128,-0.039,-0.091,-0.216,0.212,1.0,-0.002,0.002,0.004,1.0,0.003,-0.001,0.002,1.0,0.007,0.008,0.005,1.0,-0.001,-0.002,0.003,1.0,-0.002,-0.001,0.002,1.0,-0.003,-0.001,0.005,1.0,-0.002,0.001,0.002
508,5.08,339,6.78,-0.061,0.302,-0.092,-0.353,0.126,0.205,1.018,0.769,0.088,0.045,0.357,-0.06,-0.516,-0.087,0.007,-0.648,-0.004,0.367,0.04,-0.083,-0.077,-0.001,-0.005,1.009,0.003,0.0,0.978,-0.016,0.013,0.951,0.009,-0.006,0.96,0.0,-0.002,0.891,0.004,-0.004,0.955,0.001,-0.002,1.05,0.096,-0.056,0.257,-0.137,-0.062,-0.03,-0.165,-0.124,0.224,0.172,-0.586,0.342,0.298,0.058,0.373,0.024,-0.018,0.209,-0.162,-0.106,0.284,1.0,-0.002,0.001,0.004,1.0,0.003,-0.001,0.002,1.0,0.007,0.008,0.005,1.0,-0.001,-0.003,0.003,1.0,-0.001,0.0,0.002,1.0,-0.003,-0.001,0.005,1.0,-0.002,0.0,0.002
509,5.09,339,6.78,-0.016,0.268,-0.094,-0.317,0.119,0.206,1.025,0.834,0.089,0.065,0.368,-0.059,-0.511,-0.076,0.003,-0.574,-0.011,0.368,0.029,-0.056,-0.075,0.0,-0.005,1.007,0.001,0.001,0.975,-0.017,0.013,0.955,0.008,-0.003,0.969,0.001,-0.006,0.887,0.002,0.0,0.954,0.0,-0.004,1.054,0.173,-0.139,0.009,-0.195,0.028,0.074,-0.205,-0.347,0.195,-0.032,-0.805,0.238,0.342,0.021,0.461,0.338,-0.212,0.134,-0.344,-0.112,0.269,1.0,-0.002,0.001,0.004,1.0,0.003,-0.001,0.002,1.0,0.007,0.009,0.005,1.0,-0.001,-0.003,0.003,1.0,-0.002,0.0,0.002,1.0,-0.002,-0.001,0.005,1.0,-0.002,0.0,0.002
510,5.1,340,6.8,0.003,0.277,-0.092,-0.286,0.136,0.207,0.992,0.776,0.088,0.018,0.397,-0.059,-0.486,-0.06,0.0,-0.519,0.032,0.368,-0.009,-0.079,-0.072,-0.006,-0.004,1.007,0.004,0.002,0.975,-0.014,0.011,0.95,0.007,-0.003,0.968,0.004,-0.004,0.888,0.0,-0.003,0.958,0.001,0.0,1.055,0.103,0.079,0.274,-0.134,0.029,0.071,-0.115,-0.286,0.113,-0.293,-0.523,0.051,0.468,-0.016,0.425,0.392,-0.152,0.105,-0.141,-0.277,0.101,1.0,-0.002,0.001,0.004,1.0,0.002,-0.001,0.002,1.0,0.007,0.008,0.005,1.0,-0.002,-0.003,0.003,1.0,-0.002,-0.001,0.002,1.0,-0.002,-0.001,0.005,1.0,-0.002,0.0,0.002
511,5.11,340,6.8,-0.029,0.288,-0.089,-0.271,0.169,0.206,0.992,0.812,0.085,0.063,0.443,-0.055,-0.485,-0.064,-0.006,-0.51,0.031,0.369,-0.006,-0.136,-0.071,-0.002,-0.003,1.005,0.007,0.003,0.975,-0.02,0.02,0.954,0.007,0.0,0.962,0.007,-0.007,0.894,0.004,-0.005,0.956,-0.003,-0.005,1.064,-0.059,-0.069,0.424,-0.137,-0.119,-0.053,-0.27,-0.4,0.174,-0.544,-1.091,0.023,0.581,-0.004,0.5,0.258,-0.048,0.071,0.136,-0.121,0.392,1.0,-0.002,0.001,0.004,1.0,0.002,-0.001,0.002,1.0,0.007,0.008,0.005,1.0,-0.001,-0.004,0.003,1.0,-0.002,-0.001,0.002,1.0,-0.002,-0.001,0.005,1.0,-0.002,0.0,0.002
512,5.12,341,6.82,-0.029,0.291,-0.083,-0.234,0.175,0.207,1.047,0.78,0.082,0.061,0.524,-0.054,-0.472,-0.064,-0.01,-0.497,0.06,0.369,-0.03,-0.177,-0.072,-0.009,-0.01,1.009,0.004,-0.004,0.976,-0.016,0.02,0.962,0.01,-0.002,0.965,0.004,-0.013,0.895,-0.002,-0.01,0.954,-0.007,-0.004,1.06,-0.069,0.148,0.677,-0.374,-0.054,0.116,-0.442,-0.301,0.287,-0.586,-1.251,0.439,0.849,0.139,0.469,0.248,0.167,0.115,-0.001,-0.037,0.542,1.0,-0.002,0.002,0.004,1.0,0.002,-0.002,0.002,1.0,0.007,0.008,0.005,1.0,-0.001,-0.004,0.003,1.0,-0.002,-0.001,0.002,1.0,-0.002,-0.001,0.005,1.0,-0.002,0.001,0.003
513,5.13,341,6.82,-0.028,0.289,-0.076,-0.231,0.213,0.21,1.066,0.745,0.073,0.058,0.579,-0.05,-0.496,-0.115,-0.013,-0.526,0.101,0.37,-0.079,-0.192,-0.074,-0.003,-0.014,1.006,0.013,0.005,0.978,-0.009,0.01,0.952,0.01,0.004,0.971,-0.001,-0.014,0.892,0.002,-0.015,0.953,-0.01,0.001,1.055,0.041,0.055,0.952,-0.853,-0.357,0.219,-0.159,-0.201,0.037,-1.304,-1.204,0.357,0.637,0.514,0.482,0.133,0.286,0.273,0.473,-0.016,0.717,1.0,-0.002,0.002,0.004,1.0,0.002,-0.002,0.002,1.0,0.007,0.008,0.005,1.0,-0.001,-0.004,0.003,1.0,-0.002,-0.001,0.002,1.0,-0.003,-0.001,0.005,1.0,-0.002,0.001,0.003
514,5.14,342,6.84,-0.03,0.262,-0.074,-0.211,0.251,0.206,1.064,0.744,0.066,0.045,0.66,-0.046,-0.484,-0.19,-0.023,-0.537,0.146,0.38,-0.081,-0.184,-0.076,0.0,-0.009,1.004,0.017,-0.005,0.99,-0.013,0.01,0.949,0.01,-0.002,0.97,-0.008,-0.011,0.887,0.001,-0.012,0.955,-0.014,-0.008,1.049,0.009,-0.006,0.783,-0.076,-0.912,-0.368,-0.285,0.044,-0.008,-1.421,-1.722,0.495,1.209,0.969,0.687,0.41,0.228,0.541,0.591,-0.28,0.874,1.0,-0.003,0.001,0.004,1.0,0.002,-0.002,0.002,1.0,0.007,0.008,0.005,1.0,-0.001,-0.005,0.003,1.0,-0.002,-0.001,0.002,1.0,-0.003,-0.001,0.005,1.0,-0.002,0.001,0.003
515,5.15,342,6.84,-0.019,0.276,-0.073,-0.214,0.295,0.207,1.056,0.759,0.058,0.011,0.678,-0.04,-0.478,-0.28,-0.036,-0.555,0.159,0.387,-0.072,-0.166,-0.078,0.005,-0.017,1.001,0.011,0.005,0.983,-0.015,0.01,0.959,0.005,-0.005,0.962,-0.016,-0.006,0.885,0.012,-0.011,0.949,-0.01,-0.005,1.038,0.157,0.167,0.89,-0.238,-1.015,0.06,-0.045,0.117,0.129,-1.451,-1.924,0.87,1.314,1.136,1.295,0.095,-0.167,0.796,0.678,-0.664,1.444,1.0,-0.003,0.001,0.005,1.0,0.002,-0.003,0.002,1.0,0.006,0.008,0.005,1.0,-0.002,-0.005,0.003,1.0,-0.002,0.0,0.002,1.0,-0.003,-0.001,0.005,1.0,-0.002,0.001,0.003
