Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
841,"-0,539","-0,795","-9,994","0,545","-3,315","2,669","-5,216","3,109","0,984","2,161","-5,851","-0,040","-0,693","3,532","5,866","-2,773","-4,158","-1,090","5,780","-3,495","5,256"
842,"-1,619","0,529","-9,311","0,715","-4,010","2,594","-6,069","3,166","0,830","1,157","-4,950","-0,922","-0,212","3,870","5,870","-2,736","-4,723","-0,848","5,559","-3,701","4,931"
843,"-1,875","1,861","-6,734","1,006","-4,405","2,458","-6,745","3,036","0,253","0,770","-5,840","-1,079","-0,349","4,494","5,836","-2,719","-5,865","1,182","5,426","-3,628","5,090"
844,"-1,692","2,851","-2,391","0,786","-4,379","1,910","-6,745","2,751","-0,456","2,375","-7,515","0,250","-0,128","5,066","5,379","-2,392","-6,066","3,338","5,718","-3,812","4,390"
845,"-1,589","2,865","0,449","0,448","-4,580","1,473","-5,777","2,831","-0,578","2,578","-8,435","1,129","0,472","5,261","4,912","-1,870","-4,486","3,519","5,782","-3,248","5,213"
846,"-2,014","3,869","4,841","-0,234","-4,184","1,264","-5,789","3,167","-1,064","2,355","-7,759","0,686","0,573","4,836","3,606","-1,903","-3,378","2,209","5,790","-2,914","5,064"
847,"-1,761","4,965","10,038","-0,542","-3,891","1,172","-6,045","3,443","-1,547","3,244","-7,159","1,113","0,369","4,350","2,296","-0,958","-3,012","1,444","5,887","-2,313","4,468"
848,"-1,030","4,971","13,080","-1,025","-3,034","1,116","-5,008","3,319","-1,445","4,145","-5,656","1,123","0,833","4,457","2,508","-0,810","-2,631","2,188","6,137","-1,649","4,324"
849,"-0,241","6,468","19,517","-1,195","-2,039","1,137","-4,399","3,409","-2,063","3,552","-4,911","0,300","1,283","4,010","2,979","-1,032","-2,571","2,671","5,939","-0,591","4,440"
850,"0,461","5,773","21,611","-1,047","-1,016","1,318","-4,109","4,342","-2,045","2,490","-4,365","0,576","0,747","2,688","1,554","0,041","-1,677","3,978","5,960","0,231","3,138"
