Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
0,"0,982","-0,169","0,090","0,000","0,982","0,188","0,024","0,000","0,901","0,388","0,197","0,000","0,886","0,385","-0,257","0,000","0,829","0,550","-0,100","0,000","0,829","0,556","0,058","0,000","0,967","-0,250","-0,045","0,000"
1,"0,982","-0,169","0,090","0,000","0,982","0,188","0,024","0,000","0,901","0,386","0,198","0,000","0,887","0,384","-0,258","0,000","0,828","0,553","-0,098","0,000","0,829","0,556","0,058","0,000","0,967","-0,250","-0,045","0,000"
2,"0,981","-0,170","0,090","0,000","0,982","0,187","0,026","0,000","0,900","0,387","0,198","0,000","0,887","0,385","-0,257","0,000","0,828","0,552","-0,099","0,000","0,829","0,556","0,059","0,000","0,967","-0,250","-0,045","0,000"
3,"0,981","-0,170","0,090","0,000","0,982","0,186","0,024","0,000","0,900","0,388","0,198","0,000","0,886","0,385","-0,258","0,000","0,828","0,551","-0,100","0,000","0,830","0,554","0,058","0,000","0,967","-0,250","-0,045","0,000"
4,"0,981","-0,170","0,090","0,000","0,982","0,186","0,024","0,000","0,900","0,388","0,198","0,000","0,886","0,385","-0,258","0,000","0,829","0,551","-0,100","0,000","0,830","0,554","0,058","0,000","0,967","-0,251","-0,045","0,000"
5,"0,981","-0,170","0,090","0,000","0,982","0,186","0,024","0,000","0,900","0,388","0,198","0,000","0,886","0,385","-0,258","0,000","0,829","0,551","-0,100","0,000","0,830","0,554","0,056","0,000","0,967","-0,250","-0,044","0,000"
6,"0,981","-0,170","0,090","0,000","0,982","0,186","0,024","0,000","0,900","0,388","0,198","0,000","0,886","0,385","-0,258","0,000","0,829","0,550","-0,100","0,000","0,830","0,554","0,056","0,000","0,967","-0,250","-0,043","0,000"
7,"0,982","-0,169","0,090","0,000","0,982","0,186","0,024","0,000","0,900","0,388","0,198","0,000","0,886","0,385","-0,258","0,000","0,829","0,550","-0,100","0,000","0,831","0,554","0,056","0,000","0,967","-0,250","-0,044","0,000"
8,"0,981","-0,169","0,090","0,000","0,982","0,186","0,024","0,000","0,900","0,388","0,198","0,000","0,886","0,386","-0,257","0,000","0,829","0,550","-0,099","0,000","0,831","0,554","0,057","0,000","0,967","-0,250","-0,044","0,000"
9,"0,981","-0,169","0,090","0,000","0,982","0,186","0,024","0,000","0,900","0,388","0,198","0,000","0,886","0,386","-0,257","0,000","0,830","0,549","-0,099","0,000","0,831","0,554","0,056","0,000","0,967","-0,250","-0,044","0,000"
10,"0,981","-0,172","0,091","0,000","0,982","0,189","0,023","0,000","0,900","0,390","0,196","0,001","0,886","0,384","-0,259","0,001","0,831","0,548","-0,097","-0,001","0,832","0,552","0,055","0,000","0,967","-0,252","-0,044","0,000"
11,"0,981","-0,169","0,092","0,000","0,982","0,186","0,025","0,000","0,901","0,388","0,197","0,000","0,886","0,386","-0,257","0,000","0,831","0,548","-0,095","-0,003","0,831","0,553","0,057","-0,001","0,967","-0,250","-0,043","0,000"
12,"0,982","-0,167","0,094","0,001","0,983","0,184","0,024","0,000","0,900","0,388","0,199","0,000","0,887","0,384","-0,257","0,000","0,832","0,546","-0,093","-0,004","0,832","0,552","0,056","0,000","0,967","-0,251","-0,040","0,001"
13,"0,981","-0,170","0,094","0,000","0,982","0,185","0,026","0,000","0,901","0,386","0,199","-0,001","0,886","0,386","-0,256","-0,001","0,833","0,546","-0,096","-0,002","0,831","0,553","0,058","-0,002","0,968","-0,248","-0,041","0,001"
14,"0,981","-0,171","0,091","0,000","0,982","0,185","0,023","0,000","0,902","0,385","0,197","0,000","0,887","0,385","-0,254","-0,001","0,831","0,547","-0,096","-0,002","0,832","0,552","0,060","-0,003","0,968","-0,248","-0,038","0,001"
15,"0,981","-0,169","0,093","0,000","0,983","0,182","0,024","0,000","0,901","0,387","0,198","-0,001","0,886","0,386","-0,255","-0,001","0,832","0,546","-0,094","-0,003","0,831","0,554","0,060","-0,003","0,967","-0,251","-0,040","0,001"
16,"0,981","-0,167","0,096","0,001","0,983","0,184","0,021","0,000","0,900","0,387","0,201","-0,002","0,887","0,385","-0,257","0,000","0,833","0,545","-0,093","-0,004","0,830","0,554","0,062","-0,004","0,967","-0,252","-0,042","0,000"
17,"0,981","-0,168","0,093","0,000","0,983","0,182","0,021","0,000","0,901","0,386","0,199","-0,001","0,887","0,386","-0,255","-0,001","0,833","0,546","-0,091","-0,006","0,829","0,556","0,060","-0,003","0,967","-0,254","-0,039","0,001"
18,"0,982","-0,165","0,092","0,000","0,983","0,184","0,023","0,000","0,900","0,388","0,199","-0,001","0,886","0,387","-0,256","-0,001","0,832","0,548","-0,089","-0,007","0,830","0,554","0,061","-0,004","0,967","-0,251","-0,038","0,001"
19,"0,981","-0,168","0,094","0,001","0,982","0,186","0,025","0,000","0,899","0,389","0,201","-0,001","0,886","0,385","-0,257","0,000","0,833","0,546","-0,091","-0,006","0,829","0,555","0,059","-0,003","0,968","-0,249","-0,037","0,001"
20,"0,982","-0,166","0,092","0,000","0,982","0,187","0,022","0,000","0,900","0,387","0,200","-0,001","0,886","0,387","-0,257","-0,001","0,832","0,548","-0,090","-0,007","0,830","0,554","0,061","-0,004","0,967","-0,251","-0,038","0,001"
21,"0,981","-0,167","0,094","0,000","0,983","0,184","0,023","0,000","0,901","0,387","0,197","0,000","0,887","0,386","-0,255","-0,001","0,832","0,547","-0,092","-0,005","0,829","0,556","0,062","-0,004","0,968","-0,248","-0,039","0,001"
22,"0,981","-0,170","0,095","0,000","0,982","0,186","0,024","0,000","0,900","0,388","0,199","-0,001","0,887","0,386","-0,253","-0,002","0,833","0,545","-0,091","-0,005","0,830","0,554","0,061","-0,004","0,967","-0,251","-0,037","0,002"
23,"0,981","-0,168","0,098","0,001","0,983","0,184","0,024","0,000","0,900","0,386","0,201","-0,002","0,887","0,384","-0,255","-0,001","0,832","0,547","-0,092","-0,005","0,831","0,552","0,062","-0,005","0,968","-0,249","-0,035","0,002"
24,"0,980","-0,171","0,098","0,001","0,982","0,186","0,025","0,000","0,901","0,384","0,199","-0,002","0,886","0,386","-0,256","-0,001","0,832","0,547","-0,094","-0,003","0,831","0,553","0,064","-0,006","0,968","-0,250","-0,038","0,002"
25,"0,981","-0,169","0,096","0,001","0,982","0,185","0,023","0,000","0,900","0,386","0,200","-0,002","0,886","0,385","-0,259","0,001","0,831","0,549","-0,095","-0,003","0,831","0,553","0,061","-0,004","0,967","-0,252","-0,039","0,001"
26,"0,981","-0,167","0,097","0,001","0,982","0,186","0,025","0,000","0,901","0,385","0,198","-0,001","0,886","0,387","-0,257","0,000","0,831","0,547","-0,096","-0,002","0,831","0,552","0,063","-0,006","0,966","-0,254","-0,041","0,001"
27,"0,981","-0,166","0,100","0,001","0,983","0,183","0,024","0,000","0,902","0,384","0,200","-0,002","0,886","0,385","-0,257","0,000","0,831","0,549","-0,094","-0,003","0,830","0,554","0,064","-0,006","0,967","-0,251","-0,042","0,001"
28,"0,981","-0,168","0,098","0,001","0,982","0,186","0,023","0,000","0,901","0,385","0,201","-0,002","0,885","0,387","-0,257","0,000","0,831","0,547","-0,096","-0,002","0,831","0,553","0,062","-0,005","0,967","-0,249","-0,044","0,000"
29,"0,981","-0,167","0,095","0,001","0,982","0,186","0,026","0,000","0,902","0,383","0,200","-0,002","0,885","0,389","-0,256","-0,001","0,831","0,549","-0,095","-0,003","0,830","0,555","0,062","-0,005","0,968","-0,247","-0,043","0,000"
30,"0,981","-0,166","0,095","0,001","0,982","0,186","0,026","0,000","0,901","0,384","0,200","-0,002","0,885","0,389","-0,256","-0,001","0,830","0,549","-0,095","-0,003","0,830","0,555","0,062","-0,004","0,968","-0,247","-0,042","0,000"
31,"0,982","-0,166","0,095","0,001","0,982","0,186","0,025","0,000","0,901","0,384","0,200","-0,002","0,885","0,389","-0,256","-0,001","0,830","0,549","-0,095","-0,002","0,830","0,554","0,062","-0,004","0,968","-0,247","-0,043","0,000"
32,"0,982","-0,166","0,095","0,001","0,982","0,187","0,025","0,000","0,901","0,384","0,200","-0,002","0,885","0,388","-0,256","-0,001","0,830","0,549","-0,095","-0,002","0,830","0,555","0,062","-0,004","0,968","-0,247","-0,042","0,001"
33,"0,982","-0,166","0,094","0,001","0,982","0,187","0,025","0,000","0,901","0,384","0,200","-0,002","0,885","0,388","-0,257","-0,001","0,830","0,549","-0,096","-0,002","0,830","0,555","0,061","-0,004","0,968","-0,248","-0,042","0,001"
34,"0,982","-0,166","0,094","0,001","0,982","0,187","0,025","0,000","0,901","0,385","0,200","-0,002","0,885","0,388","-0,257","-0,001","0,830","0,550","-0,096","-0,002","0,830","0,555","0,061","-0,004","0,968","-0,247","-0,042","0,001"
35,"0,982","-0,167","0,094","0,001","0,982","0,187","0,024","0,000","0,901","0,385","0,200","-0,002","0,885","0,388","-0,257","-0,001","0,830","0,549","-0,096","-0,002","0,830","0,555","0,061","-0,004","0,968","-0,248","-0,042","0,001"
