Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
29,"-18,417","13,195","0,858","11,008","-2,890","0,217","68,416","10,502","-1,963","80,060","17,008","-4,947","-27,222","9,490","4,155","-25,270","-10,350","-4,093","-11,110","-2,214","0,275"
30,"-18,444","13,211","0,857","11,046","-2,904","0,219","68,368","10,530","-1,996","80,049","17,031","-4,975","-27,223","9,512","4,185","-25,235","-10,388","-4,123","-11,139","-2,263","0,238"
31,"-18,445","13,216","0,857","11,062","-2,937","0,224","68,323","10,561","-2,032","80,044","17,065","-5,018","-27,247","9,533","4,213","-25,200","-10,433","-4,162","-11,167","-2,291","0,213"
32,"-18,415","13,213","0,862","11,076","-2,970","0,226","68,351","10,606","-2,074","80,027","17,070","-5,027","-27,230","9,531","4,210","-25,170","-10,482","-4,202","-11,172","-2,291","0,208"
33,"-18,353","13,228","0,879","11,107","-2,988","0,224","68,404","10,613","-2,065","80,064","17,093","-5,059","-27,179","9,521","4,196","-25,112","-10,507","-4,226","-11,151","-2,293","0,204"
34,"-18,393","13,253","0,884","11,114","-3,020","0,226","68,359","10,608","-2,048","80,097","17,113","-5,089","-27,152","9,522","4,196","-25,119","-10,557","-4,275","-11,134","-2,299","0,197"
35,"-18,392","13,233","0,884","11,093","-3,043","0,227","68,311","10,628","-2,068","80,102","17,144","-5,141","-27,145","9,525","4,192","-25,121","-10,574","-4,301","-11,127","-2,304","0,197"
36,"-18,439","13,211","0,879","11,093","-3,075","0,230","68,289","10,648","-2,085","80,156","17,171","-5,175","-27,163","9,572","4,220","-25,135","-10,569","-4,315","-11,108","-2,337","0,186"
37,"-18,486","13,173","0,873","11,071","-3,094","0,233","68,285","10,661","-2,094","80,169","17,175","-5,185","-27,212","9,599","4,242","-25,172","-10,550","-4,328","-11,153","-2,379","0,174"
38,"-18,550","13,151","0,861","11,061","-3,125","0,237","68,252","10,693","-2,123","80,175","17,210","-5,240","-27,216","9,647","4,287","-25,219","-10,554","-4,351","-11,157","-2,435","0,141"
39,"-18,561","13,121","0,848","11,035","-3,147","0,236","68,200","10,687","-2,101","80,214","17,219","-5,259","-27,238","9,683","4,327","-25,223","-10,545","-4,354","-11,146","-2,492","0,101"
40,"-18,486","13,124","0,864","11,013","-3,176","0,233","68,253","10,712","-2,110","80,201","17,225","-5,289","-27,254","9,679","4,326","-25,211","-10,568","-4,376","-11,139","-2,495","0,100"
41,"0,659","0,047","-0,001","-0,582","-0,026","-0,237","0,202","-0,434","0,001","-0,666","0,661","0,007","-0,679","-0,715","0,000","0,013","0,127","-0,001","-0,424","-0,041","-0,003"
42,"0,015","0,046","0,000","-0,541","-0,026","-0,237","0,072","-0,339","0,000","-0,253","0,663","0,004","-0,639","-0,915","-0,001","-0,686","0,127","0,000","-0,011","0,157","0,000"
43,"-0,039","0,047","0,000","-0,541","-0,026","-0,237","0,072","-0,339","0,000","-0,253","0,666","0,004","-0,639","-0,918","-0,001","-0,740","0,126","0,000","-0,011","0,157","0,000"
44,"-0,133","-0,214","0,000","-0,541","0,091","-0,236","0,032","-0,120","0,000","-0,323","0,419","0,002","-0,620","-0,836","-0,001","-0,740","0,237","0,001","-0,160","0,206","-0,001"
45,"-0,334","-0,214","0,000","-0,388","0,090","-0,237","0,010","-0,073","0,000","-0,218","0,407","0,002","-0,467","-0,839","-0,001","-0,788","0,237","0,001","-0,055","0,209","0,000"
46,"-0,215","-0,149","0,000","-0,387","0,111","-0,236","0,010","-0,073","0,000","-0,145","0,418","0,001","-0,429","-0,569","-0,001","-0,668","0,193","0,001","-0,083","-0,081","0,000"
47,"-0,215","-0,214","0,000","-0,152","0,090","-0,237","-0,022","-0,038","0,000","-0,079","0,418","0,001","-0,231","-0,549","-0,001","-0,434","0,238","0,001","-0,054","-0,082","0,000"
48,"-0,159","-0,211","0,000","-0,152","0,090","-0,237","-0,017","-0,042","0,000","-0,041","0,379","0,000","-0,231","-0,500","-0,001","-0,351","0,238","0,001","-0,054","-0,086","0,000"
49,"-0,136","-0,150","0,000","-0,072","0,091","-0,237","-0,025","-0,057","0,000","-0,043","0,380","0,001","-0,170","-0,550","-0,001","-0,270","0,244","0,001","-0,038","-0,038","0,000"
