Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
29,"-17,146","13,006","0,018","12,263","-4,124","0,543","61,999","10,132","-1,981","74,867","20,243","-9,778","-18,919","9,570","3,434","-15,047","-11,328","-3,283","-11,108","-4,493","-0,190"
30,"-17,169","12,954","0,009","12,237","-4,104","0,540","61,988","10,154","-2,018","74,912","20,240","-9,767","-18,923","9,523","3,407","-15,098","-11,287","-3,265","-11,058","-4,479","-0,192"
31,"-17,176","12,949","0,008","12,267","-4,112","0,543","61,979","10,161","-2,032","74,974","20,251","-9,778","-18,882","9,498","3,389","-15,093","-11,312","-3,278","-11,015","-4,450","-0,189"
32,"-17,134","12,943","0,011","12,282","-4,085","0,540","61,974","10,169","-2,039","75,025","20,247","-9,768","-18,834","9,472","3,378","-15,054","-11,302","-3,272","-10,951","-4,460","-0,205"
33,"-17,112","12,960","0,018","12,251","-4,092","0,544","62,014","10,160","-2,022","75,055","20,251","-9,768","-18,872","9,501","3,406","-15,096","-11,330","-3,294","-10,935","-4,521","-0,236"
34,"-17,140","12,958","0,017","12,220","-4,097","0,549","61,983","10,182","-2,060","75,102","20,265","-9,775","-18,929","9,518","3,426","-15,147","-11,356","-3,315","-10,935","-4,564","-0,257"
35,"-17,124","12,941","0,020","12,217","-4,132","0,562","61,971","10,176","-2,056","75,117","20,273","-9,774","-18,906","9,551","3,445","-15,130","-11,397","-3,342","-10,887","-4,597","-0,277"
36,"-17,132","12,913","0,015","12,189","-4,145","0,569","61,951","10,196","-2,089","75,108","20,245","-9,721","-18,909","9,543","3,437","-15,134","-11,388","-3,341","-10,851","-4,551","-0,264"
37,"-17,122","12,876","0,007","12,223","-4,159","0,573","61,958","10,188","-2,075","75,110","20,251","-9,724","-18,887","9,525","3,425","-15,118","-11,372","-3,332","-10,869","-4,555","-0,265"
38,"-17,072","12,884","0,014","12,251","-4,181","0,578","61,962","10,204","-2,096","75,046","20,254","-9,726","-18,844","9,567","3,451","-15,072","-11,412","-3,348","-10,883","-4,582","-0,281"
39,"-17,018","12,891","0,026","12,228","-4,161","0,571","61,999","10,174","-2,056","75,054","20,261","-9,731","-18,835","9,552","3,447","-15,064","-11,379","-3,327","-10,852","-4,622","-0,310"
40,"-17,008","12,830","0,021","12,196","-4,180","0,574","61,973","10,178","-2,074","75,103","20,263","-9,726","-18,841","9,578","3,469","-15,082","-11,365","-3,319","-10,791","-4,647","-0,336"
41,"-0,088","-0,219","0,000","0,373","-0,002","-0,585","-0,137","0,077","0,000","0,395","-0,153","0,000","0,832","0,247","-0,001","0,481","0,024","0,000","0,761","-0,218","-0,002"
42,"0,013","-0,010","0,000","0,374","-0,002","-0,585","-0,191","0,183","0,000","0,396","-0,154","0,000","0,332","-0,072","0,000","0,481","0,070","0,000","0,261","0,102","0,000"
43,"-0,118","-0,009","0,000","0,374","-0,002","-0,585","-0,190","0,183","0,000","0,089","-0,189","0,000","0,260","-0,070","0,000","0,260","0,070","0,000","0,189","0,099","0,000"
44,"0,014","-0,211","0,000","0,343","0,011","-0,585","-0,192","0,355","0,001","0,103","-0,187","0,000","0,301","-0,084","0,000","0,451","0,036","0,000","0,081","0,102","0,000"
45,"0,012","-0,126","0,000","0,343","-0,001","-0,585","-0,102","0,269","0,000","0,136","-0,117","0,000","0,302","-0,124","0,000","0,359","0,025","0,000","0,114","0,082","0,000"
