Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
0,"0,082","-0,037","0,070","0,536","0,269","0,193","-0,282","-0,042","0,255","0,065","0,023","-0,063","0,171","-0,447","-0,152","-0,170","-0,127","-0,092","0,095","-0,156","0,048"
1,"-0,049","-0,056","-0,041","0,536","0,210","0,207","-0,303","-0,031","0,172","-0,224","0,053","0,003","0,588","-0,218","0,021","-0,109","-0,128","-0,094","0,514","-0,022","0,275"
2,"-0,157","-0,023","0,148","0,713","0,252","0,120","-0,095","-0,031","-0,015","-0,259","0,045","0,082","0,404","-0,272","0,042","-0,100","0,248","0,012","0,143","0,096","0,415"
3,"-0,026","0,056","0,249","0,475","0,270","0,198","0,005","-0,046","0,137","-0,059","0,018","0,072","0,534","-0,226","-0,118","0,279","0,208","0,547","0,146","0,134","0,338"
4,"-0,051","0,080","0,743","0,190","0,329","0,459","0,095","-0,059","-0,022","0,008","-0,032","0,048","0,527","-0,218","0,018","0,671","0,504","1,403","0,034","-0,021","0,064"
5,"-0,047","0,090","0,803","-0,043","0,063","0,664","0,181","-0,149","0,034","-0,102","0,114","0,063","0,027","-0,017","0,226","0,362","0,236","1,394","0,043","-0,042","-0,186"
6,"-0,121","0,180","0,607","-0,281","0,021","0,755","0,241","-0,020","0,081","-0,212","0,138","0,017","-0,129","0,263","0,831","0,100","0,002","0,839","0,041","-0,157","-0,147"
7,"-0,078","0,018","0,383","-0,048","-0,069","0,631","0,314","-0,062","0,102","-0,025","-0,096","-0,068","-0,566","0,571","0,982","0,253","-0,237","-0,191","-0,034","-0,020","0,255"
8,"-0,074","-0,032","0,454","0,130","-0,145","0,571","0,213","-0,046","-0,050","-0,048","-0,020","0,025","-0,501","0,457","0,910","0,238","-0,283","-0,768","0,024","-0,001","0,315"
9,"-0,087","-0,003","0,263","0,368","-0,282","0,520","0,287","0,035","0,032","-0,056","0,084","-0,062","0,169","-0,092","-0,145","-0,118","-0,303","-0,350","-0,035","-0,078","0,274"
10,"0,044","0,076","0,364","0,550","-0,107","0,466","0,220","-0,009","-0,002","0,089","0,069","-0,095","0,779","-0,172","-0,135","0,143","-0,181","0,252","-0,094","0,038","0,233"
