Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
30,"92,919","4,558","-7,176","17,448","-2,326","0,170","62,177","9,502","2,363","67,413","24,309","-5,484","85,900","12,447","-10,259","86,758","8,487","-3,634","97,826","-1,599","-11,798"
31,"92,905","4,629","-7,173","17,458","-2,317","0,166","62,102","9,476","2,392","67,455","24,352","-5,517","85,913","12,449","-10,207","86,779","8,475","-3,600","97,859","-1,573","-11,814"
32,"92,885","4,669","-7,182","17,472","-2,307","0,165","62,020","9,490","2,387","67,504","24,346","-5,509","85,908","12,454","-10,154","86,801","8,462","-3,568","97,872","-1,533","-11,820"
33,"92,899","4,742","-7,180","17,488","-2,284","0,163","62,008","9,454","2,431","67,521","24,402","-5,547","85,913","12,454","-10,086","86,849","8,456","-3,561","97,884","-1,517","-11,842"
34,"92,912","4,811","-7,172","17,489","-2,287","0,173","61,958","9,407","2,472","67,549","24,435","-5,560","85,893","12,468","-10,049","86,870","8,433","-3,534","97,879","-1,513","-11,865"
35,"92,937","4,878","-7,157","17,537","-2,254","0,172","61,936","9,368","2,506","67,536","24,414","-5,528","85,940","12,461","-9,973","86,926","8,423","-3,538","97,867","-1,453","-11,856"
36,"92,939","4,946","-7,134","17,552","-2,245","0,175","61,903","9,318","2,532","67,529","24,468","-5,571","85,970","12,461","-9,930","86,932","8,408","-3,518","97,900","-1,445","-11,876"
37,"92,938","4,956","-7,133","17,564","-2,233","0,178","61,884","9,256","2,575","67,528","24,477","-5,582","86,005","12,459","-9,899","86,949","8,417","-3,564","97,904","-1,446","-11,877"
38,"92,939","4,960","-7,127","17,599","-2,261","0,194","61,877","9,199","2,619","67,527","24,512","-5,609","86,073","12,472","-9,918","86,973","8,404","-3,572","97,963","-1,444","-11,885"
39,"92,952","4,952","-7,118","17,653","-2,282","0,209","61,872","9,147","2,661","67,529","24,537","-5,629","86,159","12,476","-9,928","87,038","8,397","-3,597","98,024","-1,428","-11,881"
40,"92,938","4,932","-7,102","17,694","-2,312","0,222","61,870","9,107","2,690","67,520","24,538","-5,633","86,227","12,475","-9,940","87,070","8,390","-3,616","98,024","-1,422","-11,868"
41,"0,207","-0,488","-0,001","-0,446","-0,602","-0,235","0,091","-0,335","0,001","0,284","0,059","0,000","-0,194","0,311","0,000","-0,127","0,090","-0,001","0,545","0,481","0,003"
42,"-0,009","-0,839","0,001","0,383","-0,605","-0,231","-0,610","-0,295","-0,003","0,240","0,013","0,000","0,251","0,312","-0,001","0,486","0,478","0,002","0,161","0,401","0,001"
43,"-0,319","-0,194","0,003","0,383","-0,605","-0,231","-0,610","-0,716","-0,008","0,241","0,080","0,000","0,251","0,312","-0,001","0,177","0,486","0,002","0,163","0,336","0,001"
44,"-0,263","-0,297","0,003","0,083","-0,513","-0,233","-0,360","-0,541","-0,003","0,227","0,117","0,000","0,239","0,221","-0,001","-0,068","0,504","0,000","0,436","0,336","0,002"
45,"-0,264","-0,128","0,002","0,083","-0,513","-0,233","-0,609","-0,506","-0,007","0,227","0,112","0,000","0,239","0,221","-0,001","-0,069","0,511","0,000","0,436","0,336","0,002"
46,"-0,247","-0,228","0,002","-0,073","-0,344","-0,233","-0,647","-0,419","-0,006","0,199","0,045","0,000","0,082","0,052","0,000","-0,172","0,675","0,000","0,408","0,402","0,002"
47,"-0,247","-0,127","0,002","0,083","-0,344","-0,233","-0,655","-0,522","-0,007","0,227","0,098","0,000","0,229","0,051","-0,001","-0,015","0,678","0,001","0,426","0,336","0,002"
48,"-0,247","-0,227","0,002","0,083","-0,344","-0,233","-0,647","-0,452","-0,006","0,233","0,046","0,000","0,238","0,111","-0,001","-0,015","0,674","0,001","0,434","0,342","0,002"
49,"-0,298","-0,227","0,003","0,237","-0,374","-0,232","-0,647","-0,452","-0,006","0,226","0,101","0,000","0,392","0,140","-0,001","0,088","0,644","0,001","0,435","0,276","0,002"
50,"-0,298","-0,277","0,003","0,237","-0,374","-0,232","-0,641","-0,399","-0,006","0,226","0,040","0,000","0,488","0,141","-0,002","0,088","0,623","0,001","0,530","0,342","0,002"
51,"-0,497","-0,296","-0,010","0,527","-0,588","-0,230","-0,670","-0,412","-0,007","-0,027","0,121","0,009","0,453","0,245","-0,012","0,229","0,090","0,018","0,200","0,112","-0,014"
52,"-0,178","-0,277","-0,032","0,525","-0,925","-0,223","-0,761","0,095","0,000","0,527","0,074","0,016","0,637","0,865","-0,019","0,372","-0,567","0,034","0,660","0,051","-0,028"
53,"-0,185","-0,269","-0,050","0,617","-0,582","-0,222","-0,379","0,178","0,000","0,397","-0,611","0,021","0,382","0,500","-0,017","0,329","-0,553","0,048","0,277","0,419","-0,035"
54,"0,101","-0,100","-0,066","0,954","-0,416","-0,219","-0,018","-0,184","0,000","0,081","-0,174","0,028","1,005","0,508","-0,023","0,941","-0,210","0,062","0,594","-0,093","-0,045"
55,"0,221","0,126","-0,076","0,637","-0,344","-0,213","0,587","-0,387","0,008","0,244","-0,658","0,029","0,414","0,665","-0,015","0,390","-0,406","0,059","0,190","-0,002","-0,047"
56,"0,495","0,659","-0,082","0,552","-0,670","-0,202","0,327","-0,506","0,013","0,013","-0,668","0,029","0,656","0,931","-0,013","0,586","-0,922","0,059","0,423","0,389","-0,046"
57,"0,301","0,144","-0,091","0,895","-0,534","-0,199","0,199","-0,438","0,012","0,329","-0,065","0,033","0,915","1,141","-0,009","0,631","-0,599","0,059","0,447","-0,283","-0,051"
58,"-0,352","0,100","-0,093","0,609","-0,648","-0,195","-0,392","-0,753","0,004","-0,142","-0,048","0,026","0,881","1,038","-0,005","0,015","-0,575","0,055","0,459","0,180","-0,047"
59,"-0,287","-0,119","-0,096","0,968","-0,738","-0,194","0,278","-0,625","0,011","0,104","-0,617","0,020","1,354","0,812","-0,007","0,088","-0,446","0,058","0,843","0,725","-0,042"
60,"-0,510","-0,352","-0,099","0,993","-0,390","-0,202","-0,219","-0,424","0,017","0,078","-0,446","0,013","1,070","0,650","-0,007","0,211","0,229","0,070","0,201","0,521","-0,032"
61,"-1,157","-0,111","-0,091","0,697","-0,503","-0,204","-0,458","-0,223","0,024","0,434","0,114","0,006","1,102","0,731","-0,012","-0,425","0,010","0,063","0,635","0,231","-0,023"
62,"-0,633","0,314","-0,088","0,379","-0,485","-0,207","0,055","-0,693","0,027","0,275","-0,461","-0,005","0,459","0,582","-0,011","-0,457","-0,143","0,059","0,406","0,704","-0,007"
63,"-0,276","-0,243","-0,081","0,745","-0,482","-0,211","0,268","-0,044","0,025","-0,047","-0,303","-0,015","0,667","0,890","-0,014","0,155","0,096","0,063","0,222","0,053","-0,006"
64,"-0,761","-0,223","-0,066","1,113","-0,530","-0,213","0,012","0,526","0,022","-0,035","-0,227","-0,016","0,961","1,274","-0,013","0,286","-0,200","0,055","0,497","-0,307","-0,017"
65,"-0,627","0,435","-0,062","0,796","-0,464","-0,217","-0,018","-0,097","0,018","-0,051","-0,068","-0,016","0,838","0,923","-0,004","-0,038","-0,474","0,045","0,355","-0,051","-0,026"
66,"-0,252","-0,134","-0,073","1,090","-0,266","-0,223","-0,016","-0,106","0,017","-0,046","-0,055","-0,017","1,193","1,058","0,003","0,457","-0,002","0,056","0,084","-0,332","-0,038"
67,"0,163","0,414","-0,088","0,758","-0,254","-0,229","0,277","-0,691","0,022","0,078","-0,215","-0,017","0,531","0,935","0,016","0,286","-0,299","0,059","0,080","-0,348","-0,054"
68,"-0,056","-0,221","-0,115","1,094","-0,123","-0,237","0,510","-0,158","0,036","0,470","-0,615","-0,016","0,860","0,454","0,024","0,451","0,127","0,068","0,419","0,053","-0,069"
69,"-0,654","-0,263","-0,126","1,306","0,164","-0,249","-0,121","-0,201","0,041","-0,108","-0,285","-0,017","1,121","0,501","0,037","0,369","0,601","0,077","0,151","-0,400","-0,086"
70,"-0,165","-0,006","-0,131","1,276","-0,173","-0,246","0,362","-0,617","0,043","0,243","-0,789","-0,021","1,356","0,634","0,047","0,677","0,320","0,072","0,462","0,140","-0,093"
71,"-0,177","0,024","-0,123","1,303","-0,142","-0,251","0,305","-0,649","0,037","0,226","-0,747","-0,027","1,347","0,587","0,057","0,723","0,333","0,065","0,437","0,117","-0,092"
72,"-0,245","-0,012","-0,114","1,350","-0,135","-0,254","0,289","-0,670","0,034","0,208","-0,693","-0,037","1,352","0,578","0,064","0,732","0,363","0,058","0,370","0,094","-0,083"
73,"-0,266","-0,021","-0,102","1,360","-0,166","-0,259","0,263","-0,632","0,031","0,208","-0,626","-0,051","1,329","0,594","0,068","0,720","0,307","0,054","0,336","0,073","-0,067"
74,"-0,292","-0,038","-0,092","1,391","-0,143","-0,264","0,249","-0,620","0,025","0,242","-0,588","-0,064","1,316","0,573","0,071","0,715","0,316","0,055","0,327","0,061","-0,051"
75,"-0,279","-0,107","-0,085","1,373","-0,113","-0,268","0,280","-0,557","0,020","0,300","-0,541","-0,074","1,260","0,533","0,075","0,702","0,383","0,059","0,315","0,046","-0,038"
76,"-0,264","-0,120","-0,081","1,400","-0,090","-0,271","0,268","-0,489","0,015","0,284","-0,499","-0,081","1,259","0,490","0,081","0,748","0,385","0,060","0,298","0,030","-0,032"
77,"-0,269","-0,122","-0,083","1,378","-0,060","-0,276","0,237","-0,428","0,017","0,288","-0,426","-0,085","1,199","0,449","0,086","0,729","0,384","0,064","0,263","-0,001","-0,033"
78,"-0,279","-0,128","-0,092","1,371","-0,025","-0,279","0,271","-0,414","0,021","0,329","-0,367","-0,083","1,156","0,403","0,089","0,703","0,391","0,070","0,234","-0,031","-0,037"
79,"-0,239","-0,101","-0,105","1,336","-0,001","-0,281","0,266","-0,414","0,028","0,309","-0,297","-0,080","1,092","0,364","0,093","0,675","0,390","0,076","0,197","-0,058","-0,044"
80,"-0,305","-0,071","-0,119","1,306","-0,027","-0,278","0,219","-0,398","0,038","0,364","-0,269","-0,078","1,043","0,370","0,100","0,607","0,352","0,078","0,195","-0,074","-0,047"
81,"-0,364","-0,039","-0,129","1,261","-0,025","-0,275","0,221","-0,430","0,049","0,349","-0,200","-0,077","0,983","0,349","0,106","0,528","0,341","0,075","0,173","-0,093","-0,048"
82,"-0,329","-0,026","-0,132","1,213","-0,028","-0,270","0,191","-0,459","0,054","0,344","-0,161","-0,077","0,911","0,333","0,111","0,510","0,357","0,069","0,169","-0,104","-0,046"
83,"-0,403","-0,031","-0,126","1,167","-0,040","-0,266","0,127","-0,450","0,052","0,287","-0,129","-0,076","0,844","0,327","0,113","0,427","0,363","0,062","0,117","-0,111","-0,041"
84,"-0,475","-0,023","-0,117","1,121","-0,044","-0,263","0,059","-0,444","0,048","0,305","-0,060","-0,078","0,796","0,312","0,110","0,347","0,361","0,054","0,111","-0,129","-0,033"
