Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
29,"-17,230","13,631","1,592","10,743","-4,041","0,041","69,333","10,244","-1,463","80,166","18,564","-7,490","-25,832","9,041","3,774","-24,523","-11,501","-5,039","-9,682","-3,539","-0,411"
30,"-17,236","13,620","1,605","10,782","-4,055","0,039","69,310","10,267","-1,503","80,172","18,524","-7,452","-25,806","9,019","3,776","-24,486","-11,527","-5,065","-9,705","-3,480","-0,390"
31,"-17,254","13,618","1,617","10,802","-4,088","0,041","69,289","10,301","-1,545","80,121","18,500","-7,447","-25,810","9,010","3,790","-24,474","-11,569","-5,111","-9,749","-3,432","-0,366"
32,"-17,278","13,678","1,657","10,838","-4,107","0,041","69,241","10,291","-1,533","80,126","18,453","-7,411","-25,791","8,987","3,788","-24,450","-11,603","-5,160","-9,777","-3,372","-0,329"
33,"-17,315","13,738","1,702","10,852","-4,143","0,042","69,179","10,258","-1,504","80,148","18,412","-7,398","-25,824","9,013","3,824","-24,461","-11,650","-5,223","-9,811","-3,348","-0,299"
34,"-17,355","13,740","1,741","10,892","-4,162","0,039","69,125","10,249","-1,508","80,152","18,354","-7,376","-25,813","9,047","3,861","-24,433","-11,641","-5,249","-9,846","-3,351","-0,274"
35,"-17,358","13,751","1,796","10,940","-4,164","0,030","69,114","10,182","-1,450","80,149","18,313","-7,365","-25,757","9,062","3,873","-24,397","-11,617","-5,260","-9,860","-3,359","-0,261"
36,"-17,375","13,755","1,852","10,991","-4,161","0,018","69,080","10,125","-1,422","80,167","18,290","-7,367","-25,688","9,053","3,864","-24,365","-11,581","-5,254","-9,827","-3,330","-0,239"
37,"-17,394","13,727","1,891","11,042","-4,155","0,007","69,025","10,110","-1,448","80,155","18,274","-7,362","-25,639","9,018","3,840","-24,302","-11,565","-5,259","-9,825","-3,268","-0,211"
38,"-17,418","13,693","1,911","11,087","-4,139","-0,004","68,968","10,107","-1,458","80,151","18,258","-7,351","-25,642","8,995","3,824","-24,251","-11,532","-5,260","-9,888","-3,237","-0,187"
39,"-17,384","13,673","1,946","11,132","-4,133","-0,010","68,988","10,129","-1,477","80,143","18,238","-7,351","-25,645","8,974","3,807","-24,201","-11,506","-5,278","-9,959","-3,208","-0,144"
40,"-17,396","13,700","2,009","11,176","-4,135","-0,012","68,951","10,105","-1,474","80,133","18,197","-7,341","-25,643","8,981","3,815","-24,148","-11,494","-5,311","-10,004","-3,193","-0,095"
41,"0,251","0,772","0,002","0,382","-0,174","0,013","0,058","-0,203","0,000","0,419","-0,781","0,005","-0,142","0,098","0,001","0,328","-0,034","0,000","-0,184","1,408","0,004"
42,"-0,334","0,846","0,007","0,383","-0,223","0,013","0,489","-0,620","0,004","0,614","-0,895","0,004","-0,142","0,147","0,001","-0,688","0,261","0,001","0,012","0,761","0,004"
43,"-0,352","0,757","0,007","0,383","-0,223","0,013","0,482","-0,626","0,004","0,615","0,863","-0,007","-0,300","0,147","0,001","-0,769","0,356","0,002","-0,146","-1,037","-0,005"
44,"-0,330","0,434","0,004","0,382","-0,222","0,013","0,494","-0,767","0,002","0,531","0,288","-0,003","-0,191","0,146","0,001","-0,689","0,261","0,001","-0,121","-0,461","-0,002"
45,"-0,328","0,437","0,004","0,491","-0,331","0,013","0,497","-0,771","0,002","0,531","0,211","-0,003","-0,192","0,094","0,001","-0,580","0,153","0,000","-0,231","-0,301","-0,002"
46,"-0,163","0,055","0,001","0,490","-0,222","0,013","0,342","-0,544","0,000","0,422","-0,131","-0,001","-0,192","-0,014","0,000","-0,256","0,086","0,000","-0,341","0,048","-0,001"
47,"-0,283","0,055","0,001","0,540","-0,222","0,013","0,336","-0,533","0,000","0,511","-0,130","-0,001","-0,144","-0,633","-0,003","-0,326","0,086","0,000","-0,253","0,665","0,001"
48,"-0,559","0,221","0,001","0,541","-0,204","0,013","0,065","-0,533","-0,001","0,423","-0,364","0,001","-0,143","-0,611","-0,003","-0,325","-0,063","-0,001","-0,341","0,930","0,000"
49,"-0,598","0,416","0,002","0,601","-0,205","0,013","0,065","-0,728","-0,001","0,423","-0,434","0,001","-0,141","-0,610","-0,004","-0,304","-0,063","-0,001","-0,400","0,930","0,000"
50,"-0,593","0,398","0,002","0,601","-0,190","0,013","0,031","-0,709","-0,001","0,423","-0,434","0,001","-0,083","-0,415","-0,002","-0,265","-0,049","-0,001","-0,341","0,720","0,000"
