Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
0,"0,988","-0,150","0,041","0,000","0,994","-0,095","0,044","0,000","0,891","0,436","0,127","0,000","0,875","0,439","-0,202","0,000","0,953","-0,299","-0,050","0,000","0,953","-0,292","-0,082","0,000","0,974","-0,224","-0,031","0,000"
1,"0,988","-0,151","0,043","0,000","0,994","-0,095","0,044","0,000","0,891","0,436","0,127","0,000","0,876","0,440","-0,198","0,000","0,951","-0,306","-0,050","0,000","0,953","-0,292","-0,082","0,000","0,973","-0,230","-0,031","0,000"
2,"0,988","-0,151","0,043","0,000","0,994","-0,095","0,047","0,000","0,891","0,436","0,127","0,000","0,876","0,439","-0,199","0,000","0,949","-0,313","-0,050","0,000","0,953","-0,292","-0,080","0,000","0,973","-0,230","-0,031","0,000"
3,"0,988","-0,150","0,043","0,000","0,995","-0,094","0,046","0,000","0,891","0,437","0,126","0,000","0,876","0,439","-0,201","0,000","0,948","-0,312","-0,058","0,000","0,954","-0,291","-0,079","0,000","0,973","-0,227","-0,031","0,000"
4,"0,988","-0,150","0,043","0,000","0,994","-0,095","0,046","0,000","0,891","0,437","0,127","0,000","0,876","0,439","-0,199","0,000","0,948","-0,314","-0,057","0,000","0,954","-0,291","-0,078","0,000","0,973","-0,230","-0,031","0,000"
5,"0,988","-0,149","0,043","0,000","0,995","-0,094","0,044","0,000","0,891","0,436","0,127","0,000","0,876","0,439","-0,199","0,000","0,948","-0,313","-0,057","0,000","0,954","-0,288","-0,078","0,000","0,973","-0,230","-0,034","0,000"
6,"0,988","-0,149","0,043","0,000","0,994","-0,095","0,044","0,000","0,891","0,436","0,127","0,000","0,876","0,439","-0,198","0,000","0,948","-0,314","-0,057","0,000","0,954","-0,288","-0,078","0,000","0,973","-0,230","-0,031","0,000"
7,"0,988","-0,149","0,043","0,000","0,994","-0,095","0,044","0,000","0,891","0,436","0,127","0,000","0,877","0,437","-0,198","0,000","0,948","-0,314","-0,057","0,000","0,955","-0,286","-0,079","0,000","0,973","-0,228","-0,031","0,000"
8,"0,988","-0,150","0,044","0,000","0,994","-0,095","0,044","0,000","0,891","0,436","0,128","0,000","0,877","0,438","-0,196","0,000","0,948","-0,314","-0,055","0,000","0,954","-0,289","-0,077","0,000","0,973","-0,230","-0,031","0,000"
9,"0,988","-0,150","0,044","0,000","0,994","-0,095","0,044","0,000","0,891","0,436","0,127","0,000","0,877","0,439","-0,196","0,000","0,948","-0,314","-0,055","0,000","0,954","-0,289","-0,077","0,000","0,973","-0,229","-0,031","0,000"
