Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
0,"-16,484","15,685","0,114","10,553","-3,823","0,353","66,466","10,201","-2,849","76,187","17,350","-5,816","-22,389","11,202","4,083","-20,080","-15,093","-4,826","-9,891","-3,754","-0,035"
1,"-16,198","15,353","0,208","10,649","-3,822","0,356","66,740","10,213","-2,779","76,615","17,485","-5,859","-22,293","11,202","4,080","-19,971","-14,669","-4,703","-9,337","-3,762","-0,094"
2,"-16,209","15,119","0,212","10,712","-3,951","0,371","66,740","10,213","-2,779","76,615","17,485","-5,859","-22,243","11,318","4,140","-19,916","-14,562","-4,695","-9,337","-3,762","-0,094"
3,"-15,942","15,204","0,229","10,649","-3,822","0,356","66,566","10,129","-2,747","76,262","17,508","-5,776","-22,251","11,641","4,204","-19,685","-14,572","-4,627","-9,499","-4,092","-0,103"
4,"-15,786","15,200","0,268","10,686","-3,942","0,369","66,738","10,178","-2,767","76,357","17,452","-5,845","-22,282","11,742","4,266","-19,686","-14,678","-4,682","-9,552","-4,210","-0,123"
5,"-15,775","15,146","0,261","10,649","-3,920","0,365","66,724","10,160","-2,793","76,294","17,419","-5,841","-22,317","11,721","4,256","-19,696","-14,660","-4,670","-9,687","-4,208","-0,108"
6,"-15,797","15,109","0,269","10,657","-3,936","0,367","66,725","10,174","-2,762","76,304","17,404","-5,853","-22,319","11,543","4,208","-19,719","-14,581","-4,656","-9,711","-4,035","-0,089"
7,"-15,942","15,204","0,229","10,622","-3,934","0,366","66,620","10,102","-2,737","76,188","17,351","-5,822","-22,284","11,544","4,199","-19,726","-14,673","-4,677","-9,839","-4,005","-0,066"
8,"-15,966","15,202","0,227","10,622","-4,045","0,376","66,617","10,146","-2,759","76,369","17,252","-5,771","-22,349","11,597","4,246","-19,763","-14,771","-4,729","-9,736","-3,963","-0,075"
9,"-15,989","15,194","0,213","10,551","-4,031","0,372","66,570","10,162","-2,790","76,225","17,352","-5,822","-22,269","11,612","4,228","-19,802","-14,785","-4,728","-9,710","-3,982","-0,074"
