Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
2360,"0,108","0,119","1,033","0,005","-0,285","0,950","-0,022","-0,037","0,936","0,045","-0,016","0,942","-0,019","-0,004","0,879","-0,010","0,042","0,970","0,019","0,100","1,029"
2361,"0,097","0,126","1,032","0,006","-0,284","0,949","-0,029","-0,032","0,937","0,042","-0,016","0,968","-0,024","0,002","0,892","-0,011","0,043","0,970","0,027","0,114","1,039"
2362,"0,081","0,122","1,028","0,003","-0,285","0,950","-0,021","-0,032","0,959","0,026","-0,012","0,964","-0,018","0,010","0,898","-0,024","0,037","0,964","0,039","0,122","1,048"
2363,"0,077","0,113","1,027","0,004","-0,282","0,949","0,003","-0,042","0,957","0,003","-0,004","0,977","-0,010","0,008","0,900","-0,030","0,038","0,963","0,040","0,134","1,045"
2364,"0,073","0,121","1,019","0,005","-0,283","0,948","0,004","-0,043","0,934","-0,010","-0,011","0,981","0,003","0,009","0,905","-0,040","0,040","0,962","0,030","0,123","1,047"
2365,"0,079","0,129","1,005","0,003","-0,287","0,949","-0,032","-0,048","0,917","0,002","-0,015","0,949","0,014","0,005","0,902","-0,038","0,044","0,954","0,029","0,110","1,051"
2366,"0,076","0,116","0,999","0,003","-0,285","0,949","-0,052","-0,041","0,957","0,018","-0,009","0,940","0,025","0,007","0,896","-0,035","0,049","0,949","0,024","0,105","1,044"
2367,"0,065","0,119","0,991","0,002","-0,279","0,955","-0,038","-0,058","0,948","0,033","-0,010","0,971","0,031","0,005","0,894","-0,030","0,055","0,947","0,041","0,136","1,017"
2368,"0,062","0,132","0,987","0,006","-0,282","0,951","-0,039","-0,056","0,936","0,014","-0,012","1,013","0,041","0,005","0,892","-0,025","0,062","0,947","0,062","0,107","1,025"
2369,"0,051","0,116","0,981","0,011","-0,283","0,946","-0,032","-0,051","0,955","0,001","-0,035","0,960","0,044","0,007","0,884","-0,029","0,060","0,944","0,051","0,096","1,027"
2370,"0,052","0,117","0,984","0,004","-0,280","0,949","-0,018","-0,058","0,948","0,004","-0,041","0,929","0,044","0,007","0,882","-0,034","0,058","0,940","0,049","0,087","1,023"
2371,"0,055","0,113","0,985","0,004","-0,279","0,953","-0,038","-0,067","0,924","0,017","-0,034","0,957","0,042","0,009","0,878","-0,040","0,053","0,938","0,051","0,093","1,023"
2372,"0,060","0,123","0,981","0,005","-0,278","0,953","-0,058","-0,069","0,928","0,045","-0,027","0,958","0,041","0,006","0,877","-0,042","0,051","0,938","0,062","0,100","1,030"
2373,"0,062","0,122","0,989","0,006","-0,289","0,947","-0,062","-0,063","0,929","0,064","-0,018","0,959","0,038","0,007","0,886","-0,036","0,044","0,940","0,067","0,097","1,039"
2374,"0,056","0,122","0,998","0,003","-0,288","0,951","-0,056","-0,059","0,948","0,051","-0,018","0,968","0,036","0,004","0,896","-0,035","0,039","0,946","0,062","0,114","1,036"
2375,"0,043","0,113","1,001","0,005","-0,285","0,947","-0,033","-0,055","0,953","0,035","-0,023","0,969","0,034","0,003","0,901","-0,039","0,031","0,955","0,058","0,115","1,044"
2376,"0,045","0,119","1,003","0,006","-0,288","0,949","-0,024","-0,058","0,948","0,021","-0,022","0,965","0,035","-0,001","0,896","-0,048","0,033","0,962","0,054","0,106","1,046"
2377,"0,051","0,114","1,001","0,006","-0,290","0,946","-0,025","-0,057","0,957","0,017","-0,030","0,944","0,034","-0,005","0,903","-0,052","0,030","0,964","0,041","0,115","1,048"
2378,"0,051","0,120","1,007","0,003","-0,292","0,947","-0,026","-0,059","0,954","0,034","-0,024","0,957","0,035","-0,004","0,908","-0,056","0,036","0,958","0,053","0,117","1,047"
2379,"0,054","0,114","1,011","0,005","-0,294","0,948","-0,034","-0,064","0,938","0,044","-0,025","0,974","0,034","-0,010","0,907","-0,054","0,041","0,954","0,056","0,122","1,045"
2380,"0,058","0,119","1,006","0,003","-0,291","0,945","-0,038","-0,059","0,947","0,030","-0,033","0,980","0,029","-0,011","0,903","-0,048","0,036","0,952","0,075","0,150","1,018"
2381,"0,053","0,116","1,010","0,003","-0,292","0,947","-0,020","-0,061","0,954","0,033","-0,040","0,979","0,024","-0,007","0,893","-0,050","0,038","0,954","0,096","0,133","1,028"
2382,"0,057","0,103","1,008","0,006","-0,292","0,950","0,000","-0,064","0,966","0,014","-0,033","0,976","0,017","-0,008","0,888","-0,050","0,037","0,953","0,094","0,109","1,028"
2383,"0,056","0,108","1,005","0,006","-0,292","0,945","0,011","-0,073","0,950","-0,022","-0,013","0,986","0,023","0,001","0,879","-0,051","0,035","0,952","0,071","0,100","1,031"
2384,"0,060","0,115","1,002","-0,001","-0,296","0,948","0,002","-0,069","0,945","-0,055","-0,013","0,960","0,026","0,003","0,880","-0,048","0,041","0,954","0,062","0,110","1,020"
2385,"0,063","0,116","0,992","0,006","-0,292","0,947","-0,010","-0,071","0,941","-0,071","-0,006","0,960","0,029","0,010","0,882","-0,048","0,043","0,950","0,052","0,113","1,015"
2386,"0,055","0,104","0,997","0,003","-0,289","0,947","-0,006","-0,071","0,954","-0,063","-0,015","0,963","0,031","0,009","0,881","-0,046","0,050","0,949","0,047","0,088","1,021"
2387,"0,053","0,105","0,987","0,005","-0,291","0,948","0,013","-0,064","0,995","-0,058","0,003","0,960","0,029","0,009","0,888","-0,046","0,049","0,947","0,032","0,100","1,022"
2388,"0,045","0,101","0,986","0,002","-0,281","0,951","0,059","-0,067","1,007","-0,032","0,009","0,945","0,032","0,010","0,887","-0,051","0,054","0,949","0,020","0,110","1,020"
2389,"0,036","0,099","0,987","0,005","-0,283","0,952","0,076","-0,078","0,964","-0,052","0,024","0,957","0,031","0,014","0,892","-0,055","0,051","0,943","0,029","0,119","1,025"
2390,"0,049","0,109","0,972","0,005","-0,287","0,951","0,033","-0,088","0,919","-0,042","0,027","0,949","0,032","0,009","0,883","-0,060","0,062","0,942","0,025","0,122","1,037"
2391,"0,052","0,110","0,968","-0,002","-0,285","0,951","-0,022","-0,086","0,941","-0,049","0,022","0,945","0,027","0,011","0,897","-0,058","0,057","0,934","0,024","0,133","1,037"
2392,"0,040","0,110","0,971","0,005","-0,286","0,944","-0,020","-0,081","0,981","-0,039","0,011","0,972","0,025","0,006","0,905","-0,061","0,062","0,932","0,027","0,133","1,044"
2393,"0,036","0,112","0,979","0,002","-0,287","0,947","0,024","-0,091","0,952","-0,032","-0,007","0,981","0,025","0,002","0,910","-0,061","0,063","0,936","0,050","0,132","1,041"
2394,"0,040","0,115","0,980","0,002","-0,290","0,949","0,022","-0,089","0,921","-0,030","-0,003","0,958","0,024","0,002","0,905","-0,064","0,064","0,933","0,059","0,127","1,043"
2395,"0,038","0,121","0,986","0,006","-0,286","0,949","-0,011","-0,081","0,936","-0,030","0,003","0,958","0,026","0,002","0,900","-0,068","0,064","0,948","0,057","0,130","1,035"
2396,"0,037","0,122","0,992","0,004","-0,284","0,945","-0,026","-0,089","0,949","-0,034","0,005","0,968","0,026","0,004","0,893","-0,074","0,060","0,946","0,055","0,130","1,032"
2397,"0,037","0,119","1,002","0,005","-0,285","0,949","-0,017","-0,082","0,962","-0,033","0,002","0,953","0,026","0,002","0,887","-0,079","0,060","0,950","0,058","0,122","1,028"
2398,"0,040","0,129","1,003","0,002","-0,288","0,945","-0,002","-0,075","0,948","-0,035","-0,002","0,955","0,024","0,005","0,886","-0,082","0,055","0,954","0,055","0,122","1,023"
2399,"0,040","0,135","1,006","0,006","-0,289","0,950","0,002","-0,073","0,945","-0,032","-0,007","0,961","0,025","0,008","0,888","-0,082","0,052","0,958","0,052","0,125","1,028"
2400,"0,041","0,129","1,012","0,006","-0,285","0,947","0,008","-0,067","0,964","-0,042","-0,014","0,973","0,025","0,008","0,884","-0,078","0,050","0,969","0,047","0,123","1,025"
2401,"0,045","0,122","1,011","0,001","-0,287","0,947","0,007","-0,068","0,974","-0,035","-0,023","0,965","0,026","0,011","0,890","-0,078","0,052","0,966","0,055","0,120","1,025"
2402,"0,044","0,123","1,008","0,008","-0,290","0,945","0,012","-0,073","0,964","-0,030","-0,017","0,956","0,026","0,010","0,887","-0,081","0,046","0,955","0,051","0,125","1,019"
2403,"0,037","0,117","1,005","0,004","-0,293","0,952","0,010","-0,075","0,956","-0,023","-0,012","0,962","0,030","0,014","0,885","-0,076","0,043","0,958","0,042","0,125","1,021"
2404,"0,045","0,118","1,004","0,004","-0,290","0,951","0,014","-0,080","0,949","-0,022","-0,004","0,962","0,022","0,008","0,883","-0,074","0,048","0,950","0,039","0,122","1,020"
2405,"0,046","0,112","0,997","0,005","-0,290","0,953","0,012","-0,079","0,958","-0,032","-0,003","0,958","0,022","0,009","0,888","-0,069","0,050","0,951","0,035","0,127","1,026"
2406,"0,045","0,111","0,988","0,006","-0,289","0,944","0,018","-0,079","0,968","-0,032","-0,009","0,959","0,019","0,006","0,891","-0,061","0,044","0,941","0,034","0,121","1,032"
2407,"0,044","0,116","0,986","0,004","-0,290","0,944","0,015","-0,086","0,952","-0,041","-0,023","0,981","0,015","0,009","0,891","-0,060","0,049","0,941","0,047","0,129","1,023"
2408,"0,044","0,113","0,986","0,004","-0,292","0,948","0,001","-0,087","0,933","-0,030","-0,033","0,967","0,009","0,007","0,893","-0,056","0,051","0,940","0,056","0,124","1,027"
2409,"0,041","0,108","0,987","0,003","-0,291","0,946","-0,010","-0,086","0,944","-0,023","-0,017","0,960","0,009","0,002","0,891","-0,058","0,050","0,937","0,048","0,120","1,027"
2410,"0,046","0,110","0,983","0,003","-0,294","0,946","-0,004","-0,086","0,953","-0,016","-0,003","0,962","0,011","0,009","0,890","-0,055","0,059","0,944","0,049","0,125","1,023"
2411,"0,051","0,118","0,986","0,003","-0,291","0,944","0,008","-0,086","0,950","-0,019","-0,003","0,965","0,018","0,010","0,887","-0,050","0,063","0,946","0,046","0,126","1,026"
2412,"0,052","0,123","0,985","0,004","-0,288","0,951","0,009","-0,082","0,956","-0,023","-0,012","0,974","0,020","0,011","0,880","-0,050","0,060","0,942","0,051","0,127","1,029"
2413,"0,051","0,118","0,993","0,003","-0,289","0,953","0,012","-0,078","0,957","-0,020","-0,023","0,968","0,015","0,009","0,883","-0,046","0,062","0,949","0,045","0,135","1,023"
2414,"0,055","0,123","0,992","0,004","-0,293","0,948","0,002","-0,076","0,957","-0,027","-0,022","0,959","0,021","0,012","0,885","-0,049","0,065","0,950","0,047","0,124","1,022"
2415,"0,050","0,117","0,996","0,006","-0,291","0,954","0,002","-0,078","0,950","-0,030","-0,019","0,972","0,013","0,012","0,888","-0,050","0,060","0,945","0,056","0,123","1,022"
2416,"0,061","0,127","0,997","0,003","-0,293","0,945","0,001","-0,073","0,956","-0,033","-0,027","0,958","0,023","0,011","0,881","-0,049","0,061","0,954","0,054","0,122","1,021"
2417,"0,057","0,123","0,999","0,007","-0,293","0,945","0,007","-0,064","0,968","-0,028","-0,021","0,953","0,027","0,014","0,885","-0,053","0,058","0,960","0,051","0,119","1,022"
2418,"0,057","0,119","1,000","0,006","-0,289","0,945","0,022","-0,063","0,965","-0,026","-0,024","0,969","0,027","0,012","0,879","-0,055","0,053","0,953","0,051","0,130","1,019"
2419,"0,054","0,121","0,997","0,008","-0,290","0,949","0,025","-0,074","0,953","-0,017","-0,024","0,969","0,027","0,015","0,880","-0,061","0,059","0,952","0,056","0,138","1,018"
2420,"0,049","0,115","0,997","0,009","-0,288","0,949","0,009","-0,076","0,948","-0,017","-0,017","0,965","0,026","0,013","0,874","-0,061","0,053","0,950","0,055","0,137","1,021"
2421,"0,052","0,120","0,991","0,004","-0,288","0,948","-0,005","-0,083","0,950","-0,020","-0,022","0,967","0,034","0,014","0,879","-0,060","0,053","0,943","0,054","0,138","1,025"
2422,"0,050","0,121","0,993","0,008","-0,289","0,946","-0,006","-0,074","0,960","-0,015","-0,024","0,967","0,036","0,012","0,889","-0,068","0,056","0,939","0,048","0,131","1,020"
2423,"0,046","0,121","0,992","0,006","-0,300","0,944","0,009","-0,079","0,957","-0,032","-0,020","0,975","0,042","0,014","0,899","-0,065","0,059","0,952","0,058","0,138","1,030"
