Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
415,"-0,010","-0,008","1,009","0,009","0,009","1,003","0,003","0,001","0,951","0,005","0,024","0,961","-0,004","0,040","1,072","-0,028","0,036","1,034","-0,017","0,020","1,043"
416,"-0,009","-0,002","1,009","0,013","0,004","1,004","0,005","0,001","0,950","0,006","0,020","0,966","-0,014","0,042","1,069","-0,009","0,023","1,041","0,003","0,025","1,034"
417,"-0,002","-0,010","1,012","0,015","0,002","1,003","0,005","0,009","0,953","0,002","0,017","0,960","-0,001","0,045","1,063","0,000","0,025","1,032","0,017","0,020","1,033"
418,"0,002","-0,005","1,007","0,016","0,000","1,006","0,006","-0,003","0,948","0,008","0,019","0,962","0,016","0,054","1,064","-0,004","0,038","1,030","0,012","0,012","1,043"
419,"0,018","-0,003","0,995","0,016","0,010","1,007","0,009","0,006","0,949","-0,005","0,010","0,960","0,023","0,048","1,068","0,011","0,039","1,018","-0,001","0,001","1,052"
420,"0,013","0,000","1,001","0,016","0,005","1,008","0,005","-0,004","0,938","0,005","0,014","0,960","0,016","0,031","1,063","0,016","0,030","1,026","0,005","0,004","1,043"
421,"0,013","-0,007","0,996","0,014","0,009","1,001","0,007","0,005","0,947","0,007","0,010","0,963","0,011","0,030","1,058","0,012","0,028","1,028","0,008","-0,001","1,041"
422,"0,001","-0,010","1,001","0,018","0,007","1,004","0,007","-0,002","0,949","0,008","0,011","0,958","0,010","0,035","1,069","0,004","0,036","1,026","0,017","-0,003","1,041"
423,"0,001","0,001","0,995","0,013","0,005","0,999","0,007","-0,002","0,944","0,015","0,004","0,959","0,017","0,026","1,067","0,001","0,035","1,027","0,024","0,002","1,041"
424,"0,009","0,003","1,001","0,017","0,013","0,999","0,006","0,002","0,947","0,026","0,003","0,960","0,032","0,021","1,058","0,014","0,025","1,025","0,039","-0,010","1,042"
425,"0,020","0,001","0,999","0,015","0,013","1,005","0,009","0,008","0,949","0,012","0,006","0,956","0,042","0,020","1,058","0,022","0,029","1,025","0,036","-0,017","1,043"
426,"0,019","-0,009","0,998","0,015","0,008","1,005","0,013","-0,003","0,947","0,012","0,001","0,960","0,041","0,009","1,064","0,018","0,036","1,019","0,019","-0,016","1,041"
427,"0,015","-0,002","0,995","0,015","0,017","1,004","0,011","-0,005","0,946","0,013","0,002","0,954","0,029","0,016","1,060","0,002","0,040","1,017","0,011","-0,018","1,051"
428,"0,007","-0,008","0,999","0,016","0,010","1,007","0,008","-0,002","0,952","0,009","0,002","0,965","0,016","0,014","1,063","0,000","0,030","1,027","0,009","-0,018","1,047"
429,"-0,002","-0,010","1,007","0,017","0,012","1,004","0,006","0,004","0,950","0,005","0,004","0,959","0,005","0,033","1,053","0,005","0,021","1,032","0,016","-0,024","1,043"
430,"0,007","-0,007","1,004","0,023","0,013","1,002","0,010","-0,001","0,945","0,010","0,008","0,961","0,012","0,029","1,065","0,013","0,015","1,027","0,007","-0,023","1,046"
431,"0,010","-0,011","1,008","0,024","0,015","1,005","0,008","0,005","0,950","0,005","0,004","0,957","0,013","0,029","1,062","0,016","0,030","1,030","0,000","-0,022","1,048"
432,"0,009","-0,011","1,011","0,027","0,018","1,008","0,004","-0,001","0,939","0,012","0,004","0,963","-0,004","0,032","1,069","0,011","0,025","1,037","-0,007","-0,018","1,052"
433,"0,008","-0,007","1,008","0,027","0,015","1,012","0,006","0,001","0,951","0,000","0,005","0,953","-0,007","0,047","1,064","0,005","0,018","1,028","-0,005","-0,014","1,060"
434,"0,007","-0,017","1,007","0,030","0,013","1,013","0,008","0,001","0,950","0,010","0,007","0,961","-0,012","0,054","1,071","0,004","0,013","1,029","-0,015","-0,004","1,056"
435,"0,004","-0,018","1,009","0,032","0,012","1,013","0,008","-0,002","0,951","0,011","0,010","0,960","-0,008","0,057","1,068","0,000","0,029","1,025","-0,012","-0,004","1,057"
436,"0,004","-0,015","1,006","0,034","0,017","1,012","0,015","-0,001","0,945","0,014","0,005","0,960","-0,019","0,060","1,069","-0,010","0,030","1,029","0,000","-0,014","1,057"
437,"-0,006","-0,004","1,015","0,037","0,016","1,012","-0,004","-0,007","0,944","0,020","0,004","0,959","-0,012","0,064","1,060","-0,005","0,045","1,031","0,009","-0,013","1,049"
438,"0,002","-0,003","1,008","0,034","0,012","1,008","0,019","-0,005","0,949","0,028","0,000","0,963","0,001","0,061","1,057","-0,007","0,049","1,028","0,010","-0,008","1,054"
439,"0,014","-0,004","1,009","0,032","0,015","1,007","-0,004","0,007","0,947","0,015","0,011","0,962","0,014","0,055","1,063","-0,003","0,039","1,029","0,009","-0,011","1,048"
440,"0,006","0,000","0,999","0,024","0,017","1,009","0,021","-0,001","0,950","0,027","0,000","0,965","0,031","0,052","1,070","-0,007","0,047","1,031","0,019","-0,018","1,048"
441,"0,007","0,006","0,998","0,016","0,016","1,005","0,002","0,006","0,949","0,010","0,002","0,962","0,036","0,046","1,065","-0,004","0,056","1,024","0,006","-0,018","1,047"
442,"-0,006","0,003","1,005","0,013","0,010","0,999","-0,003","0,000","0,950","0,034","-0,002","0,965","0,033","0,043","1,063","-0,006","0,060","1,023","0,012","-0,013","1,051"
443,"0,008","0,002","1,000","0,009","0,018","1,001","0,012","0,005","0,958","0,012","-0,010","0,964","0,028","0,045","1,072","-0,003","0,057","1,033","0,008","-0,017","1,042"
444,"-0,002","0,003","1,004","0,005","0,015","1,001","-0,016","0,003","0,944","0,031","-0,002","0,962","0,016","0,047","1,060","-0,005","0,058","1,024","0,008","-0,020","1,039"
445,"0,000","0,005","0,999","0,007","0,016","0,997","0,015","-0,005","0,948","0,016","-0,009","0,958","0,015","0,059","1,054","0,000","0,067","1,015","0,006","-0,011","1,040"
446,"-0,007","0,006","0,998","0,010","0,014","0,996","-0,007","0,000","0,948","0,033","-0,006","0,963","0,014","0,059","1,054","-0,005","0,061","1,019","0,006","-0,012","1,045"
447,"-0,013","0,007","1,004","0,012","0,016","1,000","-0,003","0,000","0,946","0,015","-0,011","0,956","0,007","0,071","1,056","-0,020","0,062","1,027","0,010","-0,013","1,037"
448,"-0,009","0,009","0,996","0,008","0,014","0,997","-0,002","-0,002","0,947","0,025","-0,016","0,967","0,001","0,085","1,050","-0,021","0,056","1,022","-0,002","-0,021","1,042"
449,"-0,011","0,009","1,004","0,016","0,014","0,998","-0,007","-0,005","0,950","0,020","-0,016","0,961","-0,001","0,091","1,045","-0,016","0,054","1,024","-0,011","-0,021","1,041"
450,"-0,009","0,003","1,003","0,016","0,017","1,003","-0,008","-0,005","0,948","0,026","-0,013","0,968","0,003","0,084","1,051","-0,020","0,056","1,024","-0,012","-0,022","1,047"
451,"-0,008","0,011","1,002","0,018","0,019","0,999","0,002","-0,002","0,946","0,027","-0,018","0,955","-0,009","0,080","1,055","-0,022","0,053","1,014","0,005","-0,020","1,043"
452,"-0,017","0,007","1,001","0,016","0,016","0,998","-0,007","0,001","0,950","0,033","-0,020","0,962","-0,016","0,078","1,055","-0,037","0,052","1,018","-0,001","-0,016","1,045"
453,"-0,013","0,002","1,007","0,010","0,023","1,004","-0,006","0,003","0,947","0,030","-0,018","0,956","-0,017","0,076","1,052","-0,033","0,072","1,019","-0,007","-0,014","1,052"
454,"-0,014","0,005","1,013","0,009","0,019","1,009","-0,003","0,007","0,948","0,027","-0,024","0,964","-0,010","0,088","1,051","-0,029","0,061","1,033","-0,002","-0,021","1,047"
455,"-0,006","0,010","1,008","0,002","0,018","1,012","-0,002","0,006","0,950","0,027","-0,026","0,963","-0,004","0,087","1,050","-0,019","0,068","1,026","-0,009","-0,022","1,048"
456,"0,018","0,007","1,004","0,002","0,023","1,017","-0,008","0,010","0,945","0,030","-0,021","0,957","-0,006","0,089","1,064","0,000","0,069","1,016","-0,016","-0,014","1,057"
457,"-0,007","0,017","1,003","0,000","0,026","1,019","-0,002","0,000","0,956","0,031","-0,014","0,969","-0,014","0,099","1,072","-0,013","0,067","1,014","-0,023","-0,025","1,061"
458,"-0,024","0,007","1,001","0,000","0,025","1,015","-0,013","0,004","0,948","0,024","-0,019","0,963","-0,016","0,112","1,066","-0,037","0,069","1,029","-0,028","-0,020","1,059"
459,"-0,044","0,023","1,014","-0,003","0,023","1,016","-0,004","0,004","0,951","0,031","-0,025","0,957","-0,021","0,104","1,060","-0,053","0,077","1,024","-0,020","-0,026","1,054"
460,"-0,030","0,023","1,014","-0,002","0,025","1,012","-0,015","0,006","0,953","0,032","-0,024","0,970","-0,022","0,100","1,048","-0,057","0,084","1,015","-0,025","-0,020","1,054"
461,"-0,039","0,030","1,007","0,001","0,030","1,008","-0,009","0,003","0,948","0,033","-0,033","0,957","-0,023","0,101","1,054","-0,050","0,088","1,022","-0,015","-0,023","1,060"
462,"-0,023","0,018","1,002","0,000","0,023","1,004","-0,008","0,006","0,950","0,030","-0,031","0,956","-0,034","0,111","1,057","-0,061","0,092","1,012","-0,017","-0,032","1,056"
463,"-0,040","0,021","1,005","-0,005","0,024","1,002","-0,003","-0,001","0,946","0,029","-0,033","0,959","-0,036","0,124","1,051","-0,060","0,088","1,024","-0,024","-0,026","1,055"
464,"-0,026","0,031","1,010","-0,005","0,021","1,000","-0,008","0,000","0,946","0,029","-0,038","0,961","-0,024","0,116","1,050","-0,062","0,088","1,031","-0,023","-0,040","1,052"
465,"-0,021","0,025","1,002","-0,008","0,019","0,996","-0,011","0,004","0,949","0,032","-0,040","0,961","-0,015","0,108","1,046","-0,064","0,082","1,029","-0,025","-0,026","1,042"
466,"-0,036","0,022","0,995","-0,017","0,026","0,993","0,007","-0,002","0,947","0,025","-0,036","0,954","-0,006","0,100","1,048","-0,042","0,076","1,005","-0,046","-0,029","1,046"
467,"-0,023","0,018","0,989","-0,023","0,023","0,989","0,005","0,000","0,948","0,042","-0,044","0,966","-0,005","0,108","1,066","-0,037","0,084","1,018","0,014","-0,021","1,049"
