Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
0,"-13,122","2,397","0,394","12,671","-4,308","0,479","62,938","11,353","-3,338","73,538","20,902","-9,503","-17,243","7,076","2,558","-10,353","-2,552","-0,918","-10,874","-1,097","0,126"
1,"-13,350","2,418","0,400","12,683","-4,533","0,504","62,980","11,345","-3,321","73,572","20,979","-9,505","-17,243","7,244","2,638","-10,619","-2,766","-1,000","-10,690","-1,049","0,123"
2,"-13,482","2,541","0,414","13,073","-4,609","0,528","62,976","11,274","-3,205","73,589","20,985","-9,517","-16,949","7,303","2,660","-10,384","-2,832","-1,015","-10,768","-1,046","0,124"
3,"-13,412","2,454","0,400","12,859","-4,526","0,510","62,985","11,290","-3,294","73,462","20,983","-9,518","-17,124","7,220","2,630","-10,506","-2,795","-1,003","-10,862","-1,043","0,128"
4,"-13,480","2,451","0,401","12,913","-4,525","0,512","62,956","11,339","-3,317","73,467","20,989","-9,531","-17,073","7,088","2,592","-10,521","-2,791","-1,004","-10,871","-0,920","0,136"
5,"-13,455","2,507","0,399","12,859","-4,484","0,506","62,956","11,339","-3,317","73,545","20,959","-9,543","-17,119","7,089","2,588","-10,550","-2,806","-1,004","-10,914","-0,960","0,135"
6,"-13,453","2,452","0,401","12,865","-4,486","0,506","62,958","11,339","-3,316","73,416","20,984","-9,525","-17,119","7,091","2,589","-10,542","-2,754","-0,993","-10,908","-0,959","0,135"
7,"-13,388","2,426","0,397","12,865","-4,459","0,503","62,974","11,347","-3,340","73,377","21,018","-9,539","-17,023","7,164","2,594","-10,461","-2,731","-0,980","-10,822","-1,058","0,125"
8,"-13,387","2,412","0,401","12,925","-4,460","0,505","62,969","11,332","-3,316","73,389","21,018","-9,537","-16,963","7,166","2,592","-10,400","-2,692","-0,970","-10,809","-1,056","0,125"
9,"-13,380","2,450","0,398","12,872","-4,447","0,502","62,940","11,335","-3,322","73,335","21,109","-9,584","-16,994","7,168","2,590","-10,417","-2,723","-0,975","-10,825","-1,072","0,125"
10,"-13,218","3,102","0,509","13,091","-4,693","0,564","62,825","10,935","-2,789","72,725","20,954","-9,384","-17,021","7,587","2,841","-10,094","-3,260","-1,179","-11,324","-1,133","0,129"
11,"-13,791","3,182","0,540","12,782","-4,549","0,536","62,454","10,976","-2,908","73,337","21,025","-9,454","-17,456","7,188","2,653","-10,694","-3,000","-1,123","-11,150","-0,902","0,203"
12,"-14,082","2,881","0,494","12,935","-4,843","0,609","62,331","11,290","-3,362","73,403","21,034","-9,465","-17,203","7,176","2,629","-10,866","-3,306","-1,271","-11,019","-0,920","0,192"
13,"-13,476","2,635","0,428","12,739","-4,569","0,551","62,870","11,317","-3,333","73,174","21,120","-9,615","-17,454","7,215","2,673","-10,736","-2,982","-1,112","-11,369","-1,096","0,159"
14,"-13,501","2,351","0,375","13,071","-4,582","0,558","62,505","11,178","-3,188","73,277","21,214","-9,756","-16,807","7,275","2,646","-10,113","-2,868","-1,008","-10,731","-1,146","0,115"
15,"-13,266","2,286","0,359","12,735","-4,612","0,568","62,413","11,064","-3,043","73,182","20,840","-9,186","-16,857","7,394","2,719","-10,415","-2,575","-0,916","-10,474","-0,923","0,177"
16,"-13,357","2,799","0,454","12,640","-4,932","0,644","62,383","10,990","-2,947","73,139","20,868","-9,227","-17,271","7,779","2,984","-10,361","-3,153","-1,164","-11,086","-1,084","0,155"
17,"-13,162","3,050","0,500","12,338","-4,785","0,612","62,952","10,964","-2,839","73,283","21,239","-9,789","-17,843","7,771","3,035","-10,806","-3,287","-1,270","-11,446","-1,555","0,020"
18,"-13,479","2,984","0,502","12,673","-4,772","0,609","63,080","11,320","-3,319","72,868","21,052","-9,531","-17,195","7,754","2,965","-10,690","-3,517","-1,363","-11,182","-1,197","0,120"
19,"-13,415","2,898","0,485","12,814","-4,469","0,539","63,099","11,206","-3,158","73,175","21,029","-9,473","-16,844","7,247","2,645","-10,777","-3,028","-1,156","-10,802","-1,174","0,102"
20,"-13,232","2,311","0,375","12,985","-4,757","0,603","63,361","11,344","-3,314","72,664","21,024","-9,504","-16,835","7,246","2,640","-10,393","-3,077","-1,143","-11,231","-0,711","0,282"
21,"-12,960","2,709","0,439","12,702","-4,582","0,564","63,013","11,199","-3,150","73,267","21,080","-9,550","-17,050","7,375","2,732","-10,354","-2,973","-1,099","-10,831","-1,037","0,155"
22,"-13,149","2,345","0,380","12,369","-4,541","0,555","62,764","11,033","-2,948","73,302","20,939","-9,341","-17,625","7,145","2,651","-10,533","-2,648","-0,980","-10,763","-0,771","0,249"
23,"-12,681","2,520","0,390","12,703","-4,540","0,553","62,995","11,062","-2,951","73,318","20,985","-9,421","-16,977","7,144","2,591","-9,892","-2,555","-0,883","-10,746","-0,891","0,211"
24,"-12,627","2,757","0,428","12,755","-4,870","0,625","63,045","10,987","-2,835","73,233","21,170","-9,720","-17,254","7,471","2,808","-10,130","-3,023","-1,098","-10,965","-1,251","0,100"
25,"-13,033","2,864","0,458","12,489","-5,080","0,667","62,558","11,143","-3,112","73,141","21,262","-9,874","-17,228","7,697","2,940","-10,545","-3,500","-1,334","-10,982","-1,268","0,089"
26,"-13,403","2,727","0,440","12,589","-4,762","0,593","62,756","11,280","-3,273","73,224","21,149","-9,694","-16,834","7,575","2,839","-10,708","-3,374","-1,290","-10,382","-1,427","-0,009"
27,"-14,033","2,695","0,449","12,743","-4,467","0,524","62,661","11,159","-3,114","73,243","20,915","-9,332","-16,962","7,348","2,724","-10,844","-2,987","-1,135","-10,811","-1,171","0,099"
