Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
0,"0,995","-0,096","0,035","0,000","0,995","-0,093","0,028","0,000","0,892","0,434","0,131","0,000","0,875","0,439","-0,203","0,000","0,962","-0,261","-0,076","0,000","0,970","-0,233","-0,066","0,000","0,986","-0,160","-0,042","0,000"
1,"0,995","-0,097","0,035","0,000","0,995","-0,093","0,032","0,000","0,892","0,434","0,131","0,000","0,876","0,437","-0,203","0,000","0,962","-0,263","-0,076","0,000","0,970","-0,234","-0,066","0,000","0,986","-0,160","-0,042","0,000"
2,"0,994","-0,099","0,035","0,000","0,995","-0,093","0,032","0,000","0,892","0,432","0,131","0,000","0,877","0,437","-0,201","0,000","0,962","-0,263","-0,076","0,000","0,969","-0,239","-0,066","0,000","0,986","-0,160","-0,042","0,000"
3,"0,995","-0,097","0,034","0,000","0,995","-0,093","0,030","0,000","0,892","0,433","0,130","0,000","0,876","0,438","-0,202","0,000","0,962","-0,262","-0,077","0,000","0,969","-0,236","-0,067","0,000","0,986","-0,159","-0,043","0,000"
4,"0,995","-0,098","0,034","0,000","0,995","-0,093","0,030","0,000","0,892","0,433","0,130","0,000","0,876","0,438","-0,202","0,000","0,962","-0,262","-0,077","0,000","0,969","-0,238","-0,067","0,000","0,986","-0,159","-0,043","0,000"
5,"0,995","-0,098","0,034","0,000","0,995","-0,093","0,030","0,000","0,892","0,434","0,130","0,000","0,876","0,438","-0,202","0,000","0,962","-0,262","-0,076","0,000","0,969","-0,236","-0,067","0,000","0,986","-0,159","-0,045","0,000"
6,"0,995","-0,098","0,034","0,000","0,995","-0,095","0,030","0,000","0,892","0,434","0,130","0,000","0,876","0,438","-0,202","0,000","0,962","-0,262","-0,076","0,000","0,969","-0,238","-0,067","0,000","0,986","-0,159","-0,045","0,000"
7,"0,995","-0,098","0,034","0,000","0,995","-0,094","0,030","0,000","0,892","0,434","0,129","0,000","0,876","0,438","-0,202","0,000","0,962","-0,262","-0,077","0,000","0,969","-0,237","-0,067","0,000","0,986","-0,159","-0,045","0,000"
8,"0,995","-0,098","0,034","0,000","0,995","-0,095","0,030","0,000","0,892","0,434","0,130","0,000","0,876","0,438","-0,202","0,000","0,962","-0,262","-0,077","0,000","0,969","-0,237","-0,067","0,000","0,986","-0,159","-0,045","0,000"
9,"0,995","-0,098","0,034","0,000","0,995","-0,094","0,030","0,000","0,892","0,434","0,129","0,000","0,876","0,438","-0,202","0,000","0,962","-0,262","-0,077","0,000","0,969","-0,237","-0,067","0,000","0,986","-0,158","-0,045","0,000"
10,"0,995","-0,095","0,035","0,000","0,995","-0,093","0,027","0,000","0,893","0,432","0,128","0,001","0,875","0,440","-0,202","-0,001","0,961","-0,264","-0,078","0,000","0,970","-0,234","-0,067","0,000","0,986","-0,161","-0,045","0,000"
11,"0,995","-0,094","0,033","0,000","0,995","-0,096","0,027","0,000","0,892","0,433","0,130","0,000","0,876","0,438","-0,202","0,000","0,962","-0,263","-0,075","0,000","0,970","-0,233","-0,070","-0,001","0,986","-0,161","-0,042","0,001"
12,"0,995","-0,096","0,034","0,000","0,995","-0,095","0,029","0,000","0,893","0,431","0,130","0,000","0,877","0,436","-0,203","0,001","0,961","-0,265","-0,076","0,000","0,969","-0,235","-0,072","-0,001","0,986","-0,162","-0,045","0,000"
13,"0,995","-0,098","0,037","0,000","0,995","-0,092","0,030","0,000","0,892","0,433","0,128","0,000","0,876","0,438","-0,202","0,000","0,962","-0,263","-0,077","0,000","0,970","-0,234","-0,069","-0,001","0,986","-0,159","-0,045","0,000"
