Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
30,"84,089","7,179","1,164","9,298","-4,608","0,369","64,036","12,783","-1,423","75,243","21,626","-8,378","70,120","10,141","-9,698","75,405","-0,562","3,426","86,133","-1,334","-5,591"
31,"84,128","7,174","1,249","9,299","-4,587","0,368","64,059","12,738","-1,428","75,411","21,523","-8,486","70,166","10,117","-9,675","75,394","-0,543","3,379","86,251","-1,322","-5,485"
32,"84,185","7,150","1,330","9,251","-4,566","0,365","64,064","12,780","-1,444","75,559","21,430","-8,565","70,155","10,080","-9,630","75,338","-0,525","3,327","86,354","-1,293","-5,380"
33,"84,252","7,113","1,422","9,245","-4,533","0,362","64,096","12,790","-1,460","75,654","21,352","-8,631","70,169","10,035","-9,555","75,324","-0,497","3,261","86,434","-1,249","-5,290"
34,"84,321","7,062","1,530","9,246","-4,512","0,356","64,166","12,771","-1,448","75,721","21,262","-8,652","70,174","9,992","-9,479","75,314","-0,469","3,205","86,470","-1,202","-5,198"
35,"84,351","6,988","1,651","9,243","-4,496","0,348","64,206","12,778","-1,479","75,793","21,145","-8,667","70,194","9,958","-9,422","75,304","-0,444","3,161","86,507","-1,167","-5,131"
36,"84,379","6,931","1,787","9,239","-4,477","0,340","64,242","12,792","-1,533","75,862","21,044","-8,662","70,209","9,914","-9,344","75,301","-0,426","3,129","86,550","-1,113","-5,077"
37,"84,418","6,867","1,923","9,241","-4,471","0,335","64,281","12,812","-1,603","75,931","20,987","-8,671","70,247","9,900","-9,314","75,312","-0,417","3,111","86,599","-1,100","-5,084"
38,"84,445","6,804","2,039","9,243","-4,468","0,332","64,318","12,819","-1,665","75,972","20,966","-8,694","70,293","9,886","-9,288","75,322","-0,408","3,095","86,641","-1,087","-5,106"
39,"84,447","6,765","2,138","9,242","-4,459","0,327","64,342","12,816","-1,718","75,974","20,944","-8,695","70,323","9,872","-9,276","75,322","-0,401","3,081","86,653","-1,060","-5,111"
40,"84,422","6,729","2,214","9,219","-4,426","0,317","64,345","12,823","-1,775","76,025","20,923","-8,722","70,331","9,827","-9,226","75,288","-0,381","3,043","86,739","-1,021","-5,096"
41,"-1,891","0,522","-0,006","-0,010","0,068","-0,320","0,054","2,382","-0,020","-0,230","-0,088","-0,001","0,458","-0,397","0,002","-0,988","-0,015","0,000","1,700","0,433","0,010"
42,"-1,423","0,581","-0,003","0,543","0,041","-0,320","-0,479","2,429","-0,001","-0,264","-0,001","0,002","0,814","-0,882","0,002","-0,435","-0,038","0,000","1,502","0,171","0,013"
43,"-1,432","1,136","-0,005","0,581","0,041","-0,320","-0,479","1,917","-0,004","-0,263","-0,754","-0,007","0,853","-1,066","0,003","-0,406","-0,039","0,000","1,503","-0,184","0,011"
44,"-0,996","1,398","-0,008","0,543","0,066","-0,320","-0,476","1,827","-0,004","-0,266","-1,294","-0,015","1,015","-1,048","0,005","-0,010","-0,281","-0,001","1,700","0,313","0,018"
45,"-0,956","1,636","-0,008","0,544","0,041","-0,320","-0,463","1,548","-0,005","-4,514","-1,421","-0,066","1,016","-1,067","0,005","-0,009","-0,265","-0,001","3,673","0,275","0,040"
46,"-0,800","1,624","-0,008","0,180","0,043","-0,320","-0,459","1,311","-0,005","-4,183","-1,327","-0,058","0,888","-1,019","0,007","-0,220","-0,262","-0,001","3,899","0,230","0,040"
47,"-0,487","1,399","-0,001","0,181","-0,098","-0,320","-0,356","1,312","-0,001","-5,925","-1,666","-0,157","0,889","-0,878","0,005","-0,219","-0,179","-0,001","8,159","0,225","0,084"
48,"-0,749","1,196","-0,004","-0,011","-0,096","-0,320","-0,410","1,317","-0,003","-5,912","-1,663","-0,156","0,861","-0,879","0,006","-0,409","-0,179","-0,001","8,300","0,227","0,085"
49,"-0,486","0,796","0,001","-0,011","-0,131","-0,320","-0,146","1,330","-0,001","-7,260","-3,672","-0,445","0,864","-0,891","0,006","-0,411","0,187","0,000","8,865","0,271","0,098"
50,"-0,481","0,700","0,001","-0,011","-0,131","-0,320","-0,143","0,723","-0,001","-5,382","-3,705","-0,399","0,864","-0,891","0,006","-0,408","0,186","0,000","8,864","0,271","0,098"
51,"-0,338","0,903","0,046","0,287","-0,126","-0,321","0,028","0,447","-0,083","-5,299","-3,920","-0,472","1,149","-1,241","-0,009","-0,295","-0,086","-0,009","8,817","0,798","0,256"
52,"-0,271","1,010","0,083","0,247","0,216","-0,318","0,097","0,269","-0,174","-5,188","-3,682","-0,451","0,894","-1,770","-0,024","-0,578","0,020","-0,023","8,618","0,857","0,338"
53,"0,332","1,389","0,106","-0,079","0,413","-0,309","0,209","-0,179","-0,225","-5,110","-3,641","-0,430","0,278","-1,988","-0,051","-0,661","-0,033","-0,049","8,294","0,935","0,401"
54,"0,360","1,396","0,082","0,178","0,571","-0,300","0,164","0,099","-0,226","-4,983","-3,613","-0,403","0,217","-2,155","-0,083","-0,688","-0,053","-0,079","7,955","0,930","0,436"
55,"-0,239","1,375","0,040","-0,030","0,876","-0,294","0,172","-0,002","-0,241","-4,846","-3,629","-0,386","-0,322","-2,398","-0,129","-1,233","0,164","-0,096","7,600","0,899","0,463"
56,"-0,855","1,571","-0,017","0,131","0,606","-0,286","0,153","-0,456","-0,243","-4,681","-3,563","-0,362","-0,333","-1,844","-0,168","-1,428","-0,100","-0,128","7,386","0,618","0,458"
57,"-0,822","1,612","-0,051","-0,254","0,715","-0,278","-0,026","-0,566","-0,250","-4,504","-3,404","-0,352","-0,657","-1,616","-0,211","-1,786","0,360","-0,140","7,380","0,278","0,444"
58,"-0,576","1,762","-0,063","-0,049","0,493","-0,264","0,348","-0,904","-0,272","-4,318","-3,178","-0,328","-0,315","-1,082","-0,236","-1,361","0,389","-0,176","7,412","-0,050","0,432"
59,"-0,189","1,985","-0,047","-0,433","0,381","-0,244","0,138","-1,435","-0,326","-4,113","-2,928","-0,308","-0,505","-0,702","-0,256","-1,468","0,451","-0,212","7,460","-0,335","0,420"
60,"0,408","1,828","-0,015","-0,821","0,470","-0,221","0,300","-1,819","-0,382","-3,914","-2,650","-0,291","-0,857","-0,456","-0,267","-1,636","0,796","-0,244","7,303","-0,704","0,392"
61,"0,315","1,336","0,042","-1,214","0,386","-0,200","0,423","-1,768","-0,457","-3,724","-2,325","-0,250","-1,225","-0,049","-0,269","-1,912","1,041","-0,281","7,073","-1,071","0,345"
62,"0,433","0,778","0,105","-1,607","0,326","-0,181","0,670","-1,690","-0,524","-3,545","-1,928","-0,193","-1,505","0,281","-0,266","-2,129","1,281","-0,316","6,876","-1,394","0,284"
63,"0,402","0,265","0,164","-1,938","0,514","-0,159","0,849","-1,575","-0,590","-3,459","-1,540","-0,100","-1,634","0,266","-0,263","-2,311","1,779","-0,346","6,710","-1,604","0,239"
64,"0,303","-0,241","0,208","-2,156","0,210","-0,157","1,005","-1,383","-0,636","-3,504","-1,468","0,059","-1,626","0,685","-0,262","-2,410","1,792","-0,374","6,628","-1,561","0,203"
65,"0,204","-0,789","0,238","-2,467","0,411","-0,139","1,179","-1,087","-0,649","-3,542","-1,540","0,185","-1,718","0,438","-0,253","-2,630","2,315","-0,391","6,677","-1,232","0,200"
66,"0,212","-0,761","0,251","-2,580","0,079","-0,146","1,307","-0,862","-0,659","-3,916","-1,555","0,256","-1,634","0,628","-0,243","-2,484","1,782","-0,402","6,675","-0,804","0,209"
