Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
0,"-13,242","16,116","0,755","10,398","-3,975","0,362","68,132","9,774","-2,085","77,856","19,354","-7,136","-21,266","10,446","3,722","-18,424","-14,942","-4,497","-7,011","-3,212","-0,243"
1,"-13,114","16,372","0,828","10,398","-4,115","0,375","68,300","9,842","-1,968","77,856","19,337","-7,252","-21,273","10,402","3,736","-18,528","-15,099","-4,578","-6,987","-3,221","-0,259"
2,"-13,094","16,405","0,844","10,522","-4,114","0,379","68,379","9,943","-2,012","78,122","19,411","-7,323","-21,312","10,231","3,705","-18,479","-15,123","-4,593","-7,087","-3,056","-0,230"
3,"-13,092","16,225","0,814","10,346","-3,950","0,358","68,177","9,892","-2,077","77,808","19,357","-7,208","-21,151","10,083","3,594","-18,562","-14,946","-4,510","-6,849","-2,972","-0,225"
4,"-13,034","16,115","0,840","10,346","-3,950","0,358","68,172","9,851","-1,980","77,700","19,427","-7,226","-21,151","10,083","3,594","-18,555","-14,733","-4,454","-6,849","-2,972","-0,225"
5,"-12,984","16,118","0,842","10,318","-3,931","0,355","68,211","9,841","-1,982","77,797","19,357","-7,210","-21,184","10,262","3,642","-18,516","-14,726","-4,438","-6,852","-3,177","-0,256"
6,"-12,754","16,091","0,900","10,331","-3,931","0,355","68,410","9,864","-1,983","77,857","19,397","-7,288","-21,371","10,176","3,644","-18,534","-14,704","-4,438","-7,054","-3,167","-0,246"
7,"-12,762","16,061","0,895","10,303","-3,744","0,338","68,461","9,867","-2,007","77,749","19,384","-7,277","-21,132","10,021","3,531","-18,542","-14,532","-4,361","-6,877","-3,167","-0,255"
8,"-12,812","16,093","0,903","10,303","-3,925","0,354","68,523","9,856","-1,982","77,731","19,391","-7,278","-21,193","10,060","3,584","-18,682","-14,698","-4,457","-6,930","-3,042","-0,233"
9,"-12,830","16,074","0,894","10,303","-3,744","0,338","68,555","9,849","-2,003","77,627","19,401","-7,233","-21,132","10,021","3,531","-18,662","-14,545","-4,385","-6,957","-3,100","-0,233"
10,"-13,458","16,195","0,795","10,569","-3,949","0,384","67,991","9,794","-2,009","77,698","19,574","-7,484","-21,155","10,096","3,580","-18,725","-14,706","-4,483","-6,967","-3,167","-0,252"
11,"-13,385","16,496","0,885","10,263","-3,801","0,368","68,261","9,539","-1,620","77,966","19,335","-7,096","-21,664","10,150","3,659","-19,282","-14,721","-4,541","-6,865","-3,272","-0,309"
12,"-12,839","16,240","0,919","9,970","-3,627","0,346","68,734","9,849","-1,980","77,580","19,497","-7,369","-22,240","9,985","3,600","-19,243","-14,558","-4,453","-7,479","-3,287","-0,233"
13,"-12,192","16,183","1,025","10,273","-3,775","0,382","69,277","9,821","-1,864","77,789","19,192","-6,883","-21,707","9,940","3,528","-18,651","-14,726","-4,508","-7,094","-2,816","-0,063"
14,"-12,614","16,461","0,993","9,948","-3,866","0,408","68,711","9,893","-2,018","77,574","19,455","-7,288","-21,877","9,763","3,432","-19,114","-15,074","-4,741","-7,246","-2,675","0,022"
