Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
0,"0,993","-0,117","0,032","0,000","0,995","-0,092","0,033","0,000","0,889","0,443","0,117","0,000","0,878","0,440","-0,187","0,000","0,958","-0,279","-0,071","0,000","0,961","-0,257","-0,105","0,000","0,980","-0,195","-0,038","0,000"
1,"0,992","-0,120","0,033","0,000","0,995","-0,093","0,033","0,000","0,889","0,443","0,118","0,000","0,879","0,439","-0,188","0,000","0,958","-0,279","-0,071","0,000","0,961","-0,257","-0,101","0,000","0,979","-0,200","-0,038","0,000"
2,"0,992","-0,120","0,033","0,000","0,995","-0,093","0,035","0,000","0,889","0,443","0,118","0,000","0,879","0,439","-0,188","0,000","0,958","-0,279","-0,071","0,000","0,961","-0,257","-0,099","0,000","0,979","-0,200","-0,038","0,000"
3,"0,992","-0,120","0,033","0,000","0,995","-0,093","0,033","0,000","0,889","0,442","0,117","0,000","0,879","0,438","-0,189","0,000","0,958","-0,278","-0,075","0,000","0,962","-0,255","-0,100","0,000","0,979","-0,198","-0,039","0,000"
4,"0,992","-0,121","0,033","0,000","0,995","-0,093","0,035","0,000","0,889","0,442","0,117","0,000","0,879","0,439","-0,188","0,000","0,957","-0,279","-0,075","0,000","0,962","-0,255","-0,100","0,000","0,979","-0,198","-0,038","0,000"
5,"0,992","-0,121","0,032","0,000","0,995","-0,093","0,034","0,000","0,890","0,442","0,117","0,000","0,878","0,440","-0,188","0,000","0,957","-0,279","-0,075","0,000","0,962","-0,255","-0,100","0,000","0,980","-0,197","-0,038","0,000"
6,"0,992","-0,121","0,033","0,000","0,995","-0,093","0,034","0,000","0,890","0,442","0,117","0,000","0,878","0,440","-0,187","0,000","0,958","-0,279","-0,073","0,000","0,962","-0,255","-0,099","0,000","0,980","-0,197","-0,038","0,000"
7,"0,992","-0,120","0,033","0,000","0,995","-0,092","0,034","0,000","0,889","0,442","0,117","0,000","0,878","0,440","-0,187","0,000","0,958","-0,278","-0,073","0,000","0,962","-0,255","-0,100","0,000","0,980","-0,195","-0,038","0,000"
8,"0,992","-0,120","0,033","0,000","0,995","-0,092","0,035","0,000","0,889","0,442","0,117","0,000","0,878","0,441","-0,186","0,000","0,958","-0,279","-0,073","0,000","0,962","-0,255","-0,100","0,000","0,980","-0,197","-0,038","0,000"
9,"0,992","-0,119","0,032","0,000","0,995","-0,092","0,035","0,000","0,889","0,442","0,117","0,000","0,878","0,440","-0,187","0,000","0,958","-0,278","-0,073","0,000","0,962","-0,255","-0,100","0,000","0,980","-0,196","-0,038","0,000"
10,"0,992","-0,119","0,030","0,000","0,995","-0,089","0,035","0,000","0,888","0,444","0,116","0,001","0,878","0,441","-0,189","0,001","0,957","-0,278","-0,075","-0,001","0,962","-0,252","-0,101","0,000","0,980","-0,194","-0,036","0,000"
11,"0,992","-0,120","0,032","0,000","0,995","-0,091","0,037","0,000","0,889","0,442","0,116","0,001","0,878","0,440","-0,187","0,000","0,957","-0,281","-0,076","-0,001","0,963","-0,249","-0,101","0,000","0,980","-0,197","-0,036","0,000"
12,"0,992","-0,120","0,029","0,000","0,995","-0,093","0,034","0,000","0,889","0,443","0,117","0,000","0,879","0,437","-0,188","0,001","0,957","-0,279","-0,074","0,000","0,963","-0,251","-0,099","0,000","0,979","-0,198","-0,039","0,000"
13,"0,993","-0,117","0,029","0,000","0,995","-0,091","0,032","0,000","0,890","0,441","0,117","0,000","0,880","0,435","-0,188","0,002","0,958","-0,278","-0,072","0,000","0,962","-0,253","-0,100","0,000","0,979","-0,200","-0,041","0,000"
14,"0,992","-0,119","0,031","0,000","0,995","-0,091","0,035","0,000","0,889","0,444","0,116","0,001","0,880","0,437","-0,188","0,001","0,958","-0,277","-0,074","-0,001","0,962","-0,255","-0,102","-0,001","0,979","-0,198","-0,039","0,000"
15,"0,993","-0,117","0,033","0,000","0,995","-0,089","0,037","0,000","0,889","0,442","0,118","-0,001","0,879","0,439","-0,187","0,000","0,957","-0,279","-0,075","-0,001","0,961","-0,257","-0,103","-0,001","0,980","-0,196","-0,041","-0,001"
16,"0,992","-0,120","0,034","0,000","0,995","-0,089","0,034","0,000","0,888","0,444","0,117","0,000","0,878","0,441","-0,187","0,000","0,957","-0,281","-0,076","-0,001","0,961","-0,257","-0,100","0,000","0,980","-0,195","-0,038","0,000"
17,"0,992","-0,122","0,034","0,000","0,995","-0,091","0,032","0,000","0,889","0,442","0,117","0,000","0,878","0,440","-0,189","0,001","0,957","-0,280","-0,074","0,000","0,962","-0,255","-0,103","-0,001","0,980","-0,197","-0,038","0,000"
18,"0,992","-0,120","0,033","0,000","0,995","-0,090","0,035","0,000","0,888","0,444","0,119","-0,001","0,879","0,438","-0,189","0,002","0,958","-0,279","-0,071","0,001","0,962","-0,253","-0,100","0,000","0,979","-0,199","-0,035","0,001"
19,"0,992","-0,120","0,030","0,000","0,996","-0,088","0,032","0,000","0,889","0,442","0,117","0,000","0,879","0,438","-0,187","0,000","0,958","-0,279","-0,074","0,000","0,963","-0,253","-0,098","0,000","0,980","-0,197","-0,038","0,000"
20,"0,993","-0,117","0,031","0,000","0,995","-0,091","0,033","0,000","0,890","0,441","0,115","0,001","0,878","0,440","-0,187","0,000","0,957","-0,280","-0,072","0,001","0,962","-0,255","-0,100","0,000","0,979","-0,198","-0,041","0,000"
21,"0,992","-0,120","0,031","0,000","0,995","-0,092","0,035","0,000","0,890","0,441","0,118","-0,001","0,879","0,438","-0,186","0,000","0,957","-0,282","-0,073","0,000","0,961","-0,256","-0,102","0,000","0,980","-0,197","-0,038","0,000"
22,"0,992","-0,122","0,032","0,000","0,995","-0,095","0,034","0,000","0,889","0,443","0,116","0,000","0,880","0,436","-0,187","0,001","0,957","-0,282","-0,070","0,001","0,961","-0,258","-0,103","0,000","0,980","-0,196","-0,040","-0,001"
23,"0,992","-0,120","0,031","0,000","0,995","-0,092","0,035","0,000","0,890","0,441","0,117","0,000","0,879","0,438","-0,187","0,000","0,957","-0,280","-0,071","0,001","0,960","-0,260","-0,105","-0,001","0,980","-0,197","-0,038","0,000"
24,"0,992","-0,121","0,034","0,000","0,995","-0,092","0,038","0,000","0,889","0,442","0,119","-0,001","0,878","0,440","-0,187","0,000","0,957","-0,280","-0,074","0,000","0,961","-0,257","-0,105","-0,001","0,980","-0,195","-0,036","0,000"
25,"0,992","-0,120","0,031","0,000","0,995","-0,090","0,035","0,000","0,890","0,441","0,117","0,000","0,879","0,438","-0,189","0,002","0,956","-0,282","-0,075","0,000","0,961","-0,257","-0,102","0,000","0,980","-0,197","-0,038","0,000"
