Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
205,"-0,247","-0,701","-0,381","-0,160","0,176","0,277","0,030","0,134","-0,045","-0,361","-0,161","-0,118","-0,724","-0,443","-0,045","-0,701","-0,393","-0,003","0,010","-0,314","0,095"
206,"-0,159","-0,650","-0,087","-0,291","-0,026","0,206","0,030","0,134","-0,045","-1,362","0,152","-0,117","-0,851","-0,414","-0,005","-0,532","-0,470","0,129","0,134","-0,491","-0,032"
207,"-0,020","-0,620","0,081","-0,417","-0,097","0,168","-0,122","0,056","-0,195","-1,598","0,303","-0,290","-0,748","-0,578","-0,395","-0,642","-0,637","0,060","0,133","-0,470","0,025"
208,"-0,026","-0,571","0,011","-0,482","-0,228","0,139","-0,117","-0,152","-0,266","-1,731","0,279","-0,301","-0,979","-0,644","-0,524","-0,531","-0,692","-0,310","0,199","-0,475","-0,166"
209,"-0,132","-0,714","-0,452","-0,487","-0,300","0,092","-0,097","-0,162","-0,183","-1,454","-0,021","-0,317","-0,979","-0,644","-0,524","-0,445","-0,909","-0,463","0,135","-0,569","-0,069"
210,"-0,110","-0,728","-0,887","-0,744","-0,454","-0,043","-0,050","0,015","-0,173","-0,996","0,161","-0,200","-0,883","-0,570","-0,272","-0,470","-0,912","-0,741","0,253","-0,507","0,106"
211,"-0,116","-0,738","-0,946","-0,931","-0,524","-0,076","-0,241","0,044","-0,168","-0,761","0,010","-0,027","-0,932","-0,634","-0,382","-0,654","-0,780","-0,766","0,252","-0,622","0,147"
212,"-0,055","-0,859","-0,931","-1,005","-0,442","-0,275","-0,234","0,082","-0,120","-0,482","-0,168","0,019","-1,047","-0,667","-0,447","-0,790","-0,918","-0,645","0,252","-0,565","0,126"
213,"-0,138","-1,080","-1,133","-1,122","-0,427","-0,207","-0,160","0,163","-0,039","-0,260","-0,146","-0,028","-1,159","-0,524","0,026","-0,803","-0,809","-0,565","0,251","-0,544","0,184"
214,"-0,127","-0,939","-1,035","-1,052","-0,641","-0,041","-0,300","0,038","-0,154","-0,114","-0,228","0,069","-1,117","-0,294","0,179","-0,760","-0,807","-0,422","0,380","-0,862","-0,153"
215,"-0,027","-0,867","-0,621","-0,992","-0,523","-0,071","-0,116","-0,029","-0,207","-0,259","-0,214","0,105","-1,340","-0,339","-0,033","-0,787","-0,833","-0,205","0,440","-0,706","-0,078"
216,"-0,092","-0,761","-0,012","-0,912","-0,532","0,175","-0,149","-0,130","-0,121","0,200","-0,411","0,364","-1,658","-0,783","-0,446","-0,783","-0,693","0,207","0,625","-0,826","-0,225"
217,"-0,142","-0,679","0,102","-1,142","-0,549","0,384","0,048","-0,244","-0,139","0,031","-0,309","0,166","-1,674","-0,637","-0,321","-0,599","-0,635","0,203","0,620","-0,879","-0,012"
218,"-0,236","-0,861","-0,230","-1,264","-0,607","0,406","0,044","-0,318","0,077","0,285","-0,588","0,049","-1,584","-0,532","-0,017","-0,541","-0,688","0,239","0,558","-0,644","0,097"
219,"-0,314","-0,891","-0,404","-1,086","-0,682","0,346","0,002","-0,421","-0,148","0,666","-0,631","0,247","-1,760","-0,566","-0,088","-0,675","-0,581","0,303","0,678","-0,759","0,141"
220,"-0,319","-0,841","-0,474","-1,239","-0,770","-0,062","0,055","-0,329","-0,150","0,523","0,315","0,257","-1,727","-0,546","0,189","-0,748","-0,664","0,404","0,615","-0,853","0,238"
221,"-0,386","-0,911","-0,518","-1,005","-0,800","-0,198","0,003","-0,298","-0,089","1,133","-0,418","0,184","-1,535","-0,209","0,652","-0,697","-0,689","0,493","0,509","-0,987","-0,494"
222,"-0,441","-0,960","-0,442","-1,136","-0,823","-0,308","0,048","-0,244","-0,139","0,877","0,118","0,097","-1,449","-0,468","0,459","-0,820","-0,746","0,505","0,526","-1,355","-1,333"
223,"-0,357","-0,919","-0,208","-1,154","-0,934","-0,533","0,180","-0,279","-0,130","0,655","0,596","0,064","-1,328","-0,466","0,472","-0,662","-0,660","0,690","0,465","-1,490","-1,350"
224,"-0,484","-0,988","-0,246","-0,902","-1,091","-0,394","0,133","-0,456","-0,140","1,010","-0,290","0,055","-1,458","-0,165","0,492","-0,589","-0,577","0,589","0,181","-0,591","0,589"
225,"-0,496","-1,068","-0,356","-0,771","-1,127","-0,271","0,244","-0,481","-0,215","0,926","0,319","0,423","-1,549","-0,199","0,787","-0,833","-0,637","0,585","0,442","-1,310","-0,313"
226,"-0,535","-1,142","-0,774","-0,776","-1,140","-0,330","0,324","-0,485","-0,145","0,219","-0,228","0,066","-1,724","0,214","1,234","-0,947","-0,477","0,487","0,327","-1,277","-0,587"
227,"-0,679","-1,302","-0,981","-0,780","-1,272","-0,364","0,447","-0,399","-0,389","0,700","0,001","0,150","-1,804","0,254","1,415","-0,731","-0,443","0,708","0,316","-0,955","-0,055"
228,"-0,652","-1,486","-1,325","-1,047","-1,332","-0,643","0,526","-0,525","-0,379","0,898","-0,267","0,012","-1,783","0,077","1,238","-0,734","-0,307","0,707","0,216","-1,464","-1,106"
229,"-0,912","-1,573","-1,472","-1,074","-1,469","-0,987","0,518","-0,686","-0,485","0,466","0,205","0,173","-1,691","-0,025","0,952","-0,684","-0,141","0,768","0,228","-1,593","-1,642"
230,"-0,896","-1,598","-1,966","-0,671","-1,539","-1,316","0,452","-1,011","-0,373","0,766","0,141","0,054","-1,670","-0,202","0,775","-0,689","-0,250","0,822","0,049","-1,733","-1,855"
231,"-1,128","-1,513","-1,835","-0,142","-1,659","-1,581","0,582","-0,888","-0,569","1,212","-0,072","0,165","-1,601","-0,179","0,698","-0,616","-0,168","0,722","0,106","-1,671","-1,682"
232,"-1,160","-1,520","-1,520","-0,446","-1,833","-1,520","0,503","-0,761","-0,580","0,822","0,251","0,138","-1,383","0,086","0,921","-0,487","-0,414","0,245","0,105","-1,785","-1,640"
233,"-1,077","-1,539","-1,275","-0,615","-1,791","-1,328","0,321","-0,572","-0,468","0,955","0,154","0,087","-1,515","0,269","1,581","-0,501","-0,549","0,381","0,050","-2,024","-1,944"
234,"-1,143","-1,489","-1,340","-0,540","-1,635","-1,180","0,418","-0,550","-0,579","1,077","-0,028","0,021","-1,654","0,360","1,726","-0,530","-0,354","1,036","-0,068","-2,242","-2,192"
235,"-1,215","-1,388","-1,475","-0,401","-1,466","-0,977","0,303","-0,598","-0,288","0,775","-0,017","-0,055","-1,745","0,651","1,970","-0,765","0,025","1,361","-0,244","-2,345","-2,483"
236,"-1,348","-1,347","-1,594","-0,308","-1,199","-0,604","0,317","-0,522","-0,193","0,688","0,106","0,065","-1,739","0,619","1,918","-0,739","-0,194","1,201","0,057","-2,284","-2,304"
237,"-1,081","-1,133","-0,724","-0,224","-0,838","-0,375","0,303","-0,598","-0,288","0,653","-0,457","0,029","-1,858","0,410","1,316","-0,602","-0,468","0,670","0,114","-2,222","-2,131"
238,"-1,080","-1,078","-0,050","-0,388","-0,962","-0,086","0,205","-0,620","-0,177","0,921","-0,599","0,122","-1,698","-0,117","0,436","-0,644","-0,660","0,555","0,225","-1,958","-1,575"
239,"-0,942","-1,108","0,129","-0,491","-0,731","0,122","0,219","-0,545","-0,082","0,744","-0,595","0,237","-1,440","-0,518","-0,223","-0,740","-0,661","0,818","0,211","-1,652","-0,908"
240,"-1,042","-1,120","-0,295","-0,444","-0,770","-0,060","0,115","-0,482","0,040","1,011","-0,547","0,259","-1,296","-0,569","0,180","-0,730","-0,603","1,204","0,318","-1,539","-0,233"
241,"-0,888","-1,055","-0,632","-0,818","-0,909","-0,127","0,088","-0,387","-0,031","0,800","-0,607","0,259","-1,409","-0,355","1,252","-0,905","-0,444","1,098","0,417","-1,088","0,838"
242,"-0,844","-1,147","-0,806","-0,837","-0,841","-0,390","0,109","-0,397","0,052","0,800","-0,796","0,329","-1,624","0,140","2,074","-0,970","-0,363","1,116","0,290","-0,926","1,101"
243,"-0,966","-1,086","-0,806","-0,837","-0,841","-0,390","0,148","-0,258","0,014","0,555","-0,676","0,337","-1,738","0,230","2,578","-1,169","-0,558","1,256","0,343","-0,724","1,483"
244,"-0,799","-0,944","-0,349","-0,814","-0,896","-0,067","0,280","-0,293","0,022","0,722","-0,642","0,269","-1,642","0,045","2,272","-0,874","-0,523","1,350","0,292","-0,832","1,002"
