Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
29,"86,164","6,056","-3,457","-21,496","-2,919","-0,573","64,225","14,896","-0,271","77,028","24,899","-7,876","46,341","10,843","-8,333","46,036","3,985","-1,874","95,193","-0,122","-8,582"
30,"86,142","6,078","-3,446","-21,514","-2,890","-0,554","64,218","14,879","-0,261","77,021","24,917","-7,899","46,343","10,836","-8,321","46,029","3,984","-1,877","95,235","-0,146","-8,598"
31,"86,085","6,070","-3,441","-21,515","-2,857","-0,534","64,219","14,876","-0,264","77,010","24,924","-7,901","46,357","10,836","-8,322","46,004","3,990","-1,903","95,275","-0,172","-8,619"
32,"86,129","6,033","-3,458","-21,536","-2,835","-0,519","64,275","14,900","-0,280","76,999","24,951","-7,925","46,355","10,837","-8,326","46,008","4,002","-1,934","95,311","-0,217","-8,651"
33,"86,162","6,030","-3,461","-21,546","-2,803","-0,499","64,318","14,917","-0,294","77,035","24,985","-7,958","46,362","10,833","-8,316","46,019","4,005","-1,938","95,362","-0,235","-8,672"
34,"86,193","6,031","-3,465","-21,574","-2,788","-0,486","64,360","14,924","-0,297","76,989","25,003","-7,980","46,360","10,833","-8,314","46,007","3,999","-1,923","95,371","-0,262","-8,688"
35,"86,216","6,037","-3,467","-21,548","-2,763","-0,468","64,411","14,963","-0,328","76,994","25,025","-7,995","46,366","10,831","-8,311","46,034","3,994","-1,914","95,388","-0,285","-8,707"
36,"86,225","6,036","-3,472","-21,552","-2,729","-0,448","64,442","15,002","-0,356","76,972","25,007","-7,970","46,356","10,830","-8,311","46,039","3,992","-1,917","95,407","-0,287","-8,709"
37,"86,243","6,039","-3,476","-21,541","-2,696","-0,426","64,485","15,024","-0,362","76,980","25,006","-7,964","46,387","10,810","-8,264","46,054","3,986","-1,919","95,466","-0,276","-8,711"
38,"86,271","6,057","-3,476","-21,544","-2,662","-0,404","64,516","15,021","-0,342","76,978","25,004","-7,947","46,383","10,809","-8,263","46,047","3,981","-1,922","95,503","-0,299","-8,732"
39,"86,282","6,061","-3,478","-21,511","-2,657","-0,394","64,569","15,044","-0,349","76,966","25,000","-7,933","46,420","10,817","-8,297","46,067","3,966","-1,900","95,530","-0,316","-8,744"
40,"86,298","6,074","-3,476","-21,480","-2,647","-0,381","64,622","15,053","-0,341","76,980","24,973","-7,888","46,429","10,806","-8,284","46,083","3,952","-1,883","95,535","-0,292","-8,727"
41,"-0,159","0,385","-0,001","0,255","0,291","0,409","0,395","0,311","-0,002","0,016","0,689","0,002","-0,180","-0,252","-0,001","0,140","-0,235","-0,001","-0,130","-0,305","-0,001"
42,"0,028","0,341","0,001","0,393","0,174","0,409","0,537","0,288","-0,001","0,016","0,721","0,002","-0,043","-0,155","-0,001","0,016","-0,286","-0,001","-0,131","-0,371","-0,001"
43,"0,028","0,341","0,001","0,394","0,133","0,409","0,537","0,288","-0,001","0,046","0,570","0,001","-0,043","-0,114","0,000","0,017","-0,327","-0,001","-0,101","-0,373","-0,001"
