Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
28,"-0,411","-0,349","-1,546","0,041","-0,395","-0,673","-0,087","-0,084","0,031","-0,059","0,610","-0,431","-0,326","-0,564","-1,605","-0,206","-0,531","-1,117","-0,284","-0,229","0,258"
29,"-0,460","-0,318","-1,362","-0,173","-0,444","-1,082","-0,101","0,037","-0,221","0,675","0,669","-0,063","0,083","-0,774","-1,850","-0,990","-0,650","-1,711","-0,414","-0,305","-0,431"
30,"-0,304","-0,169","-0,839","-0,369","-0,465","-1,250","0,149","0,338","-0,341","-0,131","1,191","-0,127","-0,541","-0,599","-1,827","-1,232","-0,217","-1,816","-0,313","-0,687","-1,713"
31,"-0,335","-0,148","-0,345","-0,391","-0,440","-1,559","0,186","0,158","-0,282","0,548","0,238","-0,298","-0,505","-0,515","-1,658","-0,411","-0,388","-1,965","-0,303","-0,663","-1,847"
32,"-0,202","-0,180","-0,163","-0,217","-0,517","-1,686","0,010","0,014","-0,297","0,284","0,561","-0,146","-0,900","-0,414","-1,493","0,025","-0,487","-1,995","-0,606","-0,608","-1,887"
33,"-0,251","-0,371","-0,933","-0,517","-0,204","-1,640","0,016","-0,022","-0,034","0,464","0,676","-0,200","-0,632","0,036","-0,853","-0,250","-0,687","-1,730","-0,274","-0,483","-1,452"
34,"-0,358","-0,611","-1,629","-0,495","-0,168","-1,338","0,075","-0,015","-0,048","0,577","0,717","-0,289","-0,466","-0,095","-0,691","-0,182","-0,398","-0,837","-0,170","-0,186","-0,447"
35,"-0,450","-0,690","-2,106","-0,538","-0,078","-1,099","-0,021","-0,358","0,161","0,514","1,078","-0,283","-0,755","-0,022","-0,842","0,069","-0,365","-0,888","-0,016","-0,028","0,730"
36,"-0,616","-0,467","-1,885","-0,576","0,019","-0,800","-0,220","-0,247","0,181","0,897","1,411","-0,230","-0,980","-0,084","-0,983","-0,055","-0,388","-1,371","0,529","0,338","1,558"
37,"-0,456","-0,308","-1,302","-0,454","-0,042","-0,802","0,206","-0,441","0,272","0,777","1,478","-0,558","-0,531","-0,677","-1,440","0,111","0,017","-0,794","0,973","0,440","2,136"
38,"-0,521","-0,317","-1,358","-0,337","-0,111","-0,864","0,052","-0,399","0,182","1,196","2,065","-0,466","-0,774","-0,738","-1,446","-0,865","-0,380","-1,279","1,608","0,820","2,584"
39,"-0,651","-0,456","-1,451","-0,281","-0,058","-0,936","0,001","-0,491","0,185","1,434","2,355","-0,573","-1,346","-0,166","-0,097","-0,801","-0,078","-1,348","2,177","1,325","3,882"
40,"-0,494","-0,409","-1,902","0,032","-0,046","-0,837","0,162","-0,618","0,263","1,369","2,469","-0,685","-1,664","0,021","0,381","-0,847","0,025","-0,995","2,707","1,853","5,681"
41,"-0,574","-0,458","-2,199","0,167","-0,086","-0,658","0,088","-0,775","0,398","1,873","2,560","-0,884","-1,574","0,048","0,173","-0,710","-0,407","-1,040","3,031","2,349","7,792"
42,"-0,654","-0,567","-2,485","-0,119","-0,176","-0,380","0,154","-0,926","0,588","1,758","2,513","-0,467","-1,142","-0,054","-0,262","-0,389","-0,781","-1,089","3,038","2,843","9,240"
43,"-0,544","-0,659","-2,663","-0,457","-0,068","0,002","-0,059","-1,088","0,670","1,964","2,013","-0,564","-1,396","-0,001","0,225","-0,399","-0,462","-0,563","2,943","2,789","9,696"
44,"-0,559","-0,478","-1,949","-0,705","-0,195","-0,026","-0,103","-1,068","0,504","1,865","1,274","-0,532","-1,499","-0,250","0,130","-0,359","-0,135","-0,443","2,633","2,577","8,969"
45,"-0,628","-0,336","-1,101","-1,000","-0,056","0,102","0,155","-0,853","0,372","1,541","1,175","-0,445","-1,480","-0,251","-0,005","-0,414","-0,566","-0,924","2,511","2,349","8,197"
46,"-0,613","-0,356","-0,851","-1,052","-0,041","0,227","0,029","-0,856","0,629","1,251","1,206","-0,379","-1,582","-0,255","-0,157","-0,760","-0,100","0,305","2,086","2,236","7,368"
47,"-0,701","-0,545","-1,247","-0,982","0,094","0,329","0,059","-1,000","0,425","1,365","0,524","-0,344","-1,220","-0,349","0,362","-0,768","-0,074","0,360","1,845","1,873","6,564"
48,"-0,750","-0,394","-1,083","-0,600","0,120","0,544","-0,030","-0,986","0,584","0,895","0,259","-0,476","-1,139","-0,294","0,208","-0,490","-0,009","0,093","1,408","1,618","5,903"
49,"-0,631","-0,124","-0,207","-0,473","0,247","0,581","0,119","-0,722","0,038","0,971","0,229","-0,352","-1,417","-0,054","0,388","0,021","-0,002","0,431","1,398","1,368","5,275"
50,"-0,529","-0,015","0,450","-0,300","0,170","0,454","0,448","-0,375","0,261","0,726","0,288","-0,216","-1,404","0,027","0,279","0,023","-0,542","0,010","0,887","1,224","4,767"
51,"-0,403","-0,006","0,502","-0,169","0,244","0,559","0,148","-0,571","0,227","0,636","0,111","-0,412","-1,378","-0,247","0,147","0,025","-0,644","-0,486","0,577","0,953","4,058"
52,"-0,427","-0,187","0,162","-0,104","0,311","0,608","0,442","-0,658","0,095","0,624","0,085","-0,232","-1,112","-0,323","0,019","-0,179","-0,815","-0,295","0,187","0,752","3,577"
53,"-0,332","-0,319","-0,255","0,074","0,242","0,541","0,345","-0,633","0,482","0,489","-0,061","-0,303","-0,682","-0,252","0,463","-0,369","-0,287","0,653","-0,063","0,423","2,889"
54,"-0,480","-0,267","-0,688","0,009","0,296","0,478","0,110","-0,784","0,481","0,323","0,155","-0,119","-0,239","-0,291","0,828","-0,883","-0,001","0,786","-0,063","0,255","2,110"
