Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
1139,"0,999","0,010","0,042","-0,003","0,999","0,023","0,025","-0,006","0,999","-0,027","0,017","-0,001","0,641","-0,694","0,313","0,090","0,983","0,183","0,029","-0,007","0,999","-0,015","0,042","-0,026","0,806","-0,587","0,016","0,075"
1140,"0,999","0,010","0,042","-0,003","0,999","0,023","0,025","-0,006","0,999","-0,027","0,017","-0,001","0,642","-0,694","0,313","0,090","0,983","0,183","0,029","-0,007","0,999","-0,015","0,042","-0,026","0,806","-0,587","0,015","0,075"
1141,"0,999","0,010","0,043","-0,002","0,999","0,023","0,026","-0,005","0,999","-0,027","0,017","-0,001","0,642","-0,694","0,313","0,090","0,983","0,183","0,029","-0,006","0,999","-0,015","0,042","-0,026","0,806","-0,586","0,015","0,074"
1142,"0,999","0,010","0,043","-0,002","0,999","0,023","0,026","-0,005","0,999","-0,027","0,017","-0,001","0,642","-0,694","0,313","0,089","0,983","0,183","0,029","-0,006","0,999","-0,015","0,042","-0,026","0,807","-0,586","0,015","0,074"
1143,"0,999","0,011","0,043","-0,001","0,999","0,023","0,026","-0,005","0,999","-0,027","0,017","-0,001","0,642","-0,694","0,313","0,089","0,983","0,184","0,029","-0,006","0,999","-0,015","0,043","-0,025","0,807","-0,586","0,014","0,074"
1144,"0,999","0,011","0,043","0,001","0,999","0,023","0,026","-0,005","0,999","-0,027","0,017","-0,001","0,642","-0,694","0,312","0,089","0,983","0,184","0,028","-0,006","0,999","-0,016","0,043","-0,025","0,807","-0,586","0,014","0,073"
1145,"0,999","0,012","0,043","0,003","0,999","0,023","0,027","-0,005","1,000","-0,026","0,016","0,000","0,642","-0,694","0,312","0,088","0,982","0,184","0,028","-0,007","0,999","-0,016","0,043","-0,025","0,807","-0,586","0,014","0,073"
1146,"0,999","0,012","0,044","0,006","0,999","0,023","0,027","-0,005","1,000","-0,025","0,015","0,000","0,642","-0,694","0,312","0,088","0,982","0,184","0,027","-0,007","0,999","-0,017","0,044","-0,024","0,807","-0,586","0,014","0,073"
1147,"0,999","0,013","0,045","0,009","0,999","0,023","0,027","-0,005","1,000","-0,024","0,014","0,000","0,642","-0,695","0,312","0,088","0,982","0,184","0,027","-0,007","0,999","-0,017","0,044","-0,023","0,807","-0,586","0,014","0,072"
1148,"0,999","0,014","0,046","0,013","0,999","0,023","0,027","-0,005","1,000","-0,022","0,012","0,000","0,642","-0,695","0,312","0,087","0,982","0,185","0,027","-0,007","0,999","-0,017","0,045","-0,022","0,807","-0,586","0,014","0,072"
1149,"0,999","0,015","0,046","0,017","0,999","0,023","0,027","-0,005","1,000","-0,020","0,010","0,000","0,642","-0,695","0,312","0,088","0,982","0,185","0,027","-0,007","0,999","-0,017","0,046","-0,021","0,807","-0,586","0,014","0,072"
1150,"0,999","0,016","0,047","0,021","0,999","0,023","0,027","-0,005","1,000","-0,018","0,008","0,000","0,642","-0,695","0,313","0,088","0,982","0,185","0,027","-0,008","0,999","-0,017","0,046","-0,019","0,807","-0,586","0,014","0,072"
1151,"0,998","0,016","0,047","0,024","0,999","0,023","0,027","-0,006","1,000","-0,017","0,007","0,000","0,642","-0,695","0,313","0,088","0,982","0,185","0,028","-0,008","0,999","-0,017","0,047","-0,018","0,807","-0,587","0,015","0,073"
1152,"0,998","0,017","0,048","0,028","0,999","0,023","0,027","-0,006","1,000","-0,015","0,005","0,000","0,642","-0,695","0,313","0,088","0,982","0,185","0,028","-0,008","0,999","-0,016","0,047","-0,016","0,806","-0,587","0,015","0,073"
