Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
28,"-0,035","-0,357","-2,425","0,043","0,158","-0,768","0,245","-0,717","0,730","-0,123","-0,039","-0,084","-0,017","0,135","-0,005","-0,470","-0,191","-1,203","-0,422","0,333","1,124"
29,"0,085","-0,600","-2,393","-0,487","0,257","-0,497","0,266","-1,168","0,854","0,202","0,121","0,019","-0,592","0,278","0,111","-0,843","-0,224","-0,704","-0,282","0,248","0,839"
30,"0,013","-0,516","-2,650","-0,770","0,181","-0,157","0,279","-1,410","1,048","0,279","0,033","-0,051","-0,314","-0,009","-0,052","-1,059","0,068","-0,057","-0,252","0,228","0,338"
31,"0,065","-0,126","-1,724","-0,800","0,119","0,285","0,312","-1,360","0,687","0,335","0,145","0,030","-0,589","-0,038","-0,285","-0,611","0,065","0,278","-0,240","-0,016","0,156"
32,"0,053","0,023","-0,758","-0,552","0,124","0,328","0,372","-0,838","0,416","0,046","0,238","-0,034","-1,099","-0,031","-0,164","-1,262","0,194","0,060","-0,063","0,137","0,249"
33,"0,010","-0,041","-0,375","-0,500","-0,074","0,229","0,402","-0,614","0,388","0,256","-0,136","-0,077","-0,761","-0,069","-0,365","-0,615","-0,114","-0,585","-0,147","0,122","0,630"
34,"-0,010","-0,157","-0,727","-0,452","-0,160","0,052","0,130","-0,905","0,426","0,311","-0,147","-0,055","-0,586","0,017","-0,310","-0,390","-0,307","-0,400","-0,200","0,088","0,510"
35,"0,154","-0,276","-1,088","-0,479","-0,270","-0,301","0,254","-1,048","0,602","0,168","0,178","-0,036","-0,440","-0,303","-0,410","-0,375","-0,351","-0,042","-0,065","-0,039","0,300"
36,"0,003","-0,477","-1,605","-0,305","-0,288","-0,435","0,177","-1,153","1,013","0,168","-0,010","0,039","-0,268","0,032","0,479","-0,818","-0,174","0,018","-0,104","0,150","0,943"
37,"-0,018","-0,542","-2,026","0,104","-0,265","-0,714","-0,007","-1,654","1,050","0,334","-0,166","0,046","-0,234","-0,070","0,260","-1,045","-0,538","-0,526","-0,226","0,208","0,918"
38,"-0,088","-0,569","-2,204","0,412","-0,260","-0,676","0,088","-1,703","1,155","0,055","-0,110","-0,064","-0,170","-0,138","-0,174","-0,498","-0,476","-0,946","-0,202","-0,088","0,561"
39,"-0,047","-0,686","-2,558","0,486","-0,115","-0,516","0,136","-1,879","1,526","0,190","0,036","0,006","-0,597","-0,013","-0,230","-0,161","-0,451","-0,707","-0,126","-0,039","0,297"
40,"0,055","-0,925","-2,898","0,443","0,040","-0,287","0,253","-2,502","1,697","0,491","0,215","0,008","-0,449","-0,031","-0,402","0,191","-0,475","-0,579","-0,194","-0,064","0,427"
41,"0,199","-1,160","-3,610","0,221","0,325","-0,002","0,552","-3,262","2,029","0,291","0,053","0,096","-0,487","-0,040","-0,133","-0,436","-0,352","-0,050","-0,295","0,066","1,083"
42,"0,292","-1,492","-5,355","0,000","0,490","0,300","0,844","-3,618","2,274","0,469","0,169","0,041","-0,330","-0,083","-0,360","-1,040","0,137","0,252","-0,316","0,227","1,416"
43,"0,350","-1,502","-5,418","-0,152","0,550","0,735","1,023","-3,771","1,898","0,480","0,130","-0,005","0,073","0,229","0,644","-0,746","0,354","-0,139","-0,444","0,377","1,492"
44,"0,561","-1,362","-4,895","-0,218","0,361","0,704","1,010","-2,644","1,621","0,792","0,083","0,026","-0,304","0,326","0,677","-0,678","0,015","-1,056","-0,276","0,506","1,719"
45,"0,467","-1,276","-4,347","0,017","0,161","0,591","1,055","-1,952","1,372","0,770","0,160","0,118","-0,841","0,477","0,523","-0,730","-0,264","-1,544","-0,319","0,361","1,441"
46,"0,291","-0,776","-3,118","0,308","-0,169","0,430","0,853","-1,292","0,869","0,647","0,285","-0,014","-0,717","0,164","0,145","-1,073","-0,711","-2,135","-0,330","0,413","1,616"
47,"0,169","0,003","-0,884","0,351","-0,445","0,218","0,703","-0,664","0,305","0,959","0,050","0,092","-0,864","0,057","-0,100","-0,506","-0,835","-2,672","-0,368","0,718","2,224"
48,"0,106","0,181","0,265","0,264","-0,434","-0,147","0,681","0,034","0,297","0,937","0,191","0,050","-0,551","0,028","0,301","0,636","-1,299","-3,783","-0,315","0,695","2,361"
49,"-0,137","0,372","1,484","0,251","-0,458","-0,328","0,281","-0,203","-0,163","0,736","0,029","0,139","-0,096","-0,118","0,168","0,915","-1,472","-4,002","-0,250","0,386","1,310"
50,"-0,114","0,744","3,093","0,078","-0,319","-0,211","0,149","0,272","-0,211","0,111","0,066","-0,117","0,060","-0,161","-0,059","0,736","-1,353","-3,139","-0,093","-0,193","-0,229"
51,"-0,371","1,009","3,992","0,095","0,076","-0,020","0,318","0,379","-0,243","0,446","-0,188","0,090","-0,157","0,128","0,112","0,824","-0,993","-2,008","-0,158","-0,177","-0,174"
52,"-0,397","0,754","3,539","0,473","0,219","0,118","0,268","0,040","-0,357","0,124","0,209","0,090","-0,381","0,070","-0,031","0,666","-0,501","-0,903","-0,214","-0,077","-0,270"
53,"-0,302","0,728","2,982","0,925","0,264","0,449","0,246","-0,146","-0,282","-0,221","0,313","0,003","-0,529","-0,217","-0,668","-0,260","0,234","0,388","-0,325","-0,130","-0,453"
54,"-0,464","0,610","2,205","1,060","0,409","0,605","0,304","-0,016","-0,238","0,090","0,143","-0,025","-0,272","-0,137","-0,326","0,470","0,422","0,879","-0,170","0,067","0,008"
55,"-0,629","0,542","1,359","1,073","0,434","0,785","0,128","-0,161","-0,253","0,245","-0,097","-0,031","-0,361","0,255","0,225","0,114","0,396","1,244","-0,164","-0,025","-0,092"
56,"-0,669","0,488","1,802","0,712","0,385","0,880","0,268","0,040","-0,357","-0,099","0,130","-0,058","-0,104","0,088","0,615","-0,507","0,438","1,742","-0,117","-0,248","-0,851"
57,"-0,264","0,602","2,567","0,113","0,045","1,093","0,224","0,305","-0,406","0,168","-0,075","0,174","-0,367","0,147","1,158","0,298","0,021","1,773","-0,121","-0,290","-0,775"
58,"-0,139","0,609","2,621","-0,009","-0,074","1,119","0,061","0,359","-0,269","0,046","0,051","0,041","-0,323","0,074","0,859","0,029","-0,027","1,487","-0,135","-0,163","-0,559"
59,"-0,238","0,505","3,136","-0,196","-0,141","1,080","-0,252","0,405","-0,497","0,056","0,012","-0,005","-0,394","-0,262","0,121","-0,139","-0,198","0,933","-0,228","-0,009","-0,037"
60,"-0,254","0,398","2,845","-0,322","-0,209","1,037","0,003","0,671","-0,354","0,324","-0,005","0,152","0,449","-0,599","-0,542","0,624","-0,113","0,735","-0,198","-0,047","0,486"
61,"-0,340","0,557","2,269","-0,443","-0,208","1,045","-0,143","0,309","-0,356","0,290","-0,070","0,037","0,711","-0,161","-0,298","0,178","-0,241","0,863","-0,158","0,174","0,805"
62,"-0,269","0,704","2,428","-0,148","-0,106","0,886","-0,172","0,403","-0,428","0,212","0,082","-0,027","0,603","-0,079","-0,421","0,315","-0,287","0,769","-0,142","0,222","0,537"
63,"-0,411","0,409","2,110","-0,105","-0,201","0,649","-0,234","0,570","-0,081","0,546","-0,107","0,046","0,020","0,022","0,189","0,340","0,135","0,517","0,044","0,207","0,490"
64,"-0,365","0,422","1,797","0,121","-0,115","0,374","-0,326","0,127","-0,419","0,079","0,058","-0,038","-0,469","0,090","0,150","-0,692","0,255","0,855","0,112","0,173","0,377"
65,"-0,322","0,426","1,423","0,291","-0,082","0,172","-0,336","0,263","-0,133","0,279","-0,032","0,083","-0,883","0,053","0,035","-0,192","0,278","1,253","0,155","0,201","0,689"
66,"-0,086","0,283","1,310","0,525","0,141","0,001","-0,366","0,480","-0,146","0,512","-0,049","-0,009","-0,486","-0,106","0,306","-0,094","0,100","1,009","0,022","0,310","0,840"
67,"0,025","0,551","2,251","0,530","0,149","0,062","-0,194","0,536","-0,453","-0,310","0,194","0,001","-0,149","-0,325","-0,287","-0,108","0,205","1,095","0,179","0,022","0,298"
68,"-0,012","0,505","2,754","0,603","0,113","0,246","-0,335","0,900","-0,332","0,146","-0,056","0,072","0,584","-0,635","-1,048","0,580","-0,102","1,061","0,125","-0,071","0,194"
69,"0,052","0,574","2,802","0,504","0,216","0,548","-0,437","0,593","-0,384","0,012","0,108","-0,014","0,791","-0,222","0,014","0,232","-0,468","0,501","0,165","0,149","0,514"
70,"-0,080","0,367","2,655","0,334","0,183","0,750","-0,238","0,800","-0,502","0,079","0,058","-0,038","0,808","0,032","0,714","0,557","-0,349","-0,111","0,072","-0,048","0,057"
71,"-0,130","0,577","2,811","0,017","0,161","0,591","-0,318","0,802","-0,571","0,102","0,162","0,123","0,292","-0,004","0,447","-0,140","0,490","0,829","0,220","-0,049","-0,379"
72,"-0,060","0,604","2,988","0,000","-0,054","0,375","-0,233","1,141","-1,093","0,222","-0,079","-0,132","-0,110","-0,136","-0,165","-0,190","0,581","1,185","0,316","0,072","0,037"
73,"0,128","0,559","3,109","0,160","-0,218","0,077","-0,250","1,239","-0,854","0,112","0,001","0,017","-0,058","0,138","-0,149","0,387","0,241","0,611","0,230","0,133","0,459"
74,"0,070","0,509","3,182","0,125","-0,345","-0,396","-0,440","1,141","-0,905","-0,299","0,090","0,090","0,590","-0,164","-0,315","-0,093","0,095","0,541","0,117","-0,154","0,345"
75,"0,137","0,526","3,299","0,230","-0,560","-0,621","-0,314","1,266","-1,103","-0,356","-0,209","0,084","1,028","-0,326","0,100","0,720","0,216","1,343","-0,520","-0,682","-0,175"
76,"0,249","0,436","3,122","0,286","-0,569","-0,686","-0,315","1,389","-1,045","-0,631","0,085","0,420","0,754","-0,355","-0,133","0,736","-0,086","0,807","-0,934","-1,398","-1,328"
77,"0,198","0,525","3,296","0,777","-0,505","-0,668","-0,205","1,488","-1,062","-0,765","0,126","0,274","0,949","-0,332","0,226","0,522","-0,301","0,603","-1,337","-1,738","-2,717"
78,"0,271","0,501","3,543","0,720","-0,315","-0,629","-0,396","1,637","-0,997","-0,664","0,265","0,424","0,375","-0,314","-0,075","0,530","0,176","0,930","-1,921","-1,863","-3,162"
79,"0,296","0,636","4,015","0,425","-0,175","-0,503","-0,592","2,016","-1,353","-0,509","-0,351","0,568","0,217","0,043","-0,334","0,520","0,144","1,010","-2,834","-2,280","-4,178"
80,"0,225","0,549","3,847","0,212","-0,114","-0,064","-0,381","2,351","-1,102","-1,442","-0,028","0,728","0,773","0,143","-0,362","0,791","-0,005","0,846","-3,777","-3,611","-7,665"
81,"0,223","0,660","3,768","0,295","-0,013","0,224","-0,453","2,145","-1,240","-1,456","-0,986","0,957","1,730","-0,357","-0,932","1,099","-0,394","-0,014","-4,687","-4,319","-10,760"
82,"0,221","0,771","3,690","0,299","-0,065","0,293","-0,561","1,995","-1,497","-1,155","-0,742","0,825","1,888","-0,467","-0,720","1,005","0,464","1,475","-4,427","-4,134","-12,072"
83,"-0,005","0,584","2,865","0,543","-0,128","0,284","-0,278","1,970","-1,125","-0,455","-1,301","0,967","2,525","-0,552","-0,853","0,680","0,593","2,045","-3,981","-3,573","-11,445"
84,"0,176","0,460","2,875","0,786","-0,130","0,267","-0,403","1,918","-1,143","-1,290","-1,265","0,905","2,012","-0,533","-1,146","0,790","0,001","1,314","-4,210","-3,369","-9,673"
85,"0,244","0,538","2,983","0,851","-0,183","0,331","-0,402","1,795","-1,202","-1,115","-2,145","1,032","1,479","-0,518","-1,303","-0,011","0,282","1,277","-4,825","-2,581","-7,651"
86,"-0,010","0,454","2,824","1,020","-0,270","0,146","-0,323","2,039","-1,016","-0,541","-2,441","0,445","1,682","-0,026","-1,093","0,544","0,318","0,801","-4,316","-1,979","-6,013"
87,"-0,067","0,525","2,877","1,203","-0,211","0,124","-0,490","2,005","-1,201","-0,327","-2,454","0,907","2,982","-0,149","-1,106","1,544","0,049","0,728","-3,997","-1,928","-6,263"
88,"-0,066","0,585","2,868","1,268","-0,143","0,172","-0,299","2,298","-1,308","-0,638","-2,219","0,801","2,804","-0,412","-0,672","1,777","-0,299","-0,498","-3,465","-1,953","-6,987"
89,"-0,202","0,661","2,554","1,381","-0,222","0,051","-0,336","2,282","-1,210","-0,995","-1,946","0,492","2,410","-0,265","-0,530","2,045","-0,317","-1,124","-3,164","-2,284","-7,890"
90,"-0,110","0,395","2,035","1,516","-0,198","0,223","-0,058","2,169","-1,160","-0,259","-2,005","0,792","3,204","-0,699","-1,699","2,356","-0,020","-0,270","-2,493","-1,752","-6,922"
91,"-0,214","0,266","1,195","1,620","-0,232","-0,027","-0,130","1,521","-1,257","-0,605","-2,651","1,007","3,144","-0,700","-1,708","1,269","0,266","-0,014","-3,571","-1,690","-5,224"
92,"0,016","0,396","0,854","1,377","0,012","-0,043","-0,357","1,407","-1,211","-1,311","-3,458","0,869","2,901","-0,335","-1,372","0,758","0,404","-0,350","-4,284","-1,841","-5,543"
93,"-0,115","0,139","0,777","1,746","0,077","-0,017","0,053","1,384","-1,095","-0,911","-3,256","0,633","3,326","-0,268","-1,337","1,409","-0,046","-1,471","-4,076","-1,550","-4,978"
