Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
0,"0,001","0,006","1,005","-0,001","-0,005","0,995","0,002","0,003","0,950","0,001","0,004","0,964","0,006","-0,008","1,060","0,001","-0,004","1,028","0,000","-0,005","1,039"
1,"-0,003","0,003","1,002","-0,003","-0,001","1,000","-0,001","0,003","0,945","-0,001","0,001","0,962","0,003","-0,003","1,058","0,003","0,003","1,021","-0,003","-0,004","1,037"
2,"0,000","0,001","1,001","0,000","-0,005","1,005","-0,001","0,000","0,949","0,001","0,005","0,959","0,000","-0,008","1,052","0,003","-0,006","1,023","-0,002","-0,006","1,039"
3,"0,001","0,003","0,998","0,003","-0,004","1,003","0,000","-0,002","0,945","0,000","-0,001","0,959","-0,006","-0,003","1,053","-0,004","-0,005","1,029","0,002","-0,001","1,038"
4,"-0,002","-0,003","1,003","0,004","0,001","1,003","0,004","-0,001","0,945","0,002","-0,001","0,957","0,005","-0,001","1,058","-0,002","0,003","1,022","-0,002","-0,001","1,040"
5,"-0,003","-0,012","1,008","0,005","-0,001","1,001","0,000","-0,001","0,952","0,001","0,002","0,962","0,004","-0,011","1,056","-0,002","0,002","1,026","-0,003","-0,005","1,039"
6,"-0,001","-0,009","1,007","0,004","-0,006","1,004","0,003","-0,004","0,945","0,000","0,005","0,962","0,001","-0,007","1,064","-0,004","-0,007","1,026","-0,003","0,004","1,039"
7,"-0,001","-0,003","1,008","0,004","0,000","1,011","0,000","0,003","0,951","0,001","-0,004","0,957","-0,003","0,000","1,059","-0,002","-0,010","1,023","-0,005","0,001","1,042"
8,"-0,003","-0,007","1,011","-0,001","-0,003","1,005","0,003","0,005","0,952","0,002","0,001","0,962","-0,001","-0,001","1,052","-0,002","-0,016","1,028","-0,001","0,002","1,037"
9,"-0,001","-0,007","1,008","0,005","-0,006","1,004","0,004","0,003","0,956","0,004","0,004","0,955","0,002","-0,009","1,065","0,001","-0,020","1,026","0,001","0,001","1,040"
10,"-0,002","-0,002","1,007","0,002","-0,005","1,001","-0,002","-0,004","0,943","0,002","-0,002","0,956","0,000","-0,010","1,064","-0,003","-0,019","1,029","-0,006","-0,008","1,043"
11,"-0,007","-0,006","1,000","0,006","0,004","1,003","0,005","-0,003","0,944","0,001","-0,003","0,961","0,005","-0,015","1,060","-0,002","-0,013","1,024","-0,004","-0,009","1,040"
12,"0,002","-0,011","1,006","0,002","-0,003","1,002","0,000","0,000","0,948","0,002","-0,004","0,957","0,004","-0,019","1,054","0,001","-0,006","1,024","-0,003","-0,008","1,041"
13,"0,000","-0,015","1,005","0,002","-0,005","1,003","0,004","0,004","0,944","-0,002","-0,001","0,958","0,000","-0,015","1,059","0,002","-0,001","1,018","0,001","-0,009","1,036"
