Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
0,"0,002","-0,001","1,007","0,002","0,003","1,009","-0,003","-0,001","0,946","-0,003","0,002","0,960","0,001","0,001","1,054","-0,003","0,000","1,021","0,000","-0,002","1,034"
1,"0,003","0,003","1,001","-0,002","0,004","1,008","-0,002","-0,001","0,948","-0,002","-0,001","0,957","0,000","0,003","1,054","-0,002","-0,004","1,025","0,000","-0,005","1,031"
2,"-0,001","0,001","1,000","-0,003","-0,004","1,013","-0,001","-0,001","0,947","0,000","-0,001","0,963","0,000","0,000","1,056","0,002","-0,006","1,016","0,000","0,008","1,025"
3,"0,005","-0,001","1,004","0,002","0,001","1,016","0,001","0,000","0,947","-0,004","0,000","0,955","-0,002","-0,004","1,059","0,005","-0,006","1,019","-0,001","0,010","1,030"
4,"0,003","-0,004","1,007","0,001","-0,001","1,011","-0,003","-0,006","0,946","-0,002","-0,001","0,963","-0,006","-0,001","1,056","0,007","-0,009","1,018","-0,001","0,004","1,029"
5,"-0,002","-0,001","1,002","-0,001","0,000","1,009","-0,004","-0,004","0,941","0,000","-0,001","0,962","-0,002","0,006","1,053","-0,001","0,004","1,011","-0,001","-0,003","1,029"
6,"0,008","0,001","0,999","0,000","0,004","1,000","0,000","-0,001","0,947","-0,003","-0,003","0,956","0,003","0,007","1,050","-0,004","0,008","1,017","-0,001","-0,003","1,027"
7,"0,003","0,002","1,004","-0,001","-0,003","1,005","-0,003","-0,001","0,947","0,001","-0,003","0,960","0,007","0,006","1,054","-0,003","-0,002","1,024","0,001","-0,003","1,032"
8,"-0,002","0,004","1,004","-0,001","-0,003","1,004","0,002","0,004","0,953","0,001","-0,004","0,957","0,008","0,005","1,060","-0,004","0,002","1,020","-0,002","0,000","1,023"
9,"-0,002","-0,001","1,004","0,001","0,002","1,004","-0,004","-0,002","0,946","-0,001","-0,003","0,962","0,004","0,002","1,055","0,000","-0,007","1,021","0,002","0,003","1,031"
