Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
472,"-1,783","-1,254","0,995","1,940","-1,879","-3,842","-0,075","-0,700","-0,014","1,092","-0,005","0,433","-1,726","-1,334","-0,480","-1,600","-1,926","-2,075","-2,920","-3,303","-2,139"
473,"-1,904","-1,472","0,113","1,068","-1,229","-3,338","-0,218","-0,493","0,001","0,875","-0,001","0,305","-2,198","-1,186","-1,090","-0,885","-2,576","-2,401","-2,413","-3,088","-1,592"
474,"-1,964","-1,632","-0,788","-0,543","-0,438","-2,058","-0,188","-0,184","-0,011","0,417","-0,191","0,202","-2,419","-1,385","-1,656","-1,154","-2,544","-2,623","-2,331","-2,876","-1,078"
475,"-1,980","-1,571","-1,053","-1,615","-0,096","-0,861","-0,265","-0,056","-0,021","-0,200","-0,143","0,114","-1,932","-1,121","-2,110","-2,147","-2,649","-2,927","-2,188","-2,856","-0,545"
476,"-1,770","-1,472","-0,651","-1,307","-0,329","-0,779","-0,195","-0,221","-0,058","0,484","-0,117","0,236","-1,453","-1,344","-1,962","-1,982","-2,322","-2,576","-2,170","-2,565","-0,003"
477,"-1,689","-1,459","-0,345","-0,638","-0,911","-1,592","-0,213","-0,088","-0,082","0,571","-0,118","0,176","-1,548","-1,225","-1,323","-2,372","-2,007","-2,559","-2,260","-2,537","0,376"
478,"-1,807","-1,443","-0,278","-0,235","-1,305","-2,731","-0,140","-0,008","0,001","-0,190","0,160","-0,125","-2,594","-0,670","0,269","-2,666","-2,066","-2,948","-2,096","-2,498","0,638"
479,"-1,697","-1,607","-0,434","-0,054","-1,460","-3,586","-0,194","-0,099","0,002","-0,021","0,007","-0,125","-3,005","-0,047","2,140","-1,926","-2,094","-2,911","-2,356","-2,349","0,820"
480,"-1,441","-1,448","-0,302","-0,114","-1,520","-3,571","-0,206","-0,051","-0,034","-0,067","0,101","-0,132","-2,535","-0,059","2,736","-1,225","-1,896","-2,726","-2,445","-2,458","0,395"
481,"-1,316","-1,317","-0,279","0,064","-1,139","-2,845","-0,193","0,024","0,062","-0,140","0,216","-0,238","-2,256","-0,495","2,183","-1,621","-1,875","-2,611","-2,513","-2,355","0,479"
482,"-1,417","-1,521","-0,852","-0,082","-0,836","-1,523","-0,194","-0,099","0,002","0,156","0,492","-0,002","-2,042","-0,619","2,005","-1,795","-1,768","-2,067","-2,618","-2,121","1,035"
483,"-1,185","-1,450","-1,074","-0,564","-0,546","-0,608","-0,247","-0,190","0,002","0,385","0,358","-0,162","-0,953","-0,896","1,777","-1,657","-1,434","-1,583","-2,541","-1,693","1,591"
484,"-1,064","-1,452","-1,081","-1,011","-0,681","0,009","-0,313","-0,233","-0,033","0,463","0,516","-0,114","-1,125","-0,935","1,700","-2,514","-1,260","-1,373","-2,478","-1,829","1,587"
485,"-1,015","-1,319","-1,306","-1,254","-0,978","0,081","-0,189","-0,306","-0,071","1,209","0,465","0,161","-1,777","-0,563","1,429","-2,504","-1,631","-1,658","-2,533","-1,933","0,698"
486,"-1,084","-1,229","-1,450","-1,197","-1,290","0,071","-0,444","-0,196","-0,043","1,239","0,353","0,020","-1,113","-0,939","0,317","-2,049","-1,712","-2,370","-2,394","-2,027","-0,312"
487,"-1,015","-1,082","-1,365","-0,967","-1,505","-0,093","-0,360","-0,286","0,015","1,342","0,369","0,107","-0,950","-1,308","-1,173","-1,627","-1,640","-2,318","-2,232","-1,989","-0,845"
488,"-1,019","-1,097","-1,424","-0,694","-1,586","-0,533","-0,248","-0,312","-0,058","0,937","0,602","0,074","-0,944","-1,018","-1,284","-1,719","-1,311","-2,242","-2,279","-2,060","-1,018"
489,"-1,056","-0,890","-1,095","-0,655","-1,461","-0,869","-0,193","0,024","0,062","0,597","0,664","-0,046","-0,920","-0,937","-1,039","-1,248","-1,306","-2,427","-2,049","-1,988","-0,831"
490,"-1,028","-0,670","-0,710","-0,121","-1,141","-1,153","-0,205","0,072","0,027","0,993","0,469","0,034","-0,859","-0,935","-1,030","-1,180","-1,386","-2,437","-1,818","-1,667","-0,682"
491,"-0,907","-0,612","-0,733","-0,238","-0,769","-1,151","-0,337","-0,014","-0,044","0,868","0,284","-0,082","-1,112","-0,775","-1,028","-1,271","-0,895","-1,450","-1,765","-1,756","-0,575"
