Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
404,"1,000","-0,002","0,004","0,003","1,000","-0,008","0,001","-0,001","1,000","0,002","0,000","-0,002","1,000","0,003","0,003","0,000","1,000","-0,006","0,001","-0,001","1,000","-0,012","0,001","0,001","1,000","-0,002","0,004","-0,010"
405,"1,000","-0,002","0,004","0,003","1,000","-0,008","0,001","-0,001","1,000","0,002","0,000","-0,002","1,000","0,003","0,003","0,000","1,000","-0,006","0,002","-0,001","1,000","-0,012","0,001","0,001","1,000","-0,002","0,004","-0,010"
406,"1,000","-0,002","0,004","0,004","1,000","-0,008","0,001","-0,001","1,000","0,002","0,000","-0,002","1,000","0,003","0,003","0,000","1,000","-0,006","0,002","-0,001","1,000","-0,012","0,001","0,001","1,000","-0,002","0,004","-0,010"
407,"1,000","-0,002","0,004","0,004","1,000","-0,008","0,001","-0,001","1,000","0,002","0,000","-0,002","1,000","0,003","0,003","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,012","0,001","0,001","1,000","-0,001","0,004","-0,010"
408,"1,000","-0,002","0,004","0,004","1,000","-0,008","0,001","-0,001","1,000","0,001","0,000","-0,002","1,000","0,003","0,003","0,000","1,000","-0,006","0,002","-0,001","1,000","-0,012","0,001","0,001","1,000","-0,002","0,004","-0,010"
409,"1,000","-0,002","0,004","0,004","1,000","-0,008","0,001","-0,002","1,000","0,001","-0,001","-0,002","1,000","0,003","0,004","0,000","1,000","-0,007","0,001","-0,001","1,000","-0,012","0,001","0,001","1,000","-0,002","0,004","-0,010"
410,"1,000","-0,002","0,004","0,004","1,000","-0,008","0,001","-0,002","1,000","0,001","0,000","-0,002","1,000","0,003","0,003","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,012","0,002","0,001","1,000","-0,002","0,004","-0,010"
411,"1,000","-0,002","0,004","0,004","1,000","-0,008","0,001","-0,002","1,000","0,001","0,000","-0,002","1,000","0,003","0,003","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,012","0,001","0,001","1,000","-0,002","0,004","-0,010"
412,"1,000","-0,002","0,004","0,004","1,000","-0,008","0,001","-0,002","1,000","0,001","0,000","-0,002","1,000","0,003","0,004","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,012","0,001","0,001","1,000","-0,002","0,004","-0,010"
413,"1,000","-0,002","0,004","0,004","1,000","-0,008","0,002","-0,002","1,000","0,001","0,000","-0,002","1,000","0,004","0,004","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,012","0,001","0,001","1,000","-0,002","0,004","-0,010"
414,"1,000","-0,002","0,004","0,003","1,000","-0,008","0,002","-0,002","1,000","0,001","0,000","-0,002","1,000","0,004","0,003","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,012","0,002","0,001","1,000","-0,002","0,004","-0,011"
415,"1,000","-0,002","0,004","0,003","1,000","-0,008","0,001","-0,002","1,000","0,001","0,000","-0,002","1,000","0,004","0,004","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,012","0,002","0,001","1,000","-0,002","0,004","-0,011"
416,"1,000","-0,002","0,005","0,003","1,000","-0,008","0,001","-0,002","1,000","0,001","0,000","-0,002","1,000","0,004","0,003","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,012","0,002","0,001","1,000","-0,002","0,004","-0,011"
417,"1,000","-0,002","0,005","0,003","1,000","-0,008","0,002","-0,002","1,000","0,001","0,000","-0,002","1,000","0,004","0,004","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,012","0,002","0,001","1,000","-0,003","0,004","-0,011"
418,"1,000","-0,003","0,004","0,003","1,000","-0,008","0,001","-0,002","1,000","0,001","0,000","-0,003","1,000","0,003","0,004","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,012","0,002","0,001","1,000","-0,003","0,004","-0,011"
419,"1,000","-0,003","0,004","0,003","1,000","-0,008","0,002","-0,002","1,000","0,001","0,000","-0,003","1,000","0,004","0,004","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,013","0,002","0,001","1,000","-0,003","0,004","-0,011"
420,"1,000","-0,003","0,004","0,003","1,000","-0,008","0,002","-0,002","1,000","0,001","0,000","-0,003","1,000","0,004","0,004","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,012","0,002","0,001","1,000","-0,003","0,004","-0,011"
421,"1,000","-0,003","0,004","0,003","1,000","-0,009","0,001","-0,002","1,000","0,001","0,000","-0,003","1,000","0,004","0,003","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,012","0,002","0,001","1,000","-0,003","0,004","-0,011"
422,"1,000","-0,003","0,005","0,004","1,000","-0,009","0,002","-0,002","1,000","0,002","0,000","-0,003","1,000","0,004","0,004","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,013","0,002","0,001","1,000","-0,003","0,004","-0,011"
423,"1,000","-0,003","0,005","0,004","1,000","-0,009","0,002","-0,002","1,000","0,002","0,000","-0,003","1,000","0,004","0,003","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,012","0,002","0,001","1,000","-0,003","0,005","-0,011"
424,"1,000","-0,003","0,005","0,004","1,000","-0,009","0,002","-0,002","1,000","0,002","0,000","-0,003","1,000","0,004","0,003","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,012","0,002","0,001","1,000","-0,004","0,005","-0,011"
425,"1,000","-0,003","0,005","0,004","1,000","-0,009","0,002","-0,002","1,000","0,002","0,000","-0,003","1,000","0,004","0,003","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,013","0,003","0,001","1,000","-0,004","0,005","-0,011"
426,"1,000","-0,003","0,004","0,004","1,000","-0,010","0,002","-0,002","1,000","0,001","0,000","-0,003","1,000","0,004","0,003","0,000","1,000","-0,008","0,002","-0,001","1,000","-0,013","0,002","0,001","1,000","-0,004","0,005","-0,011"
427,"1,000","-0,003","0,004","0,004","1,000","-0,010","0,002","-0,002","1,000","0,001","0,000","-0,003","1,000","0,003","0,003","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,013","0,002","0,001","1,000","-0,004","0,004","-0,011"
428,"1,000","-0,003","0,004","0,004","1,000","-0,010","0,002","-0,002","1,000","0,001","0,000","-0,003","1,000","0,004","0,003","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,013","0,002","0,001","1,000","-0,004","0,005","-0,011"
429,"1,000","-0,003","0,004","0,004","1,000","-0,010","0,002","-0,002","1,000","0,001","0,000","-0,003","1,000","0,003","0,003","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,013","0,003","0,001","1,000","-0,004","0,005","-0,011"
430,"1,000","-0,003","0,004","0,004","1,000","-0,009","0,002","-0,002","1,000","0,001","0,000","-0,003","1,000","0,004","0,003","0,000","1,000","-0,008","0,002","-0,001","1,000","-0,014","0,003","0,001","1,000","-0,004","0,005","-0,011"
431,"1,000","-0,004","0,004","0,004","1,000","-0,010","0,002","-0,002","1,000","0,001","0,000","-0,003","1,000","0,004","0,003","0,000","1,000","-0,008","0,003","-0,001","1,000","-0,013","0,003","0,001","1,000","-0,004","0,005","-0,011"
432,"1,000","-0,004","0,004","0,004","1,000","-0,009","0,002","-0,002","1,000","0,001","0,000","-0,003","1,000","0,004","0,003","0,000","1,000","-0,007","0,002","-0,001","1,000","-0,014","0,003","0,001","1,000","-0,004","0,005","-0,011"
433,"1,000","-0,004","0,004","0,005","1,000","-0,010","0,002","-0,002","1,000","0,001","0,000","-0,003","1,000","0,004","0,003","0,000","1,000","-0,008","0,002","-0,001","1,000","-0,014","0,003","0,001","1,000","-0,004","0,005","-0,011"
