Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
0,"0,553","0,161","-0,714","0,112","0,403","0,427","-0,397","0,283","-0,623","-0,652","0,023","0,126","0,141","-0,755","0,949","0,018","3,116","-1,160","0,566","0,185","0,604"
1,"0,572","0,606","-0,036","0,242","0,573","0,560","-0,314","-0,016","-0,650","-0,722","0,025","-0,006","0,893","-0,823","1,219","-0,289","4,213","-1,616","0,522","0,195","0,381"
2,"0,405","0,584","0,076","-0,433","0,660","0,433","-0,450","0,326","-0,570","-0,533","-0,077","-0,136","0,295","-0,504","0,995","-1,772","4,414","-1,857","0,517","0,226","0,433"
3,"0,343","0,642","0,062","-0,928","0,902","0,186","-0,427","0,337","-0,487","-0,743","-0,243","-0,055","0,073","-0,207","0,767","-2,109","4,543","-1,540","0,562","0,217","0,656"
4,"0,486","0,348","-0,446","-0,080","1,028","-0,020","-0,597","0,369","-0,401","-0,710","-0,519","-0,076","0,272","0,209","0,413","-0,843","3,869","-1,421","0,241","0,390","0,810"
5,"0,309","0,284","-0,722","0,826","0,787","-0,175","-0,334","0,450","-0,347","-0,640","-0,521","0,056","0,201","0,655","0,476","-0,386","2,926","-1,501","0,249","0,275","0,738"
6,"0,200","0,314","-0,646","0,341","0,695","-0,060","-0,330","0,316","-0,375","-0,818","-0,393","0,040","0,283","0,368","0,479","-0,126","2,580","-1,660","0,302","0,203","0,857"
7,"0,239","0,544","-0,145","-0,761","0,440","-0,059","-0,486","0,332","-0,471","-0,990","-0,391","0,103","0,298","0,400","0,735","-0,168","2,349","-2,091","0,121","0,064","0,854"
8,"0,131","0,575","-0,069","-0,753","0,263","0,190","-0,359","0,257","-0,495","-0,939","-0,476","0,244","0,634","0,418","0,641","0,275","2,446","-2,376","0,066","-0,105","0,809"
9,"-0,129","0,480","-0,110","-0,131","0,290","0,474","-0,464","0,254","0,030","-0,973","-0,383","0,207","0,043","0,302","0,675","0,135","2,804","-2,235","-0,104","-0,254","0,670"
10,"-0,127","0,387","0,274","-0,253","0,117","0,534","-0,541","0,105","-0,065","-0,853","-0,192","0,174","0,196","0,781","0,286","0,105","2,549","-2,199","-0,164","-0,203","0,634"
11,"-0,254","0,257","0,292","-0,812","-0,125","0,380","-0,399","0,106","0,212","-0,862","-0,142","0,207","0,336","1,000","0,076","0,663","2,168","-2,049","-0,147","-0,381","0,457"
12,"-0,332","0,099","0,245","-1,672","-0,053","0,202","-0,690","0,261","0,360","-0,736","-0,077","0,254","0,159","0,740","-0,171","0,816","1,530","-1,885","-0,328","-0,332","0,412"
