Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
0,"-0,008","0,002","1,007","-0,001","0,009","0,996","-0,003","-0,001","0,945","-0,001","0,000","0,961","0,003","0,012","1,042","0,005","0,008","1,014","0,003","0,000","1,025"
1,"0,000","0,004","0,998","0,002","0,001","1,000","-0,004","-0,003","0,947","-0,001","-0,005","0,956","0,002","0,007","1,049","-0,002","0,005","1,020","-0,004","-0,009","1,028"
2,"0,007","0,002","1,000","0,003","-0,002","0,998","-0,007","0,001","0,947","0,012","-0,006","0,962","-0,006","0,002","1,038","-0,004","0,004","1,027","-0,001","-0,005","1,026"
3,"-0,001","0,001","1,003","-0,001","0,004","1,000","-0,004","0,002","0,946","0,005","-0,001","0,962","-0,006","0,014","1,043","-0,004","0,003","1,022","-0,004","-0,010","1,026"
4,"-0,004","0,004","1,005","0,002","0,007","1,004","-0,014","0,000","0,944","0,007","-0,004","0,959","0,003","0,001","1,047","-0,005","0,005","1,023","0,001","-0,009","1,027"
5,"-0,008","0,004","1,001","0,002","0,001","0,999","-0,008","-0,005","0,940","0,002","0,000","0,962","-0,009","-0,004","1,049","-0,004","0,005","1,022","-0,003","0,000","1,026"
6,"-0,005","0,010","1,002","0,000","0,002","0,999","-0,005","-0,002","0,947","0,005","-0,004","0,960","-0,004","0,002","1,055","-0,002","0,006","1,022","-0,003","0,003","1,025"
7,"-0,001","0,008","1,002","0,001","0,008","0,997","-0,008","0,007","0,946","0,005","0,000","0,965","-0,004","0,005","1,044","0,006","0,005","1,022","0,001","0,006","1,018"
8,"-0,001","0,006","1,003","0,003","0,008","1,006","0,001","0,003","0,954","-0,012","0,006","0,969","-0,002","0,009","1,048","0,006","-0,008","1,022","0,000","0,009","1,017"
9,"0,000","0,004","0,997","-0,002","0,008","0,997","-0,001","0,004","0,949","0,003","-0,002","0,959","-0,003","0,008","1,051","-0,003","0,004","1,020","-0,004","-0,004","1,025"
10,"-0,003","0,002","1,006","0,001","0,006","1,003","-0,011","0,008","0,948","0,008","0,002","0,971","-0,007","0,008","1,041","-0,004","0,008","1,024","-0,004","-0,002","1,026"
11,"0,001","0,004","1,005","-0,003","0,005","0,997","-0,001","-0,002","0,948","0,002","-0,003","0,962","-0,001","0,006","1,052","0,003","0,003","1,019","-0,005","0,008","1,023"
12,"-0,002","0,006","0,999","-0,003","0,013","1,001","-0,004","-0,001","0,950","-0,009","-0,001","0,957","-0,003","0,005","1,052","-0,009","0,003","1,015","-0,001","0,004","1,027"
13,"-0,002","0,004","1,001","-0,004","0,013","0,999","-0,001","-0,003","0,948","-0,004","0,001","0,957","-0,003","0,003","1,051","-0,012","-0,009","1,025","0,002","-0,002","1,022"
14,"0,000","0,010","1,000","-0,007","0,009","1,001","-0,014","0,003","0,947","0,005","-0,001","0,958","-0,002","0,006","1,045","-0,001","-0,001","1,024","-0,006","0,001","1,025"
15,"-0,002","0,003","1,001","-0,002","0,010","1,005","0,000","0,000","0,944","0,005","-0,006","0,959","0,000","0,019","1,039","0,005","0,005","1,023","-0,001","-0,005","1,025"
16,"0,000","0,003","1,000","0,002","0,007","1,004","-0,002","0,001","0,945","0,007","-0,001","0,958","0,000","0,011","1,047","0,006","0,004","1,021","-0,001","-0,007","1,024"
17,"0,003","0,004","1,001","-0,007","0,005","1,004","-0,011","0,004","0,946","0,004","-0,002","0,957","0,000","-0,003","1,043","-0,004","-0,002","1,026","-0,001","-0,009","1,030"
18,"0,004","-0,003","1,001","-0,006","0,011","0,999","-0,001","0,008","0,949","0,007","-0,002","0,960","0,004","-0,005","1,053","0,006","0,002","1,023","-0,001","0,006","1,021"
19,"-0,001","0,006","0,999","-0,004","0,008","0,996","0,011","0,001","0,955","-0,012","0,001","0,962","0,000","0,008","1,043","0,007","0,003","1,021","-0,003","-0,001","1,029"
20,"0,002","0,009","0,997","-0,003","0,005","0,993","-0,003","0,003","0,950","0,002","-0,005","0,962","0,002","0,015","1,043","0,005","-0,003","1,017","0,006","-0,003","1,023"
21,"0,002","0,000","1,001","-0,005","0,000","0,994","-0,008","0,000","0,947","0,008","-0,004","0,963","0,012","0,015","1,048","0,001","-0,004","1,020","0,002","0,012","1,026"
22,"0,006","0,002","1,005","0,000","0,003","0,998","0,000","0,000","0,946","0,006","0,002","0,962","0,001","0,020","1,049","0,006","0,002","1,020","0,006","0,000","1,023"
23,"-0,003","-0,001","1,000","-0,001","-0,001","1,001","-0,004","0,003","0,945","-0,001","0,000","0,963","0,005","0,026","1,048","0,007","-0,001","1,024","0,003","-0,002","1,029"
24,"0,005","0,007","0,997","-0,001","0,003","1,000","-0,004","0,006","0,950","0,002","-0,002","0,952","0,010","0,013","1,052","0,007","-0,008","1,028","-0,008","-0,004","1,026"
25,"0,000","0,001","1,001","0,003","0,004","0,999","0,001","0,003","0,951","0,006","0,001","0,960","-0,003","0,004","1,042","0,007","0,005","1,024","0,000","0,001","1,024"
26,"0,002","0,001","1,001","0,001","0,004","0,998","-0,001","0,002","0,951","0,003","0,000","0,967","0,001","0,004","1,052","0,011","-0,005","1,029","0,003","0,002","1,023"
27,"0,003","0,001","1,005","-0,002","0,000","0,999","0,000","0,000","0,946","0,001","-0,008","0,960","0,014","0,008","1,047","0,002","-0,005","1,020","0,004","-0,001","1,029"
28,"0,002","0,005","1,004","-0,003","0,008","1,000","0,001","0,007","0,948","0,008","-0,001","0,965","0,008","-0,002","1,044","-0,002","0,003","1,022","0,009","0,002","1,022"
29,"-0,001","0,002","1,002","-0,004","0,001","1,006","0,004","-0,004","0,947","0,000","0,004","0,965","-0,002","0,003","1,046","-0,005","0,007","1,017","0,002","0,005","1,026"
30,"-0,009","0,000","1,002","-0,003","0,006","1,006","0,000","0,001","0,951","-0,006","-0,003","0,956","0,000","0,007","1,050","0,009","-0,008","1,022","0,005","-0,005","1,025"
31,"-0,002","0,006","1,005","0,001","0,006","1,001","-0,010","0,006","0,949","0,002","-0,002","0,963","0,004","0,009","1,049","0,014","-0,008","1,029","-0,003","-0,003","1,027"
