Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
0,"0,327","0,841","2,616","0,565","0,139","0,804","0,077","-0,595","0,213","0,480","0,393","0,272","-0,445","-0,117","0,071","-2,627","-0,579","0,314","-0,025","-0,222","-0,189"
1,"0,457","0,658","2,020","0,508","0,271","0,843","0,131","-0,783","0,359","0,460","0,225","0,243","-0,440","-0,139","-0,457","-3,024","-1,037","-0,255","-0,726","0,015","0,106"
2,"0,420","0,474","1,632","0,268","0,345","0,905","0,104","-0,813","0,229","0,300","0,218","0,136","0,728","-0,512","-0,846","-2,520","-1,377","-0,685","0,092","-0,003","-0,152"
3,"0,598","0,786","2,224","0,271","0,117","1,011","0,170","-0,768","0,262","0,414","0,441","0,299","0,862","-0,449","-0,953","-2,069","-1,235","-0,866","0,004","-0,060","-0,543"
4,"0,783","0,942","2,928","0,214","0,070","1,086","0,118","-0,736","0,323","0,347","0,367","0,265","0,460","-0,323","-0,722","-3,217","-1,142","-1,048","0,181","-0,030","-0,473"
5,"0,744","0,957","3,183","0,024","-0,191","1,023","0,111","-0,650","0,333","0,291","0,621","0,367","0,825","-0,578","-0,623","-2,966","-0,783","-0,735","0,099","-0,166","-0,206"
6,"0,654","0,709","2,179","0,075","-0,227","0,841","0,031","-0,649","0,263","0,059","0,851","0,214","0,651","-0,369","-0,267","-2,027","-1,228","-1,168","0,213","-0,001","-0,142"
7,"0,440","0,662","1,828","-0,075","-0,318","0,369","0,050","-0,502","0,139","-0,035","0,554","-0,043","-0,799","0,015","-0,086","-2,313","-1,193","-1,773","-0,153","-0,060","-0,146"
8,"0,349","0,497","1,503","-0,081","-0,401","0,261","-0,034","-0,446","0,344","0,082","0,563","-0,183","-1,026","-0,067","-0,212","-2,503","-0,644","-1,443","0,039","0,078","-0,266"
9,"0,474","0,629","1,515","0,027","-0,090","-0,054","-0,239","-0,495","0,256","0,023","0,787","0,100","-0,023","0,032","0,097","-2,419","-0,412","-1,217","0,159","-0,113","-0,913"
10,"0,271","0,561","1,298","0,331","0,086","-0,106","-0,259","-0,487","0,172","-0,138","0,537","-0,130","0,862","0,175","0,353","-1,520","-1,217","-2,156","0,181","-0,168","-1,157"
