Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
29,"0,040","3,441","6,620","2,267","0,139","0,353","-0,488","2,762","2,089","-1,922","-5,970","4,194","0,402","2,432","0,396","-1,136","0,270","0,088","-3,871","-6,665","-10,537"
30,"-0,064","3,745","7,573","2,332","0,148","0,408","-1,236","2,032","3,390","0,527","-5,306","4,672","1,119","2,464","0,165","-0,706","0,185","0,182","-3,536","-6,781","-11,546"
31,"-1,055","3,759","8,365","2,384","0,188","0,274","-0,254","4,111","4,519","2,910","-3,883","5,605","2,412","1,451","0,885","0,208","0,188","0,158","-3,624","-6,121","-9,832"
32,"-2,016","3,313","8,528","2,182","-0,029","0,077","-2,637","4,808","10,437","3,242","-1,234","4,313","2,061","2,155","1,148","0,692","0,468","0,022","-3,371","-5,684","-8,523"
33,"-2,750","3,111","10,198","2,126","-0,199","0,171","-0,404","5,025","9,448","2,189","1,726","3,455","1,169","3,317","0,310","0,391","0,813","0,210","-2,951","-5,084","-7,009"
34,"-3,086","3,122","12,062","2,467","0,049","-0,206","-0,364","3,630","10,478","0,805","3,062","1,746","0,562","3,263","-0,215","0,023","0,980","0,145","-2,229","-4,983","-6,861"
35,"-3,447","2,883","13,753","3,112","-0,008","-0,558","-1,240","4,846","11,692","2,492","4,014","4,780","0,738","3,341","-0,526","0,936","0,685","0,053","-1,482","-4,306","-5,563"
36,"-3,211","2,494","14,496","3,238","-0,120","-0,488","-1,415","5,095","11,479","2,302","6,323","4,285","1,502","4,143","-0,634","2,456","0,263","-0,197","-1,276","-3,376","-3,686"
37,"-3,009","2,089","14,601","3,126","-0,160","-0,348","-1,670","4,781","10,973","2,299","4,680","5,030","2,811","5,355","-0,857","3,187","-0,168","-0,291","-0,816","-1,354","-0,421"
38,"-2,502","1,154","12,629","3,192","-0,151","-0,293","-0,942","3,380","8,670","0,528","2,424","4,479","3,918","5,536","-0,710","3,186","-0,032","-0,285","-0,465","-0,563","1,196"
39,"-1,932","0,606","10,260","3,374","-0,153","-0,307","-0,758","2,910","6,327","0,517","2,450","3,228","3,555","4,159","0,127","2,577","0,046","-0,238","-1,166","-0,363","1,515"
