Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
0,"0,018","0,292","-0,059","0,054","0,049","1,445","0,864","0,277","0,320","-0,625","0,971","-0,634","-0,762","-0,289","-1,449","-1,732","1,052","2,619","-0,328","-0,491","-1,021"
1,"-0,076","-0,072","-1,027","0,119","0,013","0,637","0,403","0,334","0,258","-0,481","2,097","-0,640","-0,351","-0,172","-0,650","-2,156","0,408","1,423","-0,053","-1,169","-3,057"
2,"-0,054","0,000","-0,795","-0,047","0,017","0,026","0,336","0,448","0,019","-1,497","2,313","-0,625","-1,181","0,012","-0,347","-1,676","0,192","0,300","0,027","-1,848","-4,829"
3,"0,155","0,146","-0,540","-0,156","0,127","-0,674","0,140","0,314","-0,083","-1,324","3,326","-0,772","-1,951","-0,334","-1,170","-0,697","-0,291","-0,401","0,624","-2,253","-5,895"
4,"0,278","0,541","0,736","-0,551","0,289","-1,113","-0,242","0,368","-0,075","-0,223","4,680","-0,210","-2,819","-0,779","-2,236","0,232","-0,491","-1,235","0,960","-3,722","-7,875"
5,"0,160","0,420","0,144","-0,899","0,235","-1,700","-0,176","0,290","-0,099","-0,534","4,629","-0,471","-3,374","-1,020","-3,417","-0,192","-1,000","-2,451","1,262","-2,768","-6,496"
6,"0,111","0,457","0,266","-1,299","0,385","-2,198","-0,451","0,159","-0,271","-0,196","5,122","-0,243","-2,947","-1,359","-3,955","-0,494","-0,932","-2,924","1,273","-2,823","-6,741"
7,"0,287","0,326","0,866","-1,552","0,245","-2,277","-0,530","0,126","-0,078","0,316","5,273","-0,498","-2,284","-1,040","-3,277","-0,685","-1,206","-3,666","1,832","-2,602","-6,962"
8,"0,362","0,665","0,305","-1,430","0,363","-2,309","-0,593","-0,410","-0,346","0,400","4,811","-1,536","-2,107","-0,734","-2,646","-1,092","-1,978","-5,371","1,913","-3,092","-7,396"
9,"0,478","0,645","0,236","-1,365","0,374","-2,254","-0,348","-0,715","-0,529","0,309","4,662","-1,355","-2,455","-0,452","-2,285","-1,409","-2,305","-6,096","1,605","-2,793","-7,354"
10,"0,684","0,855","1,113","-1,252","0,409","-2,393","-0,327","-0,847","-0,504","0,001","5,410","-0,277","-2,322","-0,603","-2,996","-1,361","-2,125","-5,614","1,423","-2,332","-6,024"
11,"0,789","0,543","0,302","-1,252","0,349","-2,382","-0,219","-1,191","-0,479","-0,241","3,862","-0,586","-2,614","-0,766","-3,748","-0,991","-2,150","-5,610","1,172","-1,381","-4,532"
12,"0,755","0,435","-0,046","-1,256","0,337","-2,441","-0,127","-1,241","-0,373","-0,292","2,668","-0,506","-2,834","-0,652","-3,400","-1,022","-2,459","-6,600","0,910","-0,648","-2,795"
13,"0,943","0,451","-0,005","-1,426","0,256","-2,226","-0,121","-1,080","-0,267","-0,501","2,389","-0,245","-2,855","-0,376","-2,616","-0,650","-2,873","-7,376","0,685","-0,378","-1,850"
14,"0,834","0,430","0,140","-1,460","0,028","-1,804","-0,143","-0,701","-0,174","-0,961","1,738","-0,211","-2,114","0,020","-2,138","-1,631","-2,963","-7,400","0,385","-0,297","-1,972"
15,"0,768","0,355","0,106","-1,607","-0,294","-1,231","-0,041","-0,271","-0,061","-0,710","1,433","-0,152","-2,076","0,566","-1,396","-1,463","-2,780","-6,899","-0,011","-0,569","-2,672"
16,"0,700","0,197","-0,608","-1,346","-0,430","-0,974","-0,502","-0,091","-0,064","-1,114","1,111","-0,292","-1,340","0,363","-0,703","-1,479","-2,651","-6,391","-0,078","-0,570","-2,539"
17,"0,683","0,202","-0,800","-1,146","-0,624","-0,701","-0,554","-0,183","-0,062","-1,362","1,322","-0,037","-0,964","-0,100","-1,308","-1,910","-2,627","-6,404","-0,139","-0,163","-1,176"
18,"0,639","0,256","-0,620","-0,795","-0,485","-0,942","-0,543","0,051","-0,172","-1,424","1,059","0,003","-1,016","-0,305","-2,000","-1,587","-2,774","-6,473","-0,471","0,271","-0,589"
19,"0,412","0,115","-1,068","-0,617","-0,500","-1,014","-0,392","0,130","-0,021","-1,596","0,507","0,016","-0,968","-0,280","-1,861","-0,938","-2,308","-5,941","-0,576","0,815","0,363"
20,"0,059","-0,102","-1,543","-0,186","-0,314","-1,020","-0,294","0,276","-0,073","-1,479","0,176","0,069","-1,054","0,214","-1,093","-1,040","-1,942","-5,313","-0,733","1,141","1,148"
21,"-0,161","-0,027","-1,289","-0,060","-0,244","-0,981","-0,347","0,308","-0,012","-1,130","-0,047","0,082","-0,651","0,636","-0,292","-0,848","-1,727","-4,980","-0,859","1,249","1,224"
22,"-0,252","0,257","-0,984","-0,165","-0,076","-0,758","-0,425","0,187","-0,141","-1,058","0,178","-0,005","-0,628","0,674","-0,547","-0,170","-1,391","-4,202","-0,512","0,788","0,311"
23,"-0,403","0,484","-0,655","-0,525","0,180","-0,719","-0,392","0,130","-0,021","-0,956","0,411","-0,172","-0,783","0,623","-0,832","-0,845","-0,462","-2,711","-0,754","-0,708","-2,432"
24,"-0,387","0,596","-0,499","-0,773","0,351","-0,797","-0,343","-0,220","0,017","-0,813","1,077","-0,045","-1,360","0,475","-1,169","-2,636","-0,214","-1,903","-0,835","-0,953","-3,337"
25,"-0,271","0,577","-0,568","-1,081","0,344","-0,835","-0,408","-0,510","-0,134","-0,303","0,767","-0,722","-2,041","0,215","-1,665","-2,143","-0,760","-2,641","-0,592","-1,006","-3,299"
26,"-0,092","0,638","0,037","-1,146","0,273","-0,879","-0,003","-0,978","0,028","0,260","1,773","-0,307","-1,732","-0,131","-1,601","-2,419","-0,223","-2,538","-0,573","-1,087","-3,735"
27,"-0,024","0,796","0,751","-1,212","0,202","-0,922","0,071","-1,353","-0,388","-0,269","2,159","-0,092","-1,324","0,071","-0,789","-2,529","0,313","-1,880","-0,588","-0,788","-3,408"
28,"0,094","0,917","1,343","-1,094","0,129","-0,979","0,326","-1,090","-0,241","-0,117","1,648","-0,045","-2,161","0,425","-0,462","-2,244","0,315","-1,307","-0,445","-0,353","-2,527"
