Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
0,"-0,001","0,012","1,010","-0,003","0,021","1,009","0,000","0,008","0,959","0,003","0,004","0,971","0,008","0,000","0,898","-0,019","0,009","0,957","0,003","0,002","1,053"
1,"0,001","0,003","1,009","-0,005","0,022","1,011","0,003","0,007","0,960","0,000","0,008","0,968","0,005","0,002","0,890","-0,011","0,012","0,952","0,008","-0,001","1,050"
2,"-0,001","0,003","1,003","-0,004","0,018","1,010","0,003","0,008","0,959","-0,001","0,005","0,964","0,003","0,001","0,893","-0,009","-0,003","0,947","0,001","-0,002","1,049"
3,"0,002","0,002","1,002","-0,006","0,020","1,016","0,006","0,000","0,953","-0,002","0,001","0,962","0,003","0,003","0,890","-0,001","-0,011","0,949","-0,004","-0,004","1,054"
4,"-0,004","-0,001","1,007","-0,004","0,022","1,009","0,000","0,006","0,960","0,000","0,003","0,964","0,000","0,002","0,885","-0,007","-0,019","0,947","-0,002","0,000","1,053"
5,"-0,005","0,004","1,004","-0,005","0,024","1,016","-0,002","0,002","0,960","0,004","0,008","0,971","-0,001","0,006","0,886","-0,006","-0,011","0,954","0,004","0,000","1,050"
6,"-0,006","0,002","1,010","-0,005","0,025","1,016","0,001","0,005","0,962","0,003","0,002","0,969","0,001","0,006","0,888","-0,006","-0,013","0,951","0,003","0,000","1,051"
7,"-0,005","0,000","1,014","-0,006","0,021","1,011","0,005","0,006","0,960","0,007","0,006","0,972","0,004","0,000","0,889","-0,002","-0,005","0,961","0,006","0,005","1,050"
8,"-0,008","0,006","1,005","-0,010","0,023","1,015","0,006","0,005","0,959","0,007","0,000","0,971","0,004","0,007","0,887","-0,001","-0,006","0,958","0,008","-0,002","1,053"
9,"-0,005","0,007","1,007","-0,011","0,021","1,014","-0,002","0,007","0,961","0,002","-0,001","0,964","0,002","0,008","0,887","-0,002","-0,012","0,959","0,006","0,000","1,049"
10,"-0,008","0,008","1,006","-0,016","0,025","1,019","0,002","-0,001","0,963","0,002","0,007","0,975","0,007","0,010","0,886","-0,007","-0,004","0,954","0,006","0,001","1,050"
11,"-0,006","0,008","1,007","-0,017","0,021","1,010","-0,004","0,001","0,953","0,004","0,000","0,967","0,009","0,009","0,885","-0,010","0,000","0,960","0,006","0,003","1,048"
12,"-0,008","0,008","1,006","-0,017","0,016","1,007","-0,004","0,001","0,955","0,009","-0,001","0,967","0,008","0,009","0,887","-0,018","-0,001","0,955","0,011","-0,001","1,049"
13,"-0,007","0,002","1,010","-0,011","0,019","1,008","-0,005","-0,001","0,956","0,006","0,008","0,972","0,010","0,005","0,889","-0,019","-0,006","0,956","0,014","0,000","1,054"
14,"-0,010","0,005","1,013","-0,010","0,022","1,000","-0,005","0,004","0,962","0,004","0,001","0,969","0,012","0,007","0,887","-0,017","-0,009","0,957","0,010","0,000","1,051"
15,"-0,002","0,003","1,010","-0,012","0,024","1,002","-0,003","0,005","0,959","0,007","0,005","0,969","0,012","0,004","0,887","-0,020","-0,011","0,960","0,020","0,002","1,054"
16,"0,003","0,001","1,007","-0,010","0,015","1,008","-0,003","-0,001","0,963","0,003","0,012","0,974","0,008","0,008","0,895","-0,017","-0,010","0,955","0,010","-0,001","1,052"
17,"-0,001","0,000","1,008","-0,009","0,011","1,010","0,004","-0,003","0,962","-0,002","0,011","0,974","0,012","0,004","0,890","-0,013","-0,012","0,951","0,012","0,002","1,056"
18,"-0,002","0,004","1,003","-0,007","0,017","1,015","0,002","0,001","0,954","0,002","0,005","0,966","0,006","-0,001","0,889","-0,010","-0,008","0,953","0,007","-0,004","1,058"
19,"-0,001","-0,005","1,006","-0,007","0,022","1,012","-0,001","0,002","0,956","0,001","0,003","0,973","0,008","0,004","0,896","-0,006","-0,009","0,954","0,006","0,001","1,053"
20,"-0,001","-0,002","1,006","-0,010","0,017","1,014","0,004","0,000","0,955","0,004","0,007","0,969","0,003","0,004","0,891","-0,001","-0,003","0,950","0,011","0,002","1,054"
21,"-0,009","0,001","1,002","-0,009","0,010","1,008","0,007","0,001","0,961","0,001","0,007","0,970","0,008","0,004","0,894","0,001","-0,004","0,952","0,006","-0,003","1,053"
22,"-0,007","-0,002","1,009","-0,008","0,014","1,013","0,009","0,002","0,958","0,001","0,003","0,972","0,007","-0,002","0,892","-0,005","-0,005","0,950","0,010","-0,002","1,056"
23,"-0,004","0,007","1,006","-0,011","0,006","1,011","0,009","0,003","0,956","-0,002","0,006","0,973","0,011","-0,003","0,894","-0,007","-0,003","0,951","0,010","-0,004","1,053"
24,"-0,004","0,002","1,012","-0,005","0,011","1,014","0,001","0,000","0,958","-0,001","0,006","0,973","0,015","-0,002","0,892","-0,012","-0,001","0,955","0,008","-0,006","1,054"
25,"0,001","0,005","1,012","-0,003","0,015","1,019","-0,007","-0,003","0,962","0,000","0,006","0,971","0,009","-0,006","0,893","-0,008","-0,004","0,954","0,011","-0,008","1,053"
26,"0,000","0,002","1,014","-0,001","0,016","1,017","-0,002","0,003","0,960","0,000","-0,001","0,968","0,005","-0,009","0,890","-0,014","-0,002","0,957","0,007","-0,013","1,057"
27,"0,006","0,001","1,014","-0,001","0,015","1,014","-0,002","0,002","0,959","0,006","-0,001","0,970","0,012","-0,007","0,889","-0,007","-0,001","0,955","0,008","0,000","1,052"
28,"0,006","0,004","1,008","0,005","0,009","1,016","0,001","0,002","0,959","0,002","0,002","0,966","0,001","-0,004","0,895","-0,004","0,001","0,955","0,001","-0,003","1,050"
29,"0,006","-0,001","1,010","0,002","0,009","1,016","-0,002","0,005","0,961","0,000","0,003","0,972","0,004","-0,003","0,899","-0,001","-0,004","0,949","0,004","-0,001","1,054"
30,"0,006","-0,002","1,015","0,002","0,013","1,012","-0,004","0,002","0,957","0,005","0,000","0,967","0,005","-0,001","0,895","-0,001","-0,001","0,953","-0,004","0,003","1,056"
31,"-0,001","0,008","1,004","0,005","0,013","1,012","0,000","-0,001","0,962","0,002","0,002","0,972","-0,002","0,000","0,895","0,006","-0,001","0,951","0,002","-0,001","1,053"
32,"0,007","0,006","1,003","0,003","0,009","1,008","-0,005","-0,003","0,962","-0,004","0,012","0,967","-0,001","-0,004","0,893","0,011","-0,001","0,950","0,003","-0,005","1,056"
33,"-0,003","0,005","0,999","0,004","0,007","1,008","0,003","0,010","0,965","0,004","0,001","0,963","-0,004","-0,002","0,897","0,010","0,007","0,953","-0,001","-0,001","1,053"
34,"-0,006","0,004","1,006","0,000","0,010","1,004","0,001","-0,001","0,954","-0,002","0,007","0,980","-0,002","-0,004","0,892","0,006","0,004","0,953","-0,006","-0,003","1,055"
35,"-0,011","-0,011","1,011","0,002","0,003","1,008","-0,001","0,000","0,960","-0,001","0,002","0,972","-0,006","0,001","0,890","0,013","0,001","0,946","0,004","0,002","1,049"
36,"-0,010","-0,004","1,003","0,002","0,004","1,005","0,004","-0,012","0,962","0,002","-0,001","0,964","-0,009","0,008","0,896","0,005","0,000","0,951","0,000","0,000","1,050"
37,"-0,007","0,001","1,003","0,003","0,007","1,011","0,006","0,000","0,960","-0,003","0,012","0,972","-0,001","0,002","0,884","-0,008","0,000","0,949","0,001","0,001","1,054"
38,"-0,005","-0,002","1,009","-0,007","0,001","1,011","0,008","0,000","0,954","0,005","-0,003","0,970","0,000","-0,001","0,882","-0,009","-0,004","0,949","-0,002","-0,004","1,052"
39,"-0,006","0,001","1,013","-0,001","0,000","1,014","0,006","0,002","0,956","0,002","-0,002","0,976","-0,004","0,008","0,888","-0,011","0,003","0,958","0,000","-0,004","1,050"
40,"-0,009","0,004","1,005","-0,004","0,001","1,013","0,001","0,002","0,961","-0,001","0,003","0,974","-0,005","0,005","0,896","-0,013","-0,003","0,955","-0,001","0,003","1,049"
41,"-0,004","0,002","1,008","-0,011","0,008","1,013","0,002","0,003","0,963","0,004","0,000","0,972","-0,005","0,004","0,887","-0,012","0,005","0,964","0,003","-0,005","1,052"
42,"-0,004","0,003","1,004","-0,009","-0,007","1,015","0,001","-0,008","0,955","0,002","-0,001","0,972","-0,002","-0,002","0,886","-0,018","0,002","0,958","0,002","-0,001","1,052"
43,"-0,016","0,003","1,002","-0,006","0,002","1,013","-0,003","-0,004","0,956","0,006","0,004","0,965","-0,004","0,002","0,891","-0,017","-0,003","0,951","0,001","-0,004","1,046"
44,"-0,013","0,002","1,002","-0,003","-0,002","1,019","-0,006","-0,002","0,956","0,003","-0,006","0,965","-0,006","0,004","0,886","-0,017","-0,003","0,957","0,001","-0,005","1,049"
45,"-0,019","0,005","1,004","0,000","0,001","1,014","-0,010","-0,009","0,957","0,003","0,004","0,974","-0,002","0,007","0,887","-0,012","0,000","0,951","0,006","0,002","1,045"
46,"-0,014","0,006","1,005","0,000","0,008","1,009","-0,006","-0,008","0,962","0,002","-0,001","0,972","-0,006","0,002","0,887","-0,017","-0,002","0,953","0,005","-0,005","1,051"
47,"-0,017","0,003","1,009","-0,003","-0,008","1,005","-0,006","-0,011","0,955","0,002","0,000","0,972","-0,004","0,002","0,885","-0,018","-0,002","0,958","-0,001","-0,005","1,051"
48,"-0,007","-0,003","1,011","-0,007","-0,004","1,003","-0,003","-0,007","0,954","0,006","-0,001","0,968","-0,001","0,005","0,887","-0,016","-0,003","0,955","0,005","-0,008","1,054"
49,"-0,012","0,004","1,010","-0,010","-0,013","1,003","-0,005","-0,005","0,960","0,002","-0,003","0,970","-0,002","0,008","0,886","-0,008","-0,007","0,955","0,001","-0,004","1,051"
50,"-0,012","-0,007","1,008","-0,013","-0,009","1,003","-0,001","-0,008","0,954","0,003","-0,002","0,972","-0,001","0,004","0,889","-0,003","-0,004","0,956","0,006","-0,013","1,052"
51,"-0,006","0,004","0,998","-0,010","-0,009","1,002","-0,003","-0,008","0,952","-0,002","-0,005","0,970","-0,005","0,001","0,888","-0,010","-0,006","0,949","-0,004","-0,005","1,051"
52,"0,000","0,000","1,000","-0,015","-0,009","1,000","-0,001","-0,010","0,958","0,003","0,003","0,968","-0,004","0,000","0,886","-0,006","-0,002","0,954","-0,001","-0,009","1,048"
53,"0,002","-0,001","1,004","-0,013","-0,010","1,000","0,003","-0,006","0,959","-0,006","-0,002","0,966","-0,001","0,001","0,887","-0,003","-0,004","0,946","0,004","-0,010","1,047"
54,"-0,004","-0,002","1,007","-0,008","-0,014","1,002","0,001","0,000","0,950","-0,004","-0,003","0,968","0,004","0,004","0,885","-0,002","-0,003","0,947","0,000","-0,010","1,051"
55,"-0,001","-0,007","1,010","-0,004","0,000","1,012","0,003","-0,001","0,958","-0,006","-0,003","0,973","0,002","0,000","0,889","-0,002","-0,002","0,953","0,010","-0,006","1,052"
56,"-0,003","-0,008","1,015","-0,012","-0,010","1,017","0,002","-0,002","0,966","0,001","-0,006","0,974","0,004","-0,001","0,885","0,003","-0,002","0,953","0,007","-0,007","1,054"
57,"-0,006","-0,009","1,011","-0,009","-0,015","1,014","0,005","-0,005","0,965","0,003","-0,002","0,970","0,005","0,001","0,887","0,002","-0,004","0,961","0,010","-0,006","1,047"
58,"-0,002","-0,008","1,009","-0,011","-0,011","1,011","0,008","-0,008","0,959","0,007","-0,004","0,968","0,004","0,007","0,893","-0,001","-0,009","0,955","0,009","-0,004","1,046"
59,"-0,003","-0,010","1,007","-0,014","-0,021","1,009","0,005","0,000","0,956","0,004","-0,006","0,967","0,001","0,006","0,890","-0,005","-0,014","0,953","0,013","-0,006","1,052"
60,"-0,006","0,001","1,005","-0,008","-0,017","1,007","0,003","-0,008","0,956","0,006","-0,001","0,973","0,005","-0,001","0,892","-0,008","-0,014","0,950","0,014","0,001","1,053"
61,"-0,006","-0,002","1,011","-0,008","-0,014","1,008","-0,008","-0,006","0,963","0,008","0,002","0,977","0,004","0,005","0,891","-0,010","-0,015","0,954","0,010","-0,004","1,053"
62,"-0,011","-0,003","1,009","-0,009","-0,010","1,011","0,003","0,001","0,964","0,003","-0,004","0,973","0,001","0,000","0,897","-0,005","-0,013","0,955","0,009","-0,004","1,052"
63,"-0,007","-0,005","1,010","-0,009","-0,020","1,002","-0,002","-0,002","0,952","0,003","-0,005","0,969","0,006","-0,001","0,895","-0,007","-0,013","0,963","0,005","-0,005","1,056"
64,"-0,001","-0,001","1,011","-0,010","-0,021","1,001","-0,009","-0,001","0,958","0,004","-0,011","0,975","0,010","-0,002","0,895","-0,006","-0,013","0,952","0,008","-0,010","1,058"
65,"-0,009","-0,004","1,009","-0,008","-0,015","1,004","-0,002","-0,006","0,960","0,006","-0,005","0,972","0,008","0,000","0,897","0,000","-0,014","0,956","0,007","-0,001","1,057"
66,"-0,004","-0,006","1,006","-0,005","-0,018","1,000","0,006","-0,010","0,958","0,007","0,000","0,967","0,009","0,001","0,894","-0,006","-0,010","0,956","0,008","-0,003","1,055"
67,"-0,004","-0,009","1,008","-0,005","-0,016","1,009","0,009","-0,006","0,958","0,001","-0,005","0,972","0,010","-0,005","0,888","-0,003","-0,010","0,950","0,006","-0,006","1,053"
68,"0,000","-0,010","1,006","-0,001","-0,023","1,001","0,002","-0,001","0,965","-0,005","-0,003","0,974","0,003","-0,004","0,889","-0,006","-0,011","0,947","0,007","-0,009","1,050"
69,"-0,005","-0,001","1,009","0,001","-0,021","1,003","0,000","-0,007","0,957","-0,003","-0,004","0,967","0,011","-0,003","0,892","-0,005","-0,012","0,953","0,005","-0,007","1,049"
70,"-0,006","-0,007","1,004","-0,001","-0,022","0,998","0,002","-0,002","0,962","-0,005","0,001","0,971","0,007","0,002","0,893","-0,008","-0,011","0,950","0,009","-0,007","1,049"
