Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
1357,"0,998","0,025","0,061","-0,009","0,999","-0,014","0,028","0,026","1,000","-0,024","0,014","-0,003","0,562","-0,751","0,310","0,155","0,991","0,118","0,061","0,020","0,997","-0,030","0,059","0,039","0,825","-0,555","0,025","0,101"
1358,"0,998","0,025","0,061","-0,009","0,999","-0,014","0,028","0,026","1,000","-0,023","0,013","-0,003","0,562","-0,751","0,309","0,155","0,991","0,118","0,061","0,020","0,997","-0,030","0,059","0,039","0,825","-0,555","0,025","0,101"
1359,"0,998","0,026","0,061","-0,008","0,999","-0,014","0,028","0,026","1,000","-0,023","0,013","-0,003","0,562","-0,751","0,309","0,155","0,991","0,118","0,061","0,020","0,997","-0,030","0,059","0,039","0,825","-0,555","0,025","0,102"
1360,"0,998","0,026","0,061","-0,008","0,999","-0,014","0,027","0,026","1,000","-0,023","0,013","-0,003","0,562","-0,751","0,309","0,156","0,991","0,118","0,062","0,021","0,997","-0,030","0,059","0,039","0,825","-0,555","0,025","0,102"
1361,"0,998","0,026","0,061","-0,008","0,999","-0,014","0,027","0,026","1,000","-0,023","0,013","-0,003","0,562","-0,751","0,309","0,156","0,991","0,118","0,062","0,021","0,997","-0,030","0,059","0,039","0,825","-0,555","0,026","0,102"
1362,"0,998","0,027","0,061","-0,008","0,999","-0,013","0,027","0,026","1,000","-0,022","0,013","-0,003","0,562","-0,751","0,310","0,156","0,991","0,118","0,061","0,021","0,997","-0,030","0,059","0,039","0,825","-0,555","0,026","0,103"
1363,"0,998","0,027","0,061","-0,007","0,999","-0,013","0,027","0,026","1,000","-0,022","0,013","-0,003","0,562","-0,750","0,310","0,156","0,991","0,118","0,061","0,021","0,997","-0,029","0,059","0,040","0,825","-0,555","0,026","0,103"
1364,"0,998","0,028","0,061","-0,006","0,999","-0,013","0,027","0,026","1,000","-0,021","0,012","-0,003","0,563","-0,750","0,310","0,157","0,991","0,118","0,061","0,021","0,997","-0,029","0,060","0,040","0,825","-0,555","0,026","0,103"
1365,"0,998","0,028","0,061","-0,006","0,999","-0,012","0,027","0,026","1,000","-0,021","0,012","-0,003","0,563","-0,750","0,310","0,157","0,991","0,118","0,061","0,021","0,997","-0,029","0,060","0,040","0,825","-0,555","0,026","0,102"
1366,"0,998","0,027","0,061","-0,005","0,999","-0,012","0,027","0,026","1,000","-0,020","0,011","-0,003","0,563","-0,750","0,310","0,157","0,991","0,118","0,061","0,021","0,997","-0,029","0,060","0,040","0,825","-0,555","0,026","0,102"
1367,"0,998","0,027","0,061","-0,005","0,999","-0,012","0,027","0,026","1,000","-0,020","0,011","-0,003","0,563","-0,750","0,311","0,157","0,991","0,119","0,060","0,021","0,997","-0,029","0,059","0,041","0,825","-0,555","0,026","0,102"
1368,"0,998","0,027","0,060","-0,005","0,999","-0,012","0,027","0,027","1,000","-0,019","0,011","-0,002","0,563","-0,749","0,311","0,157","0,991","0,119","0,060","0,021","0,997","-0,029","0,059","0,041","0,825","-0,555","0,026","0,102"
1369,"0,998","0,027","0,061","-0,005","0,999","-0,011","0,027","0,027","1,000","-0,019","0,011","-0,002","0,563","-0,749","0,311","0,157","0,991","0,119","0,060","0,020","0,997","-0,029","0,059","0,041","0,825","-0,555","0,026","0,101"
1370,"0,998","0,027","0,061","-0,004","0,999","-0,011","0,027","0,027","1,000","-0,019","0,011","-0,002","0,563","-0,749","0,311","0,156","0,991","0,119","0,059","0,020","0,997","-0,029","0,059","0,041","0,826","-0,555","0,026","0,101"
1371,"0,998","0,027","0,061","-0,004","0,999","-0,011","0,028","0,027","1,000","-0,019","0,011","-0,002","0,563","-0,749","0,311","0,156","0,991","0,119","0,059","0,020","0,997","-0,030","0,059","0,041","0,826","-0,555","0,026","0,100"
1372,"0,998","0,028","0,062","-0,002","0,999","-0,011","0,028","0,027","1,000","-0,018","0,011","-0,002","0,563","-0,749","0,312","0,155","0,991","0,119","0,058","0,020","0,997","-0,030","0,059","0,041","0,826","-0,554","0,026","0,100"
1373,"0,998","0,027","0,062","-0,001","0,999","-0,011","0,028","0,027","1,000","-0,018","0,011","-0,002","0,564","-0,749","0,312","0,155","0,991","0,119","0,058","0,020","0,997","-0,030","0,060","0,041","0,826","-0,554","0,026","0,099"
1374,"0,998","0,028","0,062","0,000","0,999","-0,011","0,028","0,027","1,000","-0,017","0,010","-0,002","0,564","-0,749","0,312","0,154","0,991","0,119","0,058","0,020","0,997","-0,031","0,060","0,042","0,826","-0,554","0,026","0,099"
1375,"0,998","0,028","0,062","0,001","0,999","-0,011","0,029","0,027","1,000","-0,016","0,010","-0,002","0,564","-0,749","0,312","0,154","0,991","0,119","0,057","0,020","0,997","-0,031","0,060","0,042","0,826","-0,554","0,026","0,098"
1376,"0,998","0,028","0,062","0,002","0,999","-0,011","0,029","0,027","1,000","-0,016","0,009","-0,002","0,564","-0,749","0,312","0,153","0,991","0,119","0,057","0,019","0,997","-0,031","0,059","0,042","0,826","-0,554","0,026","0,098"
1377,"0,998","0,029","0,063","0,003","0,999","-0,011","0,029","0,027","1,000","-0,015","0,008","-0,002","0,564","-0,749","0,312","0,153","0,991","0,118","0,057","0,019","0,997","-0,031","0,059","0,043","0,826","-0,554","0,026","0,097"
1378,"0,998","0,029","0,063","0,005","0,999","-0,011","0,029","0,027","1,000","-0,014","0,008","-0,002","0,564","-0,749","0,312","0,152","0,991","0,118","0,057","0,019","0,997","-0,031","0,059","0,043","0,826","-0,554","0,025","0,097"
1379,"0,998","0,029","0,063","0,007","0,999","-0,011","0,029","0,027","1,000","-0,013","0,007","-0,002","0,564","-0,749","0,312","0,152","0,991","0,118","0,057","0,019","0,997","-0,031","0,059","0,043","0,826","-0,554","0,025","0,097"
1380,"0,998","0,030","0,063","0,008","0,999","-0,011","0,029","0,026","1,000","-0,013","0,006","-0,002","0,564","-0,749","0,312","0,152","0,991","0,118","0,057","0,018","0,997","-0,031","0,059","0,044","0,826","-0,554","0,025","0,096"
