Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
0,"0,006","0,007","1,004","0,000","-0,002","1,002","-0,004","-0,004","0,951","-0,004","0,000","0,962","0,002","-0,001","1,054","0,002","0,007","1,022","0,003","-0,003","1,031"
1,"0,001","-0,002","1,004","0,002","-0,002","1,005","-0,006","0,000","0,945","-0,003","-0,001","0,956","0,000","0,003","1,060","0,000","0,009","1,023","0,004","0,001","1,029"
2,"-0,001","0,000","1,002","0,005","-0,002","1,002","-0,003","-0,004","0,947","-0,001","0,001","0,960","0,001","0,002","1,056","0,000","0,008","1,022","0,006","-0,009","1,031"
3,"0,000","0,000","1,003","0,000","-0,004","1,000","-0,002","-0,001","0,946","-0,001","0,003","0,958","-0,001","0,002","1,059","-0,001","-0,002","1,028","0,004","-0,001","1,028"
4,"0,009","0,007","0,997","0,008","-0,001","1,005","-0,001","-0,002","0,943","0,000","-0,002","0,961","0,002","0,005","1,053","0,003","0,005","1,023","0,002","0,000","1,033"
5,"0,006","0,005","1,003","0,001","-0,007","1,007","0,001","-0,002","0,948","0,004","0,002","0,954","0,006","-0,005","1,057","0,001","0,003","1,026","0,001","-0,005","1,030"
6,"0,003","0,003","1,002","0,005","0,000","1,005","-0,002","-0,001","0,946","-0,004","0,001","0,966","0,002","0,005","1,055","0,006","-0,001","1,024","0,002","0,000","1,035"
7,"0,009","0,001","1,000","0,005","-0,004","1,001","0,000","-0,002","0,955","-0,004","0,003","0,959","-0,001","0,001","1,055","0,007","0,001","1,024","0,005","0,000","1,032"
8,"0,006","-0,002","0,998","0,002","-0,001","1,008","-0,002","-0,004","0,947","0,001","0,009","0,966","-0,002","-0,003","1,063","0,008","0,000","1,024","0,006","-0,004","1,032"
9,"0,006","-0,005","1,004","0,002","0,003","1,005","0,000","-0,005","0,948","0,002","-0,001","0,961","0,004","0,006","1,054","0,007","0,002","1,024","0,007","-0,005","1,033"
