frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence,left_shoulder_interpolated,right_shoulder_interpolated,left_elbow_interpolated,right_elbow_interpolated,left_wrist_interpolated,right_wrist_interpolated,left_hip_interpolated,right_hip_interpolated,left_knee_interpolated,right_knee_interpolated,left_ankle_interpolated,right_ankle_interpolated
327,6.54,0.13961953372197353,-0.009402549938820793,0.71351385,-0.13961953372197264,0.00940254993882167,0.77812856,-0.18501516827652126,0.44696253991755136,0.59905696,-0.21361336635764214,0.45631463298527164,0.7761568,-0.1851445017660074,0.022776116044974818,0.6575652,,,0.4901685,0.0036106343349816853,1.017530834542128,0.8445357,-0.19209052964874018,0.9735681908864197,0.8209921,-0.4991223763838806,1.4158019685281529,0.5915083,-0.6571410830108597,1.3304149166127488,0.74672353,-0.4553146492434009,2.555278182634258,0.878084,-0.6192737659670732,2.3767186965360683,0.9249003,False,False,True,False,False,False,False,False,True,False,False,False
328,6.56,0.13549945786080625,-0.011794246842345991,0.7611798,-0.13549945786080625,0.011794246842345991,0.80500406,-0.18301654918363902,0.4438822071780624,0.6891414,-0.20922576136519327,0.4472614151887145,0.6982913,-0.18216521721625775,0.023658997811217875,0.48825374,,,0.4077025,0.00037331905756809487,1.0157691100845838,0.8606307,-0.19198774608501432,0.9750307069123297,0.79054505,-0.4927824814752593,1.4081185510396605,0.738797,-0.6501903413222453,1.3190471813109914,0.6355161,-0.44968214133330825,2.5325185168139686,0.84229535,-0.6118568364398052,2.366250021139883,0.91364574,False,False,False,False,True,False,False,False,False,False,False,False
329,6.58,0.13686364649868885,-0.003517332507138309,0.7630312,-0.13686364649868796,0.003517332507138309,0.7067353,-0.1865304826274414,0.44925588673621125,0.5691131,-0.2143970086414416,0.45172051932718493,0.6541771,-0.1864610647138289,0.022536851977639445,0.58083147,,,0.48274726,0.0003627135429183079,1.018218396966845,0.82086194,-0.19444633982373838,0.972342214019338,0.800117,-0.5212719684812014,1.412640065104638,0.61438364,-0.6637474303141385,1.3415395087319903,0.69806933,-0.4556239024536125,2.5508430736552885,0.8516576,-0.6169315938305829,2.3856700504526858,0.9353336,False,False,True,False,True,False,False,False,False,False,False,False
330,6.6,0.13687527981663733,-0.012088982572059826,0.66433036,-0.1368752798166382,0.012088982572058959,0.7955002,-0.18325016524023566,0.4444114034860712,0.67626154,-0.21092229981634775,0.4494569747718409,0.69529796,-0.1839660090840188,0.022689740342166666,0.46489066,,,0.42384854,-0.00733634970278883,1.016963834962461,0.85234225,-0.2072265887538029,0.9714935433690116,0.80271804,-0.510317235248278,1.396102192724419,0.49846816,-0.6547221260056814,1.3230633886373862,0.8673034,-0.45129506568923083,2.5331313684696246,0.8106965,-0.6147254863706446,2.3614188366431437,0.88591236,False,False,False,False,True,False,False,False,True,False,False,False
331,6.62,0.13696735552479553,-0.005337809402949804,0.65998554,-0.13696735552479639,0.005337809402948927,0.76668346,-0.1832705454393958,0.45053209578157544,0.6423558,-0.21478521556341723,0.44778821241228356,0.68524843,-0.18658651900771656,0.01861822071610119,0.5919735,,,0.47378746,0.007165076088521656,1.0213718205440168,0.824764,-0.1908212825544775,0.970177927221911,0.794099,-0.5124360249950448,1.4088109973283964,0.66060823,-0.6625006818742769,1.3371019921446985,0.7364792,-0.45838507892044367,2.546862941365552,0.8088209,-0.6185749183248392,2.387309916828373,0.92629254,False,False,False,False,True,False,False,False,False,False,False,False
332,6.64,0.12781837743440286,-0.004835296438218497,0.68556684,-0.12781837743440286,0.004835296438217638,0.6876523,-0.1834550067407229,0.44364923998264644,0.564436,-0.21394739770025387,0.44230451692339695,0.50146246,-0.1857154337833591,0.0200561530211594,0.3748249,,,0.43145072,-0.01698693316943705,1.0179663121668963,0.6307825,-0.2094838803700563,0.9691700622711442,0.6101364,-0.501111586166613,1.3783085765073444,0.46163383,-0.6467285544815488,1.3101835296241653,0.76238286,-0.4611954097672418,2.5277524041274453,0.8119036,-0.6083197424027834,2.339500854555411,0.8330571,False,False,True,True,True,False,False,False,True,False,False,False
333,6.66,0.13325557843462812,-0.012471077980315125,0.59947145,-0.13325557843462812,0.012471077980315125,0.8215904,-0.18976490538250304,0.4556611326574638,0.64432883,-0.2208120031486298,0.4556600148214168,0.7214273,-0.1910765662161446,0.018420959956931406,0.5823967,,,0.5107722,0.005253011007764234,1.0203317802648162,0.79037786,-0.19411288838027682,0.9707312390087666,0.805129,-0.5123320667596413,1.4151187356291277,0.69617003,-0.6665205025181732,1.3442686900273508,0.5270956,-0.46426391903390635,2.569319427014228,0.86305577,-0.628013965038658,2.3944152136999546,0.9374417,True,False,False,False,True,False,False,False,False,True,False,False
334,6.68,0.13021716199162736,-0.015972945534287377,0.7046018,-0.13021716199162736,0.015972945534287377,0.7951589,-0.1860066732534116,0.44860312227894533,0.6968323,-0.21075478535473305,0.45127953635352064,0.6683205,-0.1883827433150167,0.01939393518960078,0.5010346,,,0.4689748,-0.005733804707092761,1.0200190909834337,0.808208,-0.20117106494764175,0.9692497131034231,0.8051688,-0.5038655996795062,1.4100117944054293,0.71064276,-0.6540113346152899,1.3133035633759729,0.8629712,-0.4574590191273698,2.522781807942059,0.779014,-0.6156743418802908,2.3585244198192052,0.78894734,False,False,False,False,True,False,False,False,False,False,False,False
335,6.7,0.1350794793343638,-0.01510874668581989,0.78078306,-0.1350794793343629,0.01510874668581989,0.7673568,-0.18928381681591214,0.4487618229572742,0.57246345,-0.21730665217587086,0.4528788630424455,0.7195398,-0.19165188723621124,0.007779524599492615,0.60338974,,,0.47781876,0.0035109793651003553,1.019599842732953,0.80443937,-0.1898343069237829,0.9717021478268576,0.8000387,-0.5271791388233673,1.416270656522936,0.638519,-0.6699379150393324,1.3433720441114265,0.75046456,-0.46751162837624916,2.57861166139333,0.8542492,-0.6296121072467069,2.4049686247056825,0.8328508,False,False,True,False,False,False,False,False,False,False,False,False
336,6.72,0.13147439235682168,-0.013873416840198409,0.7272534,-0.13147439235682168,0.013873416840199274,0.7853017,-0.18777201110849429,0.4514728944504437,0.64353883,-0.21189133140483551,0.4569898415313657,0.66568214,-0.1895061460409779,0.020218944076604264,0.5031467,,,0.46853822,-0.00738979723660236,1.021807658546433,0.82724136,-0.20614470617137715,0.9667604232285676,0.76254576,-0.5040455228529829,1.3974288370512749,0.6669148,-0.6563514900738396,1.316616773723898,0.8230785,-0.4611321454051068,2.525768152017096,0.82108486,-0.6129220764242649,2.349340373075872,0.8825457,False,False,False,False,True,False,False,False,False,False,False,False
337,6.74,0.13825074703209536,-0.012943515192186332,0.75154585,-0.13825074703209628,0.012943515192186332,0.741884,-0.18964536358335748,0.4586625486735721,0.5672596,-0.21467923016512597,0.47441085703349956,0.65698487,-0.19085322465604113,0.008226569291399777,0.5845834,,,0.55035394,0.004504132924362989,1.0211118559334802,0.7663525,-0.188786221736876,0.9703800751932561,0.7986675,-0.531421037964123,1.4288003919132153,0.61371654,-0.6763492600076451,1.3683089698363338,0.7406496,-0.4678758048782419,2.5992168827149773,0.85971814,-0.6305140626939201,2.427851407897202,0.8208562,False,False,True,False,True,False,False,False,False,False,False,False
338,6.76,0.13037564940985508,-0.01079026835988938,0.78470886,-0.13037564940985508,0.010790268359890247,0.7832184,-0.18853546808982544,0.44739977734540953,0.62764305,-0.2177384037596661,0.4574664556058572,0.6894822,-0.1891314623100174,0.008995646183100307,0.60869414,,,0.4076899,-0.004706401540628642,1.0169300575856732,0.82037365,-0.19971250779719615,0.972595742575042,0.767351,-0.508634902767982,1.4118323909586883,0.67904884,-0.657576045528654,1.3228242863789794,0.80175126,-0.4579628961388089,2.524359569959319,0.7477779,-0.6140386286876687,2.3669462482850903,0.86750084,False,False,False,False,False,False,False,False,False,False,False,False
339,6.78,0.14225525453406285,-0.014814094143345115,0.7779201,-0.14225525453406285,0.014814094143344229,0.8125449,-0.1889249854424511,0.45577571770410563,0.5695698,-0.21521152169837543,0.467762223258862,0.78477216,-0.19105972675302973,0.000526645414537028,0.6407971,,,0.41351828,0.014996233171808595,1.018391912767082,0.82176054,-0.1843089194112126,0.9744285041993835,0.8488586,-0.523821181141778,1.4194744357023623,0.68934304,-0.6723798440576094,1.344660030905566,0.7678279,-0.4599238541918247,2.5847036777379873,0.81230944,-0.6245808112299768,2.413173129284883,0.8493667,False,False,True,False,False,False,False,False,False,False,False,False
340,6.8,0.1291358445448581,-0.012646147841867647,0.8521399,-0.1291358445448581,0.01264614784186677,0.8342708,-0.1939086794220296,0.45810617256197983,0.64100885,-0.21878799132048252,0.47674516522534455,0.66717297,-0.19023517680728402,0.009935300165242569,0.61873335,,,0.3867015,-0.0029194716079272145,1.0214826226719818,0.8803539,-0.19955052750823524,0.9682424587043126,0.8270181,-0.5144589550474812,1.42866805243744,0.67381436,-0.6646437066233967,1.3411257553289204,0.87326735,-0.4656804373199691,2.5785361999740215,0.85355467,-0.6223204492138663,2.3960750678438023,0.87356925,False,False,False,False,False,False,False,False,False,False,False,False
341,6.82,0.14118654531497707,-0.010146230474740378,0.80601007,-0.1411865453149762,0.010146230474741256,0.849079,-0.18775901681255083,0.460336240719305,0.5415386,-0.21657408195127026,0.47498059909159457,0.751084,-0.17876778429544743,-0.010215844405956685,0.60968924,,,0.32615265,0.011776620386518217,1.017135161110128,0.86850065,-0.19001565523168268,0.9749067175805447,0.84244597,-0.49288182150380366,1.421264915998734,0.78320885,-0.6554656324993572,1.3445266317766285,0.6621478,-0.44648049743825735,2.565168153347671,0.86492705,-0.6122735106628715,2.399825099260281,0.64807093,False,False,True,False,False,False,False,False,False,False,False,False
342,6.84,0.13104599687730067,-0.022871936305816427,0.84513825,-0.13104599687730067,0.0228719363058173,0.82015353,-0.18509830501389563,0.458834107722333,0.6068826,-0.2111259807729008,0.47656366224557856,0.71664155,-0.18425213962415712,0.011570309801391563,0.6711628,,,0.3351672,0.013562306112955705,1.019351556809249,0.8784888,-0.184600778346197,0.973321482356013,0.829617,-0.4871793491505434,1.4075040452099934,0.5322543,-0.6480647027922765,1.329950629126249,0.60408753,-0.44061663220530217,2.5518041611748696,0.8406951,-0.6066028349001858,2.3827720937640624,0.9159477,False,False,False,False,False,False,False,False,True,False,False,False
343,6.86,0.1286781585982404,-0.01593815134595205,0.8101921,-0.12867815859823953,0.01593815134595293,0.71453404,-0.18800983569676322,0.47841809620619535,0.61855596,-0.20972798249703753,0.4809722871270211,0.7326514,-0.1910682120254024,0.014614526050936378,0.52868533,,,0.45424503,0.025035031010016823,1.0185524938344857,0.8351603,-0.1668951907512707,0.9764100860346674,0.80693614,-0.48648617152726514,1.4073583261780898,0.7850601,-0.6458036124145461,1.3292313678896195,0.7537164,-0.43730282955528155,2.549271667911826,0.82998556,-0.6051567328986949,2.38519194795263,0.85405856,False,False,False,False,True,False,False,False,False,False,False,False
344,6.88,0.12592554567501324,-0.010780294826620084,0.63927543,-0.12592554567501324,0.010780294826619213,0.77858293,-0.20372767629840152,0.48553355389146247,0.5695425,-0.21667552812967406,0.49100646364247147,0.6304168,-0.21365189696811804,0.019739111859665905,0.5154194,,,0.33678657,0.006333849972337873,1.0182071069110121,0.8489893,-0.18673039553058057,0.9736405495001542,0.7523251,-0.49512782399912436,1.3954560506430023,0.69781053,-0.6496857244244635,1.314768304572467,0.8446944,-0.4562303101296124,2.5388972904135136,0.8848318,-0.6133947729042425,2.365228706803669,0.9082935,False,False,True,False,True,False,False,False,False,False,False,False
345,6.9,0.13211014591896542,-0.016826732346405363,0.70566344,-0.13211014591896542,0.01682673234640626,0.8564901,-0.2037127566463958,0.5172473865062596,0.63056,-0.2216247883764967,0.5207581753380202,0.8078404,-0.22097499437197707,0.032799653416230014,0.5602906,,,0.43309936,0.0262544651459299,1.021026571790393,0.8700283,-0.1680365201138255,0.9739415605087384,0.8645911,-0.522585106708526,1.4166070799182202,0.70645946,-0.6621619222665862,1.3434395983083451,0.67236674,-0.4525383441845795,2.585926133464913,0.8536539,-0.6213155295696127,2.425662409597816,0.89178157,False,False,False,False,True,False,False,False,False,False,False,False
