Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
0,"84,597","-0,764","-2,545","98,498","11,829","8,267","72,556","6,823","2,222","88,437","-6,507","8,308","96,995","4,665","2,492","75,775","20,857","-7,403","12,924","-3,705","0,420"
1,"84,627","-0,723","-2,745","98,575","11,815","8,277","72,586","7,063","2,111","88,493","-6,534","8,512","97,069","4,646","2,492","76,071","20,608","-7,330","12,958","-3,908","0,444"
2,"84,651","-0,723","-2,753","98,575","11,815","8,277","72,580","7,106","2,091","88,519","-6,534","8,520","97,069","4,646","2,492","76,071","20,608","-7,330","12,983","-3,916","0,446"
3,"84,656","-0,723","-2,747","98,523","11,760","8,301","72,616","7,135","2,022","88,448","-6,579","8,540","97,024","4,663","2,490","76,294","20,696","-7,419","12,958","-3,908","0,444"
4,"84,677","-0,721","-2,762","98,536","11,758","8,302","72,629","7,136","2,022","88,456","-6,581","8,556","97,100","4,659","2,493","76,365","20,537","-7,341","12,965","-3,924","0,446"
5,"84,694","-0,674","-2,785","98,518","11,731","8,295","72,610","7,143","2,000","88,380","-6,581","8,539","97,141","4,664","2,443","76,298","20,669","-7,376","12,905","-3,909","0,442"
6,"84,732","-0,727","-2,749","98,633","11,711","8,309","72,747","7,159","1,996","88,440","-6,579","8,540","97,151","4,694","2,501","76,324","20,643","-7,363","12,965","-3,910","0,444"
7,"84,713","-0,725","-2,751","98,518","11,731","8,295","72,610","7,143","2,000","88,386","-6,581","8,540","97,185","4,692","2,499","76,329","20,623","-7,354","12,911","-3,911","0,443"
8,"84,733","-0,744","-2,737","98,551","11,704","8,237","72,631","7,153","2,005","88,437","-6,521","8,496","97,255","4,663","2,515","76,474","20,644","-7,398","12,951","-3,910","0,444"
9,"84,727","-0,742","-2,739","98,549","11,691","8,234","72,633","7,160","1,993","88,396","-6,522","8,497","97,212","4,703","2,517","76,340","20,623","-7,352","12,911","-3,911","0,443"
