Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
95.0,375.43,-3.71,131.97,347.0,2.21,118.77,433.0
96.0,379.38,-3.71,131.7,351.0,2.28,119.27,436.0
97.0,383.33,-3.74,131.22,352.0,2.31,119.63,437.0
98.0,387.29,-3.76,130.95,354.0,2.36,120.02,440.0
99.0,391.24,-3.79,130.47,357.0,2.42,120.55,443.0
100.0,395.19,-3.81,130.13,360.0,2.43,120.92,446.0
101.0,399.14,-3.82,129.56,363.0,2.45,121.3,447.0
102.0,403.09,-3.86,129.08,367.0,2.46,121.63,449.0
103.0,407.05,-3.92,128.54,369.0,2.48,121.85,449.0
104.0,411.0,-3.98,127.81,373.0,2.48,122.24,450.0
105.0,414.95,-4.04,127.35,376.0,2.53,122.55,452.0
106.0,418.9,-4.1,126.81,377.0,2.53,122.88,453.0
107.0,422.85,-4.12,126.19,379.0,2.54,123.15,452.0
108.0,426.81,-4.16,125.74,383.0,2.53,123.42,451.0
109.0,430.76,-4.21,125.32,384.0,2.53,123.72,450.0
110.0,434.71,-4.25,124.99,384.0,2.57,124.05,448.0
111.0,438.66,-4.25,124.63,384.0,2.55,124.2,445.0
112.0,442.61,-4.3,124.31,384.0,2.56,124.47,443.0
113.0,446.57,-4.32,124.01,385.0,2.56,124.72,440.0
114.0,450.52,-4.35,123.68,385.0,2.54,124.84,439.0
115.0,454.47,-4.38,123.48,386.0,2.54,125.0,438.0
116.0,458.42,-4.4,123.25,387.0,2.54,125.04,437.0
117.0,462.37,-4.43,123.15,385.0,2.55,125.06,436.0
118.0,466.32,-4.44,123.08,385.0,2.53,125.09,434.0
119.0,470.28,-4.4,122.93,386.0,2.51,124.91,432.0
120.0,474.23,-4.43,122.83,386.0,2.54,124.78,429.0
121.0,478.18,-4.43,122.71,385.0,2.54,124.7,429.0
122.0,482.13,-4.43,122.66,385.0,2.53,124.54,428.0
123.0,486.08,-4.45,122.56,386.0,2.55,124.48,427.0
124.0,490.04,-4.43,122.56,387.0,2.56,124.32,427.0
125.0,493.99,-4.45,122.63,388.0,2.58,124.2,427.0
126.0,497.94,-4.44,122.62,388.0,2.61,124.09,427.0
127.0,501.89,-4.45,122.64,389.0,2.63,123.96,426.0
128.0,505.84,-4.45,122.68,391.0,2.64,123.82,426.0
129.0,509.8,-4.43,122.75,392.0,2.67,123.7,425.0
130.0,513.75,-4.46,122.83,393.0,2.68,123.56,426.0
131.0,517.7,-4.43,122.91,393.0,2.71,123.34,426.0
132.0,521.65,-4.42,123.01,394.0,2.72,123.21,427.0
133.0,525.6,-4.41,123.13,396.0,2.77,123.1,428.0
134.0,529.56,-4.43,123.19,397.0,2.81,123.04,429.0
135.0,533.51,-4.45,123.24,399.0,2.83,122.9,430.0
136.0,537.46,-4.45,123.32,399.0,2.86,122.86,432.0
137.0,541.41,-4.47,123.38,400.0,2.88,122.76,431.0
138.0,545.36,-4.44,123.39,401.0,2.9,122.75,431.0
139.0,549.31,-4.41,123.49,403.0,2.91,122.74,432.0
140.0,553.27,-4.44,123.55,404.0,2.91,122.79,433.0
141.0,557.22,-4.46,123.55,407.0,2.92,122.82,434.0
142.0,561.17,-4.52,123.61,409.0,2.95,122.91,436.0
143.0,565.12,-4.51,123.73,412.0,2.94,122.89,436.0
144.0,569.07,-4.49,123.65,414.0,2.92,122.91,438.0
145.0,573.03,-4.51,123.76,416.0,2.94,122.97,438.0
146.0,576.98,-4.52,123.7,417.0,2.89,122.81,440.0
147.0,580.93,-4.53,123.79,420.0,2.89,122.84,440.0
148.0,584.88,-4.54,123.77,421.0,2.87,122.74,442.0
149.0,588.83,-4.54,123.84,423.0,2.82,122.75,442.0
150.0,592.79,-4.58,123.89,425.0,2.79,122.69,444.0
151.0,596.74,-4.59,123.92,425.0,2.76,122.58,444.0
152.0,600.69,-4.61,124.05,428.0,2.73,122.5,445.0
153.0,604.64,-4.57,124.09,428.0,2.69,122.45,447.0
154.0,608.59,-4.61,124.21,429.0,2.64,122.31,448.0
155.0,612.55,-4.59,124.45,431.0,2.58,122.22,449.0
156.0,616.5,-4.61,124.66,432.0,2.54,122.08,449.0
157.0,620.45,-4.59,124.93,435.0,2.44,121.9,449.0
158.0,624.4,-4.59,125.28,435.0,2.39,121.65,449.0
159.0,628.35,-4.58,125.72,435.0,2.33,121.29,446.0
160.0,632.3,-4.6,126.05,437.0,2.27,121.01,445.0
161.0,636.26,-4.57,126.53,439.0,2.19,120.75,444.0
162.0,640.21,-4.57,126.94,439.0,2.16,120.41,445.0
163.0,644.16,-4.54,127.56,443.0,2.1,120.03,444.0
164.0,648.11,-4.5,127.96,443.0,2.05,119.58,443.0
165.0,652.06,-4.48,128.55,442.0,2.0,119.23,441.0
166.0,656.02,-4.46,129.01,442.0,1.92,118.71,439.0
167.0,659.97,-4.41,129.5,442.0,1.9,118.27,437.0
168.0,663.92,-4.38,130.08,443.0,1.86,117.87,437.0
169.0,667.87,-4.37,130.81,444.0,1.82,117.33,434.0
170.0,671.82,-4.35,131.42,444.0,1.8,116.92,432.0
171.0,675.78,-4.31,132.07,445.0,1.81,116.39,430.0
172.0,679.73,-4.3,132.82,445.0,1.77,115.95,429.0
173.0,683.68,-4.24,133.48,444.0,1.77,115.62,428.0
174.0,687.63,-4.19,134.32,445.0,1.75,115.16,424.0
175.0,691.58,-4.16,134.9,444.0,1.79,114.81,424.0
176.0,695.54,-4.12,135.63,444.0,1.86,114.49,422.0
177.0,699.49,-4.0,136.41,444.0,1.87,114.14,421.0
178.0,703.44,-3.97,137.06,443.0,1.93,113.89,420.0
179.0,707.39,-3.92,137.74,445.0,2.0,113.61,419.0
180.0,711.34,-3.89,138.34,445.0,2.09,113.47,419.0
181.0,715.29,-3.79,138.95,446.0,2.18,113.16,417.0
182.0,719.25,-3.76,139.65,445.0,2.24,113.04,415.0
183.0,723.2,-3.69,140.31,447.0,2.36,112.87,413.0
184.0,727.15,-3.62,140.75,446.0,2.47,112.84,411.0
185.0,731.1,-3.55,141.23,447.0,2.59,112.81,411.0
186.0,735.05,-3.49,141.64,447.0,2.68,112.69,409.0
187.0,739.01,-3.44,141.93,447.0,2.78,112.7,405.0
188.0,742.96,-3.4,142.27,449.0,2.88,112.64,404.0
189.0,746.91,-3.36,142.52,450.0,3.0,112.66,401.0
190.0,750.86,-3.33,142.72,451.0,3.09,112.65,399.0
191.0,754.81,-3.31,142.8,451.0,3.21,112.67,395.0
192.0,758.77,-3.31,142.87,452.0,3.3,112.75,392.0
193.0,762.72,-3.29,142.96,452.0,3.41,112.85,391.0
194.0,766.67,-3.26,142.87,453.0,3.48,112.9,386.0
195.0,770.62,-3.26,142.71,455.0,3.57,112.95,383.0
196.0,774.57,-3.27,142.58,455.0,3.67,113.01,379.0
197.0,778.53,-3.29,142.43,456.0,3.69,112.91,376.0
198.0,782.48,-3.27,142.16,455.0,3.72,112.74,371.0
199.0,786.43,-3.27,141.86,454.0,3.7,112.51,367.0
200.0,790.38,-3.23,141.42,453.0,3.7,112.16,362.0
201.0,794.33,-3.19,141.06,453.0,3.69,111.7,357.0
202.0,798.28,-3.18,140.54,454.0,3.67,111.26,352.0
203.0,802.24,-3.19,140.12,451.0,3.62,110.62,347.0
204.0,806.19,-3.12,139.68,451.0,3.59,109.91,341.0
205.0,810.14,-3.12,139.33,450.0,3.54,109.1,334.0
206.0,814.09,-3.11,138.94,450.0,3.46,108.08,325.0
207.0,818.04,-3.06,138.66,450.0,3.36,106.95,318.0
208.0,822.0,-3.0,138.65,452.0,3.24,105.51,309.0
