Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
95.0,375.43,-24.69,74.61,17.0,49.35,59.74,41.0
96.0,379.38,-24.66,74.7,16.0,49.25,59.78,40.0
97.0,383.33,-24.74,74.73,16.0,49.14,59.55,40.0
98.0,387.29,-24.73,74.71,16.0,49.02,59.68,40.0
99.0,391.24,-24.64,74.7,16.0,48.94,59.69,40.0
100.0,395.19,-24.65,74.69,17.0,48.86,59.6,40.0
101.0,399.14,-24.63,74.69,17.0,48.83,59.69,40.0
102.0,403.09,-24.71,74.68,17.0,48.68,59.62,41.0
103.0,407.05,-24.77,74.87,18.0,48.6,59.62,41.0
104.0,411.0,-24.8,74.81,18.0,48.53,59.6,41.0
105.0,414.95,-24.74,74.8,18.0,48.46,59.61,41.0
106.0,418.9,-24.77,74.88,18.0,48.34,59.6,42.0
107.0,422.85,-24.79,74.92,18.0,48.3,59.68,42.0
108.0,426.81,-24.77,74.91,18.0,48.27,59.68,42.0
109.0,430.76,-24.73,74.83,18.0,48.17,59.71,42.0
110.0,434.71,-24.78,74.87,18.0,48.07,59.63,43.0
111.0,438.66,-24.73,74.76,18.0,48.01,59.56,43.0
112.0,442.61,-24.78,74.81,18.0,48.08,59.71,43.0
113.0,446.57,-24.82,74.92,18.0,47.93,59.68,42.0
114.0,450.52,-24.86,74.94,18.0,47.88,59.65,42.0
115.0,454.47,-24.93,75.12,18.0,47.84,59.73,42.0
116.0,458.42,-24.93,75.02,18.0,47.67,59.56,42.0
117.0,462.37,-24.8,74.92,18.0,47.49,59.51,43.0
118.0,466.32,-24.88,74.97,19.0,47.41,59.52,43.0
119.0,470.28,-24.79,74.86,19.0,47.31,59.43,43.0
120.0,474.23,-24.82,74.9,19.0,47.25,59.43,43.0
121.0,478.18,-24.72,74.8,19.0,47.15,59.36,43.0
122.0,482.13,-24.67,74.78,19.0,47.01,59.45,43.0
123.0,486.08,-24.66,74.79,20.0,46.97,59.26,43.0
124.0,490.04,-24.77,74.92,20.0,46.99,59.45,43.0
125.0,493.99,-24.79,74.92,20.0,46.9,59.42,44.0
126.0,497.94,-24.83,74.95,20.0,46.85,59.33,43.0
127.0,501.89,-24.77,74.9,20.0,46.81,59.37,44.0
128.0,505.84,-24.76,74.87,20.0,46.75,59.46,44.0
129.0,509.8,-24.84,75.01,21.0,46.62,59.41,44.0
130.0,513.75,-24.77,74.91,21.0,46.51,59.28,44.0
131.0,517.7,-24.74,74.9,21.0,46.42,59.27,44.0
132.0,521.65,-24.74,74.9,21.0,46.43,59.38,44.0
133.0,525.6,-24.88,75.13,21.0,46.44,59.43,43.0
134.0,529.56,-24.84,75.14,21.0,46.39,59.44,43.0
135.0,533.51,-24.86,75.29,21.0,46.48,59.58,43.0
136.0,537.46,-24.91,75.32,21.0,46.45,59.62,43.0
137.0,541.41,-24.82,75.22,21.0,46.25,59.49,43.0
138.0,545.36,-24.84,75.26,22.0,46.26,59.5,43.0
139.0,549.31,-24.92,75.37,22.0,46.26,59.57,43.0
140.0,553.27,-24.97,75.45,22.0,46.22,59.58,43.0
141.0,557.22,-24.98,75.53,23.0,46.24,59.65,44.0
142.0,561.17,-24.93,75.44,23.0,46.04,59.5,44.0
143.0,565.12,-24.85,75.38,23.0,45.99,59.67,44.0
144.0,569.07,-24.78,75.31,23.0,45.86,59.59,44.0
145.0,573.03,-24.75,75.28,23.0,45.85,59.55,44.0
146.0,576.98,-24.82,75.36,23.0,45.95,59.74,45.0
147.0,580.93,-24.94,75.6,23.0,46.04,59.96,45.0
148.0,584.88,-24.84,75.48,23.0,45.96,59.96,45.0
149.0,588.83,-25.03,75.69,24.0,45.99,59.93,46.0
150.0,592.79,-24.93,75.64,24.0,45.93,59.91,47.0
151.0,596.74,-24.99,75.75,24.0,46.02,60.06,47.0
152.0,600.69,-25.04,75.78,24.0,46.05,60.16,47.0
153.0,604.64,-25.19,76.08,24.0,46.34,60.35,47.0
154.0,608.59,-25.34,76.36,24.0,46.46,60.56,47.0
155.0,612.55,-25.44,76.55,25.0,46.54,60.62,47.0
156.0,616.5,-25.52,76.64,25.0,46.71,60.89,48.0
157.0,620.45,-25.66,76.93,25.0,46.96,61.08,48.0
158.0,624.4,-25.8,77.12,25.0,47.14,61.33,47.0
159.0,628.35,-25.98,77.35,26.0,47.27,61.6,47.0
