Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
93.0,367.53,-5.91,116.31,354.0,-0.67,95.7,389.0
94.0,371.48,-5.84,117.1,350.0,-0.62,96.22,385.0
95.0,375.43,-5.84,117.93,347.0,-0.58,96.68,379.0
96.0,379.38,-5.8,118.8,343.0,-0.52,97.34,376.0
97.0,383.33,-5.78,119.57,340.0,-0.48,97.9,374.0
98.0,387.29,-5.73,120.33,338.0,-0.41,98.56,367.0
99.0,391.24,-5.69,121.29,333.0,-0.37,99.1,364.0
100.0,395.19,-5.66,122.13,330.0,-0.3,99.9,361.0
101.0,399.14,-5.66,123.08,327.0,-0.28,100.61,360.0
102.0,403.09,-5.65,123.94,325.0,-0.23,101.23,356.0
103.0,407.05,-5.59,124.87,319.0,-0.22,102.09,353.0
104.0,411.0,-5.54,125.83,316.0,-0.18,103.03,350.0
105.0,414.95,-5.51,126.78,312.0,-0.14,103.93,348.0
106.0,418.9,-5.48,127.8,309.0,-0.09,104.97,342.0
107.0,422.85,-5.45,128.73,305.0,-0.05,106.08,339.0
108.0,426.81,-5.45,129.82,302.0,-0.04,107.19,335.0
109.0,430.76,-5.41,130.64,301.0,-0.02,108.44,334.0
110.0,434.71,-5.32,131.67,298.0,0.0,109.71,329.0
111.0,438.66,-5.26,132.69,295.0,0.04,111.0,327.0
112.0,442.61,-5.25,133.8,292.0,0.09,112.29,326.0
113.0,446.57,-5.22,134.79,289.0,0.12,113.69,325.0
114.0,450.52,-5.15,136.04,285.0,0.11,115.08,325.0
115.0,454.47,-5.12,137.1,283.0,0.16,116.23,322.0
116.0,458.42,-5.07,138.14,280.0,0.21,117.48,322.0
117.0,462.37,-5.02,139.38,279.0,0.2,118.88,319.0
118.0,466.32,-4.92,140.43,276.0,0.23,120.12,318.0
119.0,470.28,-4.89,141.46,273.0,0.25,121.59,320.0
120.0,474.23,-4.82,142.44,272.0,0.26,122.94,320.0
121.0,478.18,-4.77,143.4,269.0,0.32,124.18,321.0
122.0,482.13,-4.7,144.34,268.0,0.33,125.63,322.0
123.0,486.08,-4.62,145.28,267.0,0.36,126.97,325.0
124.0,490.04,-4.53,146.25,267.0,0.37,128.28,325.0
125.0,493.99,-4.5,147.07,264.0,0.36,129.72,326.0
126.0,497.94,-4.38,147.99,263.0,0.32,130.81,327.0
127.0,501.89,-4.31,148.8,263.0,0.31,132.08,330.0
128.0,505.84,-4.19,149.33,263.0,0.24,133.3,332.0
129.0,509.8,-4.12,150.05,262.0,0.11,134.33,336.0
130.0,513.75,-4.02,150.88,263.0,0.05,135.33,340.0
131.0,517.7,-3.98,151.36,263.0,-0.06,136.2,346.0
132.0,521.65,-3.86,152.04,264.0,-0.2,137.12,353.0
133.0,525.6,-3.75,152.69,265.0,-0.3,137.91,357.0
134.0,529.56,-3.61,153.26,266.0,-0.4,138.66,363.0
135.0,533.51,-3.53,153.77,266.0,-0.47,139.54,369.0
136.0,537.46,-3.37,154.35,268.0,-0.52,140.31,369.0
137.0,541.41,-3.25,154.75,269.0,-0.52,141.13,375.0
138.0,545.36,-3.13,155.19,272.0,-0.46,141.95,381.0
139.0,549.31,-3.05,155.72,273.0,-0.41,142.66,384.0
140.0,553.27,-2.93,156.15,274.0,-0.28,143.45,391.0
141.0,557.22,-2.81,156.69,276.0,-0.19,144.14,395.0
142.0,561.17,-2.7,157.14,279.0,0.0,144.87,401.0
143.0,565.12,-2.64,157.6,281.0,0.21,145.46,405.0
