Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
95.0,375.43,-22.57,66.27,13.0,29.82,72.55,11.0
96.0,379.38,-22.57,66.3,13.0,29.82,72.73,10.0
97.0,383.33,-22.59,66.53,13.0,29.8,72.77,10.0
98.0,387.29,-22.61,66.55,12.0,29.7,72.91,10.0
99.0,391.24,-22.7,66.7,12.0,29.84,73.2,10.0
100.0,395.19,-22.62,66.58,12.0,30.08,73.84,10.0
101.0,399.14,-22.74,66.93,12.0,30.09,74.02,10.0
102.0,403.09,-22.69,66.88,12.0,30.05,74.15,10.0
103.0,407.05,-22.77,67.04,12.0,30.24,74.47,9.0
104.0,411.0,-22.61,66.76,12.0,30.2,74.72,9.0
105.0,414.95,-22.75,66.84,12.0,30.2,74.91,9.0
106.0,418.9,-22.67,66.89,12.0,30.13,75.01,9.0
107.0,422.85,-22.7,67.08,12.0,30.16,75.22,9.0
108.0,426.81,-22.73,66.88,12.0,29.99,75.29,9.0
109.0,430.76,-22.96,66.93,12.0,30.41,76.05,9.0
110.0,434.71,-23.11,67.24,12.0,30.37,76.1,8.0
111.0,438.66,-23.16,67.47,12.0,30.5,76.39,8.0
112.0,442.61,-23.19,67.55,11.0,30.46,76.41,8.0
113.0,446.57,-23.39,68.19,11.0,30.59,76.59,8.0
114.0,450.52,-23.57,68.67,11.0,30.49,76.7,8.0
115.0,454.47,-23.67,69.13,11.0,30.37,76.7,8.0
116.0,458.42,-23.73,69.74,11.0,30.35,76.67,8.0
117.0,462.37,-23.85,69.95,10.0,30.3,76.69,8.0
118.0,466.32,-24.03,70.67,10.0,30.34,76.76,8.0
119.0,470.28,-24.05,71.35,10.0,30.33,76.78,8.0
120.0,474.23,-24.02,71.79,10.0,30.33,76.8,8.0
121.0,478.18,-24.08,71.95,10.0,30.31,76.81,8.0
122.0,482.13,-24.05,72.21,10.0,30.25,76.89,8.0
123.0,486.08,-23.96,72.23,10.0,30.19,76.93,8.0
124.0,490.04,-24.04,72.69,10.0,30.2,76.97,8.0
125.0,493.99,-23.96,72.78,10.0,30.21,76.96,9.0
126.0,497.94,-24.01,73.1,10.0,30.02,77.06,9.0
127.0,501.89,-23.98,73.26,10.0,30.03,77.09,8.0
128.0,505.84,-23.97,73.69,10.0,30.06,77.27,8.0
129.0,509.8,-23.94,73.89,10.0,30.03,77.33,8.0
130.0,513.75,-24.14,74.19,10.0,30.04,77.58,8.0
131.0,517.7,-24.13,74.24,10.0,29.94,77.7,8.0
132.0,521.65,-24.09,74.39,10.0,29.91,77.76,8.0
