Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
96.0,379.38,8.52,125.03,578.0,-8.67,141.42,396.0
97.0,383.33,8.39,125.0,571.0,-8.71,141.97,387.0
98.0,387.29,8.29,125.05,563.0,-8.69,142.8,376.0
99.0,391.24,8.2,125.2,556.0,-8.73,143.77,366.0
100.0,395.19,8.06,125.45,546.0,-8.76,144.89,356.0
101.0,399.14,7.94,125.85,534.0,-8.78,146.08,344.0
102.0,403.09,7.8,126.31,523.0,-8.84,147.33,331.0
103.0,407.05,7.73,126.74,513.0,-8.88,148.72,317.0
104.0,411.0,7.63,127.3,501.0,-8.91,149.82,303.0
105.0,414.95,7.53,127.87,489.0,-8.93,150.79,290.0
106.0,418.9,7.43,128.47,475.0,-8.97,151.4,278.0
107.0,422.85,7.34,128.98,462.0,-9.03,151.5,264.0
108.0,426.81,7.24,129.44,448.0,-9.15,151.36,253.0
109.0,430.76,7.08,129.8,432.0,-9.26,151.16,241.0
110.0,434.71,7.02,130.12,418.0,-9.38,150.81,226.0
111.0,438.66,7.0,130.33,402.0,-9.48,150.4,213.0
112.0,442.61,6.95,130.49,385.0,-9.59,149.95,202.0
113.0,446.57,6.89,130.32,370.0,-9.71,149.68,189.0
114.0,450.52,6.89,130.6,356.0,-9.84,149.22,178.0
115.0,454.47,6.85,130.46,338.0,-9.94,148.71,168.0
116.0,458.42,6.86,130.47,324.0,-10.0,148.36,158.0
117.0,462.37,6.78,130.17,309.0,-10.07,147.89,148.0
118.0,466.32,6.71,130.06,295.0,-10.05,147.22,139.0
119.0,470.28,6.72,129.88,281.0,-10.06,146.26,132.0
120.0,474.23,6.65,129.66,266.0,-10.04,145.36,122.0
121.0,478.18,6.54,129.21,254.0,-10.06,144.15,116.0
122.0,482.13,6.38,128.36,243.0,-10.07,142.86,110.0
123.0,486.08,6.24,127.55,232.0,-9.91,141.14,104.0
124.0,490.04,6.04,126.47,222.0,-9.75,139.22,99.0
125.0,493.99,5.83,125.25,212.0,-9.56,137.14,94.0
126.0,497.94,5.59,123.92,204.0,-9.42,134.98,88.0
127.0,501.89,5.4,122.41,198.0,-9.25,132.24,85.0
128.0,505.84,5.13,120.86,190.0,-9.0,129.43,81.0
129.0,509.8,4.88,119.25,184.0,-8.81,126.48,78.0
130.0,513.75,4.55,117.29,176.0,-8.47,123.79,76.0
131.0,517.7,4.22,115.38,171.0,-8.16,120.81,76.0
132.0,521.65,3.88,113.47,167.0,-7.8,118.44,75.0
133.0,525.6,3.49,111.57,164.0,-7.42,115.9,75.0
134.0,529.56,3.19,110.01,161.0,-6.95,113.29,74.0
135.0,533.51,2.92,108.44,159.0,-6.5,110.84,76.0
136.0,537.46,2.59,106.84,158.0,-5.92,108.34,76.0
137.0,541.41,2.37,105.32,157.0,-5.34,105.77,77.0
138.0,545.36,2.0,103.96,158.0,-4.73,103.02,79.0
139.0,549.31,1.81,102.84,160.0,-4.28,100.66,81.0
140.0,553.27,1.42,101.49,161.0,-3.85,98.7,84.0
141.0,557.22,1.24,100.47,171.0,-3.36,97.0,86.0
142.0,561.17,1.01,99.61,176.0,-2.79,95.57,91.0
143.0,565.12,0.93,98.83,182.0,-2.35,94.51,94.0
144.0,569.07,0.79,98.29,187.0,-1.99,93.42,101.0
145.0,573.03,0.68,97.65,194.0,-1.76,92.93,109.0
146.0,576.98,0.65,97.21,202.0,-1.62,92.49,113.0
147.0,580.93,0.6,96.85,210.0,-1.49,92.34,122.0
148.0,584.88,0.71,96.62,218.0,-1.41,92.52,128.0
149.0,588.83,0.74,96.42,226.0,-1.39,93.08,136.0
150.0,592.79,0.89,96.77,235.0,-1.36,94.08,145.0
151.0,596.74,1.02,97.05,245.0,-1.4,95.31,157.0
152.0,600.69,1.21,97.58,258.0,-1.43,96.86,171.0
153.0,604.64,1.41,98.1,271.0,-1.57,98.85,184.0
154.0,608.59,1.74,99.09,284.0,-1.83,101.18,203.0
155.0,612.55,1.95,100.11,300.0,-1.99,103.35,220.0
156.0,616.5,2.28,101.22,313.0,-2.23,105.76,236.0
157.0,620.45,2.56,102.4,328.0,-2.55,108.18,256.0
158.0,624.4,2.91,103.63,348.0,-2.8,110.23,278.0
159.0,628.35,3.23,104.75,362.0,-3.04,112.25,298.0
160.0,632.3,3.58,105.89,380.0,-3.36,114.24,318.0
161.0,636.26,3.87,106.83,391.0,-3.71,115.84,336.0
162.0,640.21,4.12,107.75,406.0,-4.0,117.14,354.0
163.0,644.16,4.36,108.42,419.0,-4.28,118.18,370.0
164.0,648.11,4.57,108.93,429.0,-4.53,119.05,380.0
165.0,652.06,4.79,109.36,436.0,-4.77,119.66,388.0
166.0,656.02,4.96,109.67,441.0,-4.99,120.03,397.0
167.0,659.97,5.12,109.9,447.0,-5.1,120.17,399.0
168.0,663.92,5.27,110.08,450.0,-5.23,120.12,403.0
169.0,667.87,5.38,110.19,451.0,-5.37,119.97,401.0
170.0,671.82,5.47,110.25,450.0,-5.45,119.89,397.0
171.0,675.78,5.57,110.2,449.0,-5.51,119.69,393.0
172.0,679.73,5.65,110.24,445.0,-5.57,119.15,384.0
173.0,683.68,5.73,110.11,442.0,-5.59,118.66,375.0
174.0,687.63,5.8,109.92,435.0,-5.6,117.99,363.0
175.0,691.58,5.89,109.65,428.0,-5.56,117.11,353.0
176.0,695.54,5.97,109.11,420.0,-5.56,116.09,339.0
177.0,699.49,6.0,108.54,411.0,-5.51,114.97,324.0
178.0,703.44,6.04,107.74,406.0,-5.51,113.72,311.0
179.0,707.39,6.07,106.83,391.0,-5.47,112.24,296.0
180.0,711.34,6.08,106.02,380.0,-5.35,110.21,287.0
181.0,715.29,6.1,105.05,375.0,-5.17,107.83,280.0
182.0,719.25,6.06,103.8,364.0,-4.98,105.34,272.0
183.0,723.2,5.99,102.5,353.0,-4.83,102.59,266.0
184.0,727.15,5.92,101.17,345.0,-4.67,99.81,261.0
185.0,731.1,5.82,99.55,333.0,-4.53,96.93,256.0
