Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
93.0,367.53,-2.56,102.29,447.0,-3.59,98.08,372.0
94.0,371.48,-2.54,102.5,444.0,-3.6,98.29,372.0
95.0,375.43,-2.54,102.87,444.0,-3.56,98.41,371.0
96.0,379.38,-2.49,103.14,445.0,-3.58,98.61,371.0
97.0,383.33,-2.47,103.4,445.0,-3.55,98.9,371.0
98.0,387.29,-2.48,103.76,444.0,-3.5,99.01,371.0
99.0,391.24,-2.5,104.06,444.0,-3.5,99.2,371.0
100.0,395.19,-2.5,104.33,445.0,-3.46,99.44,371.0
101.0,399.14,-2.51,104.64,446.0,-3.46,99.54,371.0
102.0,403.09,-2.52,104.92,447.0,-3.45,99.7,373.0
103.0,407.05,-2.54,105.21,447.0,-3.46,99.82,373.0
104.0,411.0,-2.56,105.54,448.0,-3.43,99.99,376.0
105.0,414.95,-2.57,105.83,450.0,-3.46,100.14,377.0
106.0,418.9,-2.6,106.16,451.0,-3.44,100.23,378.0
107.0,422.85,-2.6,106.42,451.0,-3.43,100.41,379.0
108.0,426.81,-2.64,106.8,453.0,-3.42,100.53,381.0
109.0,430.76,-2.63,107.09,455.0,-3.42,100.65,381.0
110.0,434.71,-2.65,107.42,456.0,-3.42,100.78,383.0
111.0,438.66,-2.67,107.74,458.0,-3.42,100.97,383.0
112.0,442.61,-2.67,108.14,461.0,-3.39,101.04,384.0
113.0,446.57,-2.64,108.43,462.0,-3.38,101.18,384.0
114.0,450.52,-2.67,108.83,465.0,-3.35,101.23,387.0
115.0,454.47,-2.64,109.32,467.0,-3.34,101.44,388.0
116.0,458.42,-2.62,109.82,468.0,-3.35,101.55,389.0
117.0,462.37,-2.61,110.23,469.0,-3.34,101.79,392.0
118.0,466.32,-2.61,110.59,472.0,-3.3,101.93,392.0
119.0,470.28,-2.57,110.91,475.0,-3.3,102.08,394.0
120.0,474.23,-2.57,111.31,476.0,-3.26,102.37,395.0
121.0,478.18,-2.55,111.75,477.0,-3.27,102.59,396.0
122.0,482.13,-2.52,112.11,478.0,-3.24,102.8,398.0
123.0,486.08,-2.5,112.48,481.0,-3.25,102.95,400.0
124.0,490.04,-2.47,112.86,483.0,-3.25,103.22,400.0
125.0,493.99,-2.45,113.2,484.0,-3.25,103.36,401.0
126.0,497.94,-2.43,113.67,484.0,-3.23,103.64,403.0
127.0,501.89,-2.39,114.09,488.0,-3.24,103.85,404.0
128.0,505.84,-2.33,114.65,489.0,-3.24,104.11,405.0
129.0,509.8,-2.28,115.18,488.0,-3.26,104.48,405.0
130.0,513.75,-2.25,115.63,489.0,-3.27,104.74,405.0
131.0,517.7,-2.23,116.12,492.0,-3.26,105.04,405.0
132.0,521.65,-2.2,116.71,493.0,-3.27,105.38,405.0
133.0,525.6,-2.18,117.2,493.0,-3.27,105.66,406.0
134.0,529.56,-2.14,117.59,494.0,-3.29,105.94,405.0
135.0,533.51,-2.12,118.09,498.0,-3.29,106.18,406.0
136.0,537.46,-2.12,118.62,499.0,-3.3,106.47,407.0
137.0,541.41,-2.11,119.03,500.0,-3.34,106.69,405.0
138.0,545.36,-2.11,119.45,499.0,-3.33,106.82,406.0
139.0,549.31,-2.09,119.76,499.0,-3.36,107.02,408.0
140.0,553.27,-2.09,120.3,501.0,-3.37,107.23,408.0
141.0,557.22,-2.07,120.77,501.0,-3.41,107.38,409.0
142.0,561.17,-2.08,121.09,503.0,-3.43,107.52,410.0
143.0,565.12,-2.05,121.51,504.0,-3.46,107.62,410.0
144.0,569.07,-2.06,121.86,503.0,-3.45,107.69,409.0
145.0,573.03,-2.06,122.25,505.0,-3.48,107.78,409.0
