Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
95.0,375.43,-19.02,66.57,12.0,27.2,66.98,2.0
96.0,379.38,-19.04,66.56,12.0,27.2,66.98,2.0
97.0,383.33,-19.02,66.6,12.0,27.18,67.09,2.0
98.0,387.29,-18.99,66.67,12.0,27.29,67.16,2.0
99.0,391.24,-19.12,66.55,12.0,27.24,67.41,2.0
100.0,395.19,-19.0,66.66,12.0,27.27,67.41,3.0
101.0,399.14,-18.97,66.69,12.0,27.02,67.37,3.0
102.0,403.09,-19.06,66.59,12.0,27.07,67.46,3.0
103.0,407.05,-19.11,66.68,12.0,27.13,67.52,3.0
104.0,411.0,-19.1,66.73,12.0,27.18,67.66,3.0
105.0,414.95,-19.01,66.71,12.0,27.26,67.86,3.0
106.0,418.9,-19.13,66.7,12.0,27.14,67.87,3.0
107.0,422.85,-19.05,66.69,12.0,27.12,67.94,3.0
108.0,426.81,-19.1,66.7,12.0,27.32,68.27,3.0
109.0,430.76,-19.2,66.8,12.0,27.32,68.49,3.0
110.0,434.71,-19.17,66.77,12.0,27.28,68.64,3.0
111.0,438.66,-19.22,66.88,12.0,27.38,68.77,3.0
112.0,442.61,-19.16,66.86,12.0,27.27,68.84,3.0
113.0,446.57,-19.23,66.94,12.0,27.16,68.91,3.0
114.0,450.52,-19.18,66.99,12.0,27.18,69.05,3.0
115.0,454.47,-19.22,67.05,13.0,27.25,69.24,3.0
116.0,458.42,-19.26,67.16,13.0,27.26,69.61,3.0
117.0,462.37,-19.26,67.19,13.0,27.29,69.94,3.0
118.0,466.32,-19.28,67.27,13.0,27.17,70.24,3.0
119.0,470.28,-19.24,67.33,13.0,27.17,70.37,3.0
120.0,474.23,-19.26,67.5,13.0,27.22,70.73,3.0
121.0,478.18,-19.38,67.61,13.0,27.18,70.67,3.0
122.0,482.13,-19.3,67.7,13.0,27.29,70.8,3.0
123.0,486.08,-19.59,67.84,13.0,27.31,70.99,3.0
124.0,490.04,-19.34,68.0,14.0,27.33,71.62,3.0
125.0,493.99,-19.36,68.11,14.0,27.34,72.15,3.0
126.0,497.94,-19.22,68.24,14.0,27.27,72.31,3.0
127.0,501.89,-19.35,68.4,14.0,27.42,72.78,3.0
128.0,505.84,-19.24,68.68,14.0,27.4,72.9,3.0
129.0,509.8,-19.28,68.85,14.0,27.32,73.05,3.0
130.0,513.75,-19.49,69.18,15.0,27.23,73.11,3.0
131.0,517.7,-19.45,69.3,14.0,27.26,73.48,3.0
132.0,521.65,-19.53,69.43,14.0,27.29,73.7,3.0
