Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
95.0,375.43,-15.19,79.14,64.0,23.5,72.9,73.0
96.0,379.38,-15.28,79.2,63.0,23.65,73.03,72.0
97.0,383.33,-15.3,79.25,62.0,23.83,73.18,72.0
98.0,387.29,-15.41,79.39,62.0,23.91,73.16,71.0
99.0,391.24,-15.43,79.46,61.0,24.02,73.18,71.0
100.0,395.19,-15.55,79.54,60.0,24.14,73.22,70.0
101.0,399.14,-15.61,79.64,58.0,24.29,73.33,69.0
102.0,403.09,-15.66,79.71,57.0,24.52,73.51,68.0
103.0,407.05,-15.65,80.1,56.0,24.77,73.61,68.0
104.0,411.0,-15.75,80.23,56.0,25.04,73.82,66.0
105.0,414.95,-15.74,80.27,56.0,25.15,74.0,65.0
106.0,418.9,-15.79,80.43,56.0,25.3,74.11,65.0
107.0,422.85,-15.9,80.54,55.0,25.54,74.21,64.0
108.0,426.81,-15.93,80.75,54.0,25.72,74.44,64.0
109.0,430.76,-15.93,80.82,54.0,25.92,74.6,63.0
110.0,434.71,-15.95,80.91,54.0,26.1,74.83,62.0
111.0,438.66,-15.98,81.01,54.0,26.26,74.97,61.0
112.0,442.61,-15.99,81.07,53.0,26.49,75.17,61.0
113.0,446.57,-16.09,81.34,54.0,26.56,75.32,60.0
114.0,450.52,-16.09,81.4,54.0,26.72,75.4,59.0
115.0,454.47,-16.05,81.44,53.0,26.85,75.63,59.0
116.0,458.42,-16.07,81.55,53.0,27.05,75.82,59.0
117.0,462.37,-16.02,81.66,53.0,27.19,75.93,58.0
118.0,466.32,-15.97,81.88,52.0,27.38,76.06,58.0
119.0,470.28,-15.97,81.87,52.0,27.55,76.21,58.0
120.0,474.23,-15.93,82.17,52.0,27.65,76.37,57.0
121.0,478.18,-16.02,82.24,52.0,27.8,76.51,56.0
122.0,482.13,-15.95,82.4,52.0,27.91,76.6,56.0
123.0,486.08,-15.91,82.45,52.0,28.11,76.81,56.0
124.0,490.04,-16.04,82.55,51.0,28.23,76.93,55.0
125.0,493.99,-16.12,82.51,51.0,28.31,77.03,55.0
126.0,497.94,-16.03,82.48,51.0,28.42,77.26,54.0
127.0,501.89,-16.12,82.56,51.0,28.47,77.23,54.0
128.0,505.84,-16.12,82.72,51.0,28.68,77.48,53.0
129.0,509.8,-16.09,82.82,50.0,28.67,77.47,53.0
130.0,513.75,-16.15,82.79,50.0,28.74,77.53,52.0
131.0,517.7,-16.15,82.97,50.0,28.83,77.63,52.0
132.0,521.65,-16.08,82.91,50.0,28.9,77.77,52.0
133.0,525.6,-15.96,82.95,50.0,28.93,77.78,52.0
134.0,529.56,-15.97,83.01,50.0,28.98,77.86,52.0
135.0,533.51,-15.93,83.03,50.0,29.07,77.91,52.0
136.0,537.46,-15.8,83.06,50.0,29.12,77.96,52.0
137.0,541.41,-15.82,83.07,50.0,29.13,77.99,52.0
138.0,545.36,-15.72,83.19,50.0,29.15,78.06,52.0
139.0,549.31,-15.65,83.21,50.0,29.17,78.07,51.0
140.0,553.27,-15.55,83.64,50.0,29.2,78.11,52.0
141.0,557.22,-15.46,83.76,50.0,29.2,78.11,52.0
142.0,561.17,-15.23,83.82,50.0,29.25,78.21,52.0
143.0,565.12,-14.97,83.73,50.0,29.28,78.26,52.0
144.0,569.07,-14.94,84.1,50.0,29.26,78.27,52.0
145.0,573.03,-14.82,84.18,50.0,29.28,78.29,52.0
146.0,576.98,-14.7,84.33,50.0,29.27,78.31,52.0
147.0,580.93,-14.51,84.75,51.0,29.3,78.36,52.0
148.0,584.88,-14.34,84.88,51.0,29.26,78.35,52.0
149.0,588.83,-14.24,84.99,51.0,29.26,78.33,52.0
150.0,592.79,-14.1,85.22,51.0,29.18,78.34,52.0
151.0,596.74,-13.96,85.28,51.0,29.13,78.38,52.0
152.0,600.69,-13.85,85.42,50.0,29.17,78.36,52.0
153.0,604.64,-13.61,85.54,51.0,29.08,78.39,52.0
154.0,608.59,-13.45,85.64,51.0,28.99,78.36,52.0
155.0,612.55,-13.37,85.61,51.0,28.94,78.38,52.0
156.0,616.5,-13.19,85.87,51.0,28.91,78.46,52.0
157.0,620.45,-13.11,85.85,51.0,28.81,78.45,52.0
158.0,624.4,-12.85,85.9,51.0,28.65,78.51,52.0
159.0,628.35,-12.76,85.9,51.0,28.53,78.46,53.0
160.0,632.3,-12.62,86.46,51.0,28.46,78.47,53.0
