frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence,ang_left_elbow,ang_right_elbow,ang_left_shoulder,ang_right_shoulder,ang_left_hip,ang_right_hip,ang_left_knee,ang_right_knee,ang_left_hip_shoulder_y,ang_right_hip_shoulder_y,ang_left_shoulder_elbow_y,ang_right_shoulder_elbow_y,ang_left_elbow_wrist_y,ang_right_elbow_wrist_y,ang_left_hip_knee_y,ang_right_hip_knee_y,ang_left_knee_ankle_y,ang_right_knee_ankle_y,ang_hips_x,ang_shoulders_x
0.0,0.0,0.4896394,0.53368884,0.46113878,0.46287975,0.52240765,0.30764434,0.48175848,0.6417568,0.35998037,0.4495915,0.6174319,0.27812895,0.46479017,0.68411165,0.27509302,0.43764114,0.6673689,0.2513844,0.4984675,0.65777314,0.41069305,0.4771457,0.64656633,0.43113932,0.4616837,0.7258226,0.34898606,0.43263194,0.7161445,0.2256578,0.45889127,0.8795617,0.31630462,0.4375262,0.85464567,0.24933305,2.8333463973354305,3.045641019177443,0.14382303630226764,0.25333888775794366,2.5750111669924824,2.4580460910133652,2.664198913177578,2.537122736328712,3.070566344390684,3.027193387330197,0.07279672710315867,0.1389396214983485,0.3810429833575212,0.23489125591069887,0.49555517739820215,0.5691472963168321,0.018161436985984013,0.03532262094424869,2.6576727675678558,2.742626884761958
1.0,0.0,0.4918527,0.5463282,0.7367325,0.45350188,0.5493366,0.69134015,0.49550965,0.6417255,0.88367057,0.45253602,0.6290652,0.83008957,0.45638868,0.69347537,0.6082931,0.44630116,0.6879024,0.55550575,0.49831727,0.6957557,0.8746178,0.4676494,0.6913254,0.69736326,0.43476683,0.7466729,0.6991189,0.40919307,0.7284925,0.88131565,0.45456275,0.87427163,0.90768397,0.4293172,0.8578951,0.88925695,2.455971210319138,3.048132410553853,0.004920157369090398,0.11142425773600269,2.2030388872210014,2.0378206506723644,2.092359229191918,1.9828513359727744,3.0983573625952694,3.0422821512077998,0.03831513362542172,0.012113755354014776,0.6473063096452326,0.10557399838994984,0.895318475374269,1.0044615005354356,0.15391494902360608,0.15427981708158278,2.9981245298449584,3.063308748357141
2.0,0.0,0.48960456,0.54670906,0.8311648,0.45380446,0.54868364,0.8570283,0.49566612,0.6425212,0.83310276,0.45285803,0.62871134,0.8017333,0.45482793,0.6952101,0.7322563,0.4441718,0.6863198,0.71087736,0.49246228,0.69431853,0.8357618,0.46407992,0.68935853,0.67155385,0.43427497,0.7431298,0.53126436,0.41201356,0.7298979,0.8301452,0.45417705,0.8715482,0.8786635,0.43006006,0.8554653,0.86491555,2.4190508406681914,3.00376523797283,0.04382326224826591,0.08474025976855686,2.249432457747814,2.1594430721746902,2.1150348232071794,2.0896154154284483,3.122235067342276,3.068678122673262,0.06318084849578237,0.011825728852029491,0.6593609644258194,0.14965314446898625,0.8728026095944633,0.9092350504985697,0.1537552207881503,0.14274218766277522,2.968583326104584,3.08649277056222
3.0,0.0,0.49042127,0.5452467,0.87504494,0.45383084,0.5474268,0.8675281,0.49519962,0.6438372,0.8994648,0.45244348,0.62752384,0.6567014,0.45410767,0.6959107,0.78539306,0.4433668,0.6841837,0.72923017,0.49265662,0.6933396,0.8790788,0.4646822,0.68547916,0.6778343,0.43673217,0.74529237,0.5741732,0.4105652,0.72922134,0.86098295,0.4548015,0.8731289,0.8384773,0.4305025,0.85335726,0.88615906,2.4250958509098375,3.0000655978230815,0.03333564569205196,0.09576119260848329,2.3043013460197574,2.1721292525332165,2.178977485288386,2.0913225439763314,3.126499558250937,3.063150718737343,0.048428741030905054,0.01731925775603618,0.6680680616490506,0.15884631352274403,0.8221982122311792,0.8910214662041266,0.1404169560702277,0.15924864340933487,2.8676692171687055,3.0820818536771646
4.0,0.0,0.49010888,0.5457695,0.9030437,0.4527506,0.54815286,0.85403615,0.4953366,0.6443703,0.9001621,0.45262864,0.6259008,0.87725955,0.4553631,0.6946661,0.7949569,0.44578746,0.68676734,0.43668848,0.49417585,0.69444823,0.86339223,0.4648901,0.6894849,0.7511524,0.43648782,0.7438517,0.5923686,0.41090354,0.7283412,0.8613873,0.45514074,0.87496537,0.88862157,0.42956457,0.8543874,0.9068034,2.4170805675124996,3.0312346547973346,0.025622185508191675,0.08725183068528862,2.251641355951617,2.1089651150928863,2.1376716585623576,2.047666827664968,3.1142453922106466,3.055909480543083,0.05296944688733015,0.001568657638586032,0.6715426391899648,0.1119266564310387,0.8626040362590335,0.9469443654501967,0.14131695876840178,0.14698146047462848,2.973708561612634,3.0778816271304925
5.0,0.0,0.49031562,0.5465229,0.88669556,0.45337024,0.5480803,0.85083705,0.49523243,0.6439304,0.8757111,0.45299053,0.6263437,0.8556513,0.4542987,0.6934938,0.6160685,0.44437873,0.68533945,0.70510614,0.49324962,0.6928312,0.87861454,0.4647979,0.68596905,0.6445486,0.43627846,0.7454213,0.6524811,0.41033715,0.7291125,0.837412,0.4550495,0.87473154,0.8988368,0.43035486,0.85513586,0.8896797,2.4008316071435267,3.001494832807991,0.030383047279077008,0.08753863253388017,2.2961776164460432,2.1580720467864,2.1720725813303554,2.083233777077923,3.121541796615805,3.0589056761171562,0.050433904253060664,0.004851655061235898,0.6903271421932029,0.14494947584304793,0.825364180169766,0.9008336293307557,0.14415589208967222,0.15752524718111524,2.9049267853353222,3.0994634753814405
6.0,0.0,0.48965055,0.547132,0.8600972,0.4538203,0.54840213,0.83215815,0.49504504,0.6439809,0.88691086,0.4528276,0.62627894,0.85355455,0.4554376,0.6919638,0.6386953,0.44485468,0.68411404,0.6827168,0.49427852,0.693795,0.8456206,0.46508586,0.6875779,0.7458943,0.43691254,0.7441652,0.6560224,0.41060084,0.7290787,0.85013896,0.45437685,0.87546545,0.9233192,0.42954767,0.85457605,0.8968445,2.395882897197644,3.017346402958657,0.024097906015752714,0.09351510821442433,2.259806501046865,2.1409696294337284,2.1591168533337233,2.0718960481726008,3.1100479909730327,3.0608239102836743,0.05564256863251872,0.012746364908301104,0.6900671877596303,0.13699261553944267,0.8502414899261673,0.9198542808499468,0.1322343103299029,0.14984232456724594,2.9317596024657164,3.1061589520077795
7.0,0.0,0.49007332,0.5480851,0.81053567,0.45434994,0.54850703,0.7813484,0.49521872,0.64288145,0.84869486,0.45267814,0.6277376,0.8106956,0.45529547,0.6934179,0.61396444,0.44523785,0.68501407,0.6742268,0.49344763,0.69269466,0.8701192,0.46471488,0.6853785,0.68553776,0.43660507,0.7424062,0.5980714,0.41030923,0.7291115,0.83358437,0.45443708,0.87575525,0.94352317,0.42858085,0.85472304,0.9014173,2.4187604809721233,3.0335119853518195,0.03089555000366283,0.09668059158611517,2.266040496683281,2.172286182386222,2.1564345354732737,2.1034212539212613,3.1182629526097685,3.066009372741002,0.054225250983686676,0.02109731073732186,0.6686069216339838,0.12917797897529984,0.8522224559264888,0.8937231903547818,0.13293566219003078,0.14444820931374983,2.8922630783951755,3.1297821703200595
8.0,0.0,0.48968932,0.547655,0.80882466,0.45474014,0.54858583,0.79467434,0.49508017,0.6439064,0.87414473,0.4527903,0.6269289,0.8223416,0.4551917,0.69191885,0.58218044,0.44564116,0.6833709,0.6418319,0.49351054,0.69181687,0.75944716,0.4642927,0.6852513,0.72982395,0.4364297,0.74425393,0.61546373,0.41069344,0.72864825,0.8219707,0.45383605,0.8752927,0.955664,0.42910346,0.85231924,0.91710824,2.392405130349947,3.040483454029575,0.02944931363336536,0.09466723759408843,2.2873176074416226,2.1816133697321227,2.181757372349818,2.1036195967287634,3.1150924045475836,3.0718087598433397,0.05594956267558494,0.02488334384763493,0.6932379605642625,0.1259925434078535,0.827774797105956,0.8901953901112185,0.13206048413401897,0.1477776667498117,2.920553304062806,3.114965133409363
9.0,0.0,0.48948562,0.5491452,0.83463037,0.45566288,0.5487603,0.80943346,0.49508724,0.6437797,0.8670357,0.45316297,0.6257744,0.80097646,0.45583293,0.6908653,0.5282159,0.44520077,0.68286186,0.5984382,0.49320504,0.69265544,0.7810681,0.4638384,0.685815,0.72903454,0.43614134,0.74526423,0.597131,0.4095963,0.72956043,0.80506766,0.45387718,0.87542546,0.9521444,0.42893112,0.85361284,0.7941211,2.3875268157845153,3.035461945472256,0.03321151631665085,0.0920299351985459,2.289685033407074,2.189898026077894,2.1801701842182952,2.0948628320407723,3.1156810005991753,3.082011744226682,0.05912316930727624,0.03244902583543369,0.6949426684980029,0.13857973395297352,0.8259959671920971,0.8921137181487857,0.1354265021794007,0.1546161034002352,2.91274104835928,3.130213227023034
