frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence,left_shoulder_interpolated,right_shoulder_interpolated,left_elbow_interpolated,right_elbow_interpolated,left_wrist_interpolated,right_wrist_interpolated,left_hip_interpolated,right_hip_interpolated,left_knee_interpolated,right_knee_interpolated,left_ankle_interpolated,right_ankle_interpolated,left_shoulder_source,right_shoulder_source,left_elbow_source,right_elbow_source,left_wrist_source,right_wrist_source,left_hip_source,right_hip_source,left_knee_source,right_knee_source,left_ankle_source,right_ankle_source
327,6.54,-0.8069704791334593,0.0723788212612207,-0.0434861592948436,0.9999882578849792,0.9999986886978148,0.8069704791334638,-0.0723788212612185,0.1195648536086082,0.9998542666435242,0.9999885559082032,-1.377240616956611,-1.482290338876652,-0.0085267461836338,0.9886913895606996,0.9999717473983764,-0.13306346592425208,-0.7828016087602598,,0.1637870669364929,0.9996861219406128,-1.0139912509659208,-1.30791057284175,0.0953734591603279,0.963165283203125,0.9999994039535522,-0.17920920906639481,-1.2975135038934182,,0.0784347429871559,0.9998383522033693,-1.1680585257617235,0.18426275171215328,-0.0556244403123855,0.9999854564666748,0.9999983310699464,-1.123002769438522,0.5603197858744097,0.0556127205491066,0.9999834895133972,0.9999986886978148,-1.561069736435365,-1.140748019257874,-0.1390368491411209,0.9972482323646544,0.9999951124191284,-1.2648448354807096,-0.9671919442230202,-0.0322711504995822,0.9223791360855104,0.9999858140945436,-1.6801752685258682,-0.6931050926294624,-0.1184467449784278,0.99603933095932,0.9999240636825562,-1.6212910146521602,-0.7340841371664687,-0.0049945591017603,0.9447984099388124,0.9999607801437378,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
328,6.56,-0.800362130811473,0.061586711037988615,-0.0431064404547214,0.9999884366989136,0.9999984502792358,0.8003621308114776,-0.061586711037986394,0.1200658231973648,0.9998579025268556,0.99998939037323,-1.3757847204829174,-1.4804060648032513,-0.0070344158448278,0.988081395626068,0.9999603033065796,-0.12246165140319717,-0.8235554501613017,,0.1671015620231628,0.9996365308761596,-1.0128846954065096,-1.3060934290191855,0.1027049571275711,0.9609845876693726,0.999998927116394,-0.13143925989053662,-1.2974043304414824,,0.0828103125095367,0.9999343156814576,-1.1675290765519524,0.1798227000521264,-0.055645752698183,0.9999855160713196,0.9999983310699464,-1.1248298001158754,0.5639288644635044,0.0556333884596824,0.9999836683273317,0.9999988079071044,-1.5631308501921954,-1.1409944785221162,-0.1391478925943374,0.997060239315033,0.9999947547912598,-1.2640801859946567,-0.9627327909796697,-0.0316889062523841,0.9186162948608398,0.9999903440475464,-1.6876903702153498,-0.7076267000870604,-0.1201799139380455,0.9957737922668456,0.9999328851699828,-1.6206850359579261,-0.7338321098387046,-0.0055704140104353,0.9430426359176636,0.9999629259109496,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
329,6.58,-0.8003791411077195,0.061197953173308894,-0.0431392341852188,0.9999884963035583,0.9999983310699464,0.800379141107724,-0.061197953173306674,0.1181305274367332,0.9998546838760376,0.9999822378158568,-1.3758792520395258,-1.4787910693133093,-0.0068822624161839,0.9878754615783693,0.9999585151672364,-0.12980079367873398,-0.8311234285060992,,0.1656830012798309,0.9994670748710632,-1.0127259836844384,-1.3053203760805208,0.1021101400256156,0.960602045059204,0.999998927116394,-0.08759565544617694,-1.2990643485095172,,0.0808405131101608,0.9997977614402772,-1.1678784347503317,0.17567100914078215,-0.0555522702634334,0.9999855756759644,0.9999982118606568,-1.1255191136191203,0.5673419006532098,0.0555411055684089,0.9999836087226868,0.9999985694885254,-1.5632343229489596,-1.1369146611292247,-0.1401283740997314,0.9970524907112122,0.9999946355819702,-1.2662369574116712,-0.9600644607192325,-0.0294595882296562,0.9184740781784058,0.9999852180480956,-1.6865243530368264,-0.7050394838842964,-0.1193438023328781,0.9957917332649232,0.9999196529388428,-1.6205333571893294,-0.7409381180051499,-0.0016277754912152,0.9426198601722716,0.9999593496322632,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
330,6.6,-0.8043272870821282,0.06774282299295938,-0.0497357882559299,0.999988317489624,0.9999972581863404,0.8043272870821327,-0.06774282299295716,0.1155932322144508,0.999855637550354,0.9999845027923584,-1.3768677089656938,-1.4815086169506742,-0.0117568708956241,0.9879907965660096,0.9999548196792604,-0.1255658858631848,-0.8180030377895103,,0.1595893055200576,0.9996392726898192,-1.012837385306609,-1.3062710313188832,0.0979188159108161,0.9600111246109008,0.9999986886978148,-0.046967936460086485,-1.302691419676963,,0.0768478438258171,0.999737560749054,-1.168761102765759,0.1806311393754759,-0.0556068904697895,0.9999855160713196,0.999997854232788,-1.1262691290949145,0.5617651881755217,0.0555973313748836,0.999983549118042,0.9999983310699464,-1.5605163703767995,-1.1415782078549181,-0.1427064687013626,0.9970375299453736,0.9999922513961792,-1.2653738190807902,-0.9646393471331586,-0.0315898694097995,0.91767156124115,0.999979853630066,-1.6853701511672399,-0.7104637291600155,-0.1199979037046432,0.995684802532196,0.9999103546142578,-1.620059917345599,-0.7451163931543605,-0.0027572247199714,0.941686749458313,0.9999465942382812,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
331,6.62,-0.7673507864374168,0.07214335269145997,-0.0457476377487182,0.9999881982803344,0.999997615814209,0.7673507864374213,-0.07214335269145776,0.1154149919748306,0.99985533952713,0.9999834299087524,-1.370444328687823,-1.479973438763572,-0.0093068955466151,0.9873010516166688,0.999942421913147,-0.12593574117772216,-0.8386040460989692,,0.1680496037006378,0.999542236328125,-1.0042206152327016,-1.3046470528839353,0.0984937474131584,0.9584782719612122,0.9999988079071044,-0.0015441842589980494,-1.3058837410705861,,0.0827338993549346,0.9999126195907592,-1.1589302544352835,0.17659920365327136,-0.0555053874850273,0.9999850392341614,0.9999971389770508,-1.1190701779505325,0.5745514537572078,0.0554936304688453,0.999983251094818,0.9999980926513672,-1.553623268337041,-1.147891356626087,-0.143846109509468,0.9968913197517396,0.9999921321868896,-1.2593224815901858,-0.9633697669364449,-0.030640609562397,0.9143574833869934,0.9999841451644896,-1.679384327774868,-0.7014586694232049,-0.1270146965980529,0.9955260753631592,0.9998862743377686,-1.6153620516652145,-0.7452071284986215,-0.0080502601340413,0.9402942657470704,0.9999405145645142,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
332,6.64,-0.7618454891807732,0.0734492485949444,-0.0457989834249019,0.9999881982803344,0.999997854232788,0.7618454891807777,-0.0734492485949422,0.1203699186444282,0.99986070394516,0.9999908208847046,-1.3734940584015185,-1.4747746809699758,-0.0088379113003611,0.9875229001045228,0.9999632835388184,-0.1119577579329563,-0.8063392196373549,,0.1608328372240066,0.9997462630271912,-1.0075657548265222,-1.3048481382279484,0.1042245477437973,0.9581218957901,0.9999988079071044,0.027248371912555903,-1.309989785693196,,0.0792509317398071,0.9998250603675842,-1.161474927511528,0.1792059781233857,-0.0562367178499698,0.9999852180480956,0.9999982118606568,-1.1238428743724012,0.5683355379209802,0.0562251694500446,0.9999834895133972,0.9999986886978148,-1.55636614782677,-1.1337922897533488,-0.1439949870109558,0.996890425682068,0.9999927282333374,-1.263948821626966,-0.9526555079766249,-0.0311548840254545,0.9136449098587036,0.999983549118042,-1.6844058831195943,-0.6991192527138725,-0.1255452036857605,0.9954460263252258,0.999908447265625,-1.620195310430676,-0.7177624893311435,-0.0081505132839083,0.9399651885032654,0.999953031539917,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,gpr,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
333,6.66,-0.771464665116582,0.07774391203890443,-0.0458063967525959,0.9999879598617554,0.999997615814209,0.7714646651165865,-0.07774391203890224,0.1167191565036773,0.9998574256896972,0.999983549118042,-1.3694929696764506,-1.4819455112400497,-0.0107359699904918,0.9871485233306884,0.9999518394470216,-0.14016940557460353,-0.8238607061300431,,0.1583350598812103,0.9995918869972228,-1.002125254620957,-1.302917770163261,0.0931154936552047,0.957391619682312,0.9999988079071044,0.06057192086840422,-1.3137698218530005,,0.0766274109482765,0.9997709393501282,-1.1606247649992887,0.19080624033458993,-0.0561242960393428,0.9999852776527404,0.9999980926513672,-1.1159688485958674,0.5616365483337855,0.0561141110956668,0.999983549118042,0.9999986886978148,-1.5526656226875575,-1.1523856496919402,-0.142028659582138,0.9968621134757996,0.9999939203262328,-1.2555368403360558,-0.9726865877937373,-0.0310526899993419,0.9137898087501526,0.9999855756759644,-1.6762831009538142,-0.7332362042022857,-0.1183820813894271,0.9954429864883424,0.9999144077301024,-1.6122505032784802,-0.7596839891723094,-0.0063520288094878,0.9396626949310304,0.999963402748108,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
334,6.68,-0.773798432963047,0.11095200214049462,-0.0456864610314369,0.9999880790710448,0.9999982118606568,0.7737984329630515,-0.1109520021404925,0.1167797967791557,0.9998539090156556,0.9999808073043824,-1.370158537530104,-1.4775359264829695,-0.0104932524263858,0.98730206489563,0.9999560117721558,-0.07112739986850909,-0.7966260781769745,,0.1568465828895568,0.999456822872162,-1.0021480928433337,-1.3009244105483415,0.0934470817446708,0.9581404328346252,0.9999988079071044,0.08379487334391396,-1.3157592673453031,,0.0748224779963493,0.9997346997261048,-1.1600901145256577,0.1937492135161502,-0.0561029762029647,0.99998539686203,0.9999977350234984,-1.115417035946574,0.5593994209384442,0.0560934618115425,0.999983549118042,0.9999982118606568,-1.5527470269878454,-1.1519509801416463,-0.1424290090799331,0.9969261288642884,0.9999939203262328,-1.253730230950962,-0.9820588497499431,-0.0306500140577554,0.9156795144081116,0.9999834299087524,-1.6751322141718192,-0.7340823283330207,-0.1194894537329673,0.995546579360962,0.9999123811721802,-1.6112356985423288,-0.7554564512951839,-0.007088812533766,0.9413723945617676,0.9999479055404664,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
335,6.7,-0.7923897732545409,0.09684086204505897,-0.0503106787800788,0.999988317489624,0.9999984502792358,0.7923897732545453,-0.09684086204505682,0.11748668551445,0.9998601078987122,0.9999929666519164,-1.3732179152867223,-1.4812018428246658,-0.0125717278569936,0.9877780079841614,0.9999754428863524,-0.10436354928076491,-0.7919794430939664,,0.1480013579130172,0.9997857213020324,-1.0049864849268386,-1.3035625144849283,0.0942549630999565,0.9583501219749452,0.9999991655349731,0.09698237952136253,-1.3194443489443275,,0.0696656852960586,0.9998064637184144,-1.1624823610320458,0.20608068969712054,-0.0564542151987552,0.9999857544898988,0.9999988079071044,-1.118328558488853,0.5449413215416975,0.0564463287591934,0.999983847141266,0.9999990463256836,-1.5519806637646791,-1.1567576884308777,-0.1563877761363983,0.997047483921051,0.9999954700469972,-1.2547268085984058,-0.9857198602998253,-0.0366793498396873,0.9150574207305908,0.9999877214431764,-1.6751304227713428,-0.730121296844959,-0.1335853040218353,0.9956649541854858,0.9999468326568604,-1.612280452090894,-0.7610458618141234,-0.0137173477560281,0.9410924911499025,0.9999657869338988,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
336,6.72,-0.7894398277549257,0.0850461112808693,-0.0481546595692634,0.9999884366989136,0.9999984502792358,0.7894398277549302,-0.08504611128086711,0.1171011999249458,0.9998586177825928,0.9999839067459106,-1.372485647011122,-1.4803005755694327,-0.0121890120208263,0.9878085255622864,0.9999587535858154,-0.07501379450224308,-0.7794566800635248,,0.1517243981361389,0.9995362758636476,-1.0074446946825357,-1.2978651399371797,0.0914630070328712,0.9589073061943054,0.9999990463256836,0.10702946733737877,-1.3209860748571405,,0.0712982788681984,0.9998366832733154,-1.1616237258199555,0.18492958622724895,-0.0561982169747352,0.9999857544898988,0.9999982118606568,-1.1180279583612598,0.5656703474614104,0.0561879351735115,0.999983847141266,0.9999985694885254,-1.5521846323017703,-1.1581547663205851,-0.1545196175575256,0.997081458568573,0.9999949932098388,-1.2554475819790119,-0.9742301834010687,-0.0330300852656364,0.9163123965263368,0.99998676776886,-1.674805812161133,-0.7186469296374818,-0.1334407329559326,0.9957353472709656,0.9999234676361084,-1.6129545656169348,-0.7541034251152524,-0.0131265698000788,0.9421833157539368,0.9999583959579468,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
337,6.74,-0.8024566720991769,0.0893623134822345,-0.0509802550077438,0.9999878406524658,0.9999960660934448,0.8024566720991814,-0.08936231348223232,0.1134114116430282,0.9998555779457092,0.999980092048645,-1.3773022568380777,-1.4849182399631722,-0.0170116834342479,0.9876830577850342,0.9999346733093262,-0.08016159838221222,-0.7238923551627029,,0.1487903296947479,0.999604880809784,-1.0090260986642081,-1.2998190020981466,0.0848708897829055,0.957563817501068,0.9999982118606568,0.1078357645115543,-1.3228430204427242,,0.0686562731862068,0.9997308850288392,-1.163313854886945,0.17688322540768064,-0.0561676360666751,0.9999856352806092,0.9999974966049194,-1.1189484886846537,0.5719447335303478,0.0561591200530529,0.999983847141266,0.9999983310699464,-1.5515504368335649,-1.1668515816023832,-0.1532664000988006,0.9971072673797609,0.9999921321868896,-1.255233027168408,-1.002620107262393,-0.0339687690138816,0.9174697399139404,0.9999830722808838,-1.6742390016641875,-0.7276870199956068,-0.1291044205427169,0.9957348704338074,0.9999144077301024,-1.6130727094529316,-0.7684745397407035,-0.0141479009762406,0.9429503083229064,0.9999502897262572,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
338,6.76,-0.7629976494987412,0.08938932165930226,-0.047213289886713,0.999987781047821,0.999997615814209,0.7629976494987456,-0.0893893216593001,0.1136920377612114,0.9998599886894226,0.9999891519546508,-1.37125042646389,-1.48868681342714,-0.0142689980566501,0.9866511225700378,0.9999561309814452,-0.12369575968034456,-0.7642991788348353,,0.1656891256570816,0.9997543692588806,-1.008731612130539,-1.2985204576095821,0.0887251123785972,0.9550806283950806,0.999998927116394,0.11108623429760398,-1.3210276119729483,,0.0856397151947021,0.9999685287475586,-1.1565886966200325,0.17978275681699102,-0.0559397153556346,0.9999850392341614,0.9999974966049194,-1.1139366742946617,0.5753053244231683,0.0559253022074699,0.9999836087226868,0.9999984502792358,-1.5473011006576514,-1.171186881173493,-0.1523573398590088,0.9966446757316588,0.999992609024048,-1.2510875894863713,-1.0079958493719547,-0.0321962796151638,0.9095567464828492,0.9999878406524658,-1.6701222087327545,-0.7251406028964948,-0.1349448561668396,0.9951287508010864,0.9998983144760132,-1.6095635944590965,-0.7633768672691938,-0.0173484086990356,0.9380304217338562,0.9999459981918336,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
339,6.78,-0.7849261826250302,0.08934810896970448,-0.0492918156087398,0.9999877214431764,0.999997615814209,0.7849261826250347,-0.08934810896970231,0.1155115589499473,0.999859631061554,0.9999849796295166,-1.3762757950224513,-1.494160396739964,-0.0168469510972499,0.9871277809143066,0.9999529123306274,-0.11450293061343253,-0.7771259954657863,,0.1613080650568008,0.99964439868927,-1.0118341700666627,-1.3002073722606842,0.0858441293239593,0.9566734433174132,0.9999986886978148,0.09426012414754237,-1.3192070300908287,,0.0830926895141601,0.9997701048851012,-1.1585669937749021,0.171263578253016,-0.0561803914606571,0.9999850988388062,0.999997615814209,-1.1164328809375514,0.5811132700812643,0.0561698600649833,0.9999836087226868,0.9999980926513672,-1.5479588532888102,-1.173509438475166,-0.1521272659301757,0.9968286752700806,0.9999935626983644,-1.2532920130541756,-1.008907396499619,-0.0338048785924911,0.9133763313293456,0.9999830722808838,-1.6714401977840982,-0.7257091872197607,-0.1311744153499603,0.995370090007782,0.9999265670776368,-1.6119234349877227,-0.7644329971126538,-0.0163842681795358,0.9404458999633788,0.9999533891677856,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
340,6.8,-0.8080401701124835,0.04756212755394726,-0.0455994121730327,0.9999881982803344,0.9999988079071044,0.8080401701124881,-0.04756212755394502,0.1212149187922477,0.9998649954795836,0.9999924898147584,-1.3748231886471363,-1.4985873397092324,-0.0110393250361084,0.9873108863830566,0.999971866607666,-0.12325796672042336,-0.7494049607293544,,0.1701037734746933,0.9997723698616028,-1.0147710093173417,-1.3023619403745932,0.0998457670211792,0.9570639133453368,0.9999991655349731,0.07434806778813702,-1.3153249574236303,,0.0931345894932746,0.9999604225158693,-1.1551157718333644,0.14743219380286351,-0.0563682094216346,0.99998539686203,0.9999985694885254,-1.1147492884281622,0.6064697913130178,0.0563530400395393,0.9999839663505554,0.999998927116394,-1.5486859138756934,-1.1730233934846062,-0.1533387601375579,0.996906876564026,0.9999955892562866,-1.255064058762647,-1.0047874771152,-0.030887683853507,0.9110520482063292,0.9999910593032836,-1.671995895502303,-0.7068796219479434,-0.141618862748146,0.9954956769943236,0.999941110610962,-1.6136895629509844,-0.7489678030338153,-0.0163035038858652,0.9398542046546936,0.9999654293060304,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
341,6.82,-0.8515952815867524,0.0949714470898497,-0.047253493219614,0.9999886751174928,0.999998927116394,0.8515952815867569,-0.09497144708984753,0.1215657368302345,0.9998691082000732,0.9999922513961792,-1.3861274487633017,-1.5007089061496988,-0.0157260466367006,0.9878433346748352,0.9999773502349854,-0.18168237346477564,-0.7450061266698426,,0.1724368035793304,0.9997697472572328,-1.0069765584407675,-1.307596403308125,0.0935053452849388,0.958547055721283,0.9999994039535522,0.052005668264926634,-1.309919428021432,,0.093603104352951,0.9999358654022216,-1.1420780378789122,0.1425874519861734,-0.0568365305662155,0.999985694885254,0.9999984502792358,-1.097025944969702,0.626573951886851,0.0568175055086612,0.9999842643737792,0.9999988079071044,-1.544439229467575,-1.1797356061297914,-0.1528822481632232,0.996975302696228,0.9999955892562866,-1.2508895940268265,-1.0050342686833464,-0.030807789415121,0.908405303955078,0.9999908208847046,-1.6662720522863996,-0.7021531066863899,-0.1392190158367157,0.9956264495849608,0.9999418258666992,-1.6089254273174447,-0.7441396887697638,-0.0179109070450067,0.938977062702179,0.9999662637710572,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
