Video,Joint,Mean Displacement,Std Displacement
DJI_20250425125202_0091_D,right_hip,0.0111,0.0081
DJI_20250425125202_0091_D,left_knee,0.0195,0.0132
DJI_20250425125202_0091_D,right_knee,0.0214,0.0148
DJI_20250425125202_0091_D,left_ankle,0.021,0.0145
DJI_20250425125202_0091_D,right_ankle,0.0207,0.0142
DJI_20250425125448_0093_D,left_shoulder,0.0029,0.003
DJI_20250425125448_0093_D,right_shoulder,0.0029,0.003
DJI_20250425125448_0093_D,left_elbow,0.007,0.007
DJI_20250425125448_0093_D,right_elbow,0.0104,0.0074
DJI_20250425125448_0093_D,left_wrist,0.0101,0.0106
DJI_20250425125448_0093_D,right_wrist,0.0124,0.0113
DJI_20250425125448_0093_D,left_hip,0.0068,0.0066
DJI_20250425125448_0093_D,right_hip,0.0053,0.0046
DJI_20250425125448_0093_D,left_knee,0.0104,0.0115
DJI_20250425125448_0093_D,right_knee,0.0111,0.0124
DJI_20250425125448_0093_D,left_ankle,0.0136,0.0168
DJI_20250425125448_0093_D,right_ankle,0.0127,0.0157
