Video,Mean Displacement,Std Displacement
DJI_20250425092743_0028_D,0.0103,0.0116
DJI_20250425093100_0030_D,0.0104,0.0109
DJI_20250425104507_0045_D,0.0117,0.0126
DJI_20250425104804_0047_D,0.0094,0.0095
DJI_20250425112502_0059_D,0.0106,0.0096
DJI_20250425112749_0061_D,0.0066,0.0079
DJI_20250425120835_0074_D,0.0131,0.0132
DJI_20250425121226_0076_D,0.0058,0.009
DJI_20250425125202_0091_D,0.0135,0.012
DJI_20250425125448_0093_D,0.0086,0.0108
